"Status","Year","Region_ITL1","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","North West (England)","Public Health England","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Public Health England","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2022","North West (England)","Public Health England","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Rural Payments Agency","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2022","North West (England)","Rural Payments Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Standards and Testing Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Submarine Delivery Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Submarine Delivery Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Submarine Delivery Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","The Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","The Insolvency Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","The Insolvency Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","UK Health Security Agency","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","UK Health Security Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","UK Health Security Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Valuation Office Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Valuation Office Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","North West (England)","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Defence Equipment and Support","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Department for Digital, Culture, Media and Sport","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Food Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Food Standards Agency","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","HM Revenue and Customs (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","HM Revenue and Customs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","HM Revenue and Customs (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","HM Revenue and Customs (excl. agencies)","Unknown","110","100","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Home Office","Operational Delivery","50","40","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Home Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Ministry of Defence (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Ministry of Defence (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Ministry of Defence (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Ministry of Defence (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Northern Ireland Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Northern Ireland Office","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland","Office for Standards in Education, Children's Services and Skills","Social Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Defence Equipment and Support","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Defence Equipment and Support","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Department for International Trade","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","FCDO Services","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Home Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Home Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Other","40","40","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Ministry of Defence (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Scottish Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Overseas","Vehicle Certification Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Advisory, Conciliation and Arbitration Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Animal and Plant Health Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Companies House","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Competition and Markets Authority","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Criminal Injuries Compensation Authority","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Crown Office and Procurator Fiscal Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Crown Office and Procurator Fiscal Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Crown Office and Procurator Fiscal Service","Operational Delivery","80","70","25640","23230"
"Leaver CS","2022","Scotland","Crown Office and Procurator Fiscal Service","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Defence Equipment and Support","Other","40","30","[c]","[c]"
"Leaver CS","2022","Scotland","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Defence Equipment and Support","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Operational Delivery","620","530","24640","25610"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Other","50","40","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Department for Work and Pensions (excl. agencies)","Unknown","100","90","24010","21260"
"Leaver CS","2022","Scotland","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Driver and Vehicle Standards Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Education Scotland","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","Scotland","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Forestry and Land Scotland","Unknown","110","100","29980","27360"
"Leaver CS","2022","Scotland","Government Actuary's Department","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Health and Safety Executive","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","HM Courts and Tribunals Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","HM Revenue and Customs (excl. agencies)","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","HM Revenue and Customs (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","HM Revenue and Customs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","HM Revenue and Customs (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","HM Revenue and Customs (excl. agencies)","Tax","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","HM Revenue and Customs (excl. agencies)","Unknown","770","650","[c]","[c]"
"Leaver CS","2022","Scotland","Home Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Home Office","Intelligence Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Home Office","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Home Office","Operational Delivery","70","50","26140","24880"
"Leaver CS","2022","Scotland","Home Office","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Home Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Home Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Home Office","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Maritime and Coastguard Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Met Office","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Met Office","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Medicine","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Other","70","70","27660","21440"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Defence (excl. agencies)","Security","100","100","35030","39070"
"Leaver CS","2022","Scotland","Ministry of Justice (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Ministry of Justice (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","National Records of Scotland","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Scotland","National Savings and Investments","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office for Standards in Education, Children's Services and Skills","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Other","60","60","30950","25000"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Gas and Electricity Markets","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Rail and Road","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of Rail and Road","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of the Scottish Charity Regulator","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Registers of Scotland","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Registers of Scotland","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Registers of Scotland","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Registers of Scotland","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Registers of Scotland","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Revenue Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Operational Delivery","130","110","26460","23780"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Courts and Tribunals Service","Statistics","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Forestry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Government (excl. agencies)","Unknown","410","380","41450","36130"
"Leaver CS","2022","Scotland","Scottish Housing Regulator","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Operational Delivery","240","220","31590","35000"
"Leaver CS","2022","Scotland","Scottish Prison Service","Other","70","60","32800","26900"
"Leaver CS","2022","Scotland","Scottish Prison Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Prison Service","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Scottish Public Pensions Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Social Security Scotland","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Scotland","Student Awards Agency for Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Submarine Delivery Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Submarine Delivery Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Submarine Delivery Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Submarine Delivery Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","The Insolvency Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scotland","Valuation Office Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Animal and Plant Health Agency","Operational Delivery","40","40","[c]","[c]"
"Leaver CS","2022","South East (England)","Animal and Plant Health Agency","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Animal and Plant Health Agency","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Animal and Plant Health Agency","Veterinarian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Cabinet Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Crown Prosecution Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Crown Prosecution Service","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Equipment and Support","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Equipment and Support","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Equipment and Support","Other","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Equipment and Support","Science and Engineering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Corporate Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Operational Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Operational Research","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Psychology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Science and Engineering","60","50","40420","47010"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Transport (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
