"Status","Year","Profession_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Commercial","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Corporate Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Counter Fraud","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data and Technology","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Department for Business, Energy and Industrial Strategy","30","30","[c]","[c]"
"Leaver Dept.","2021","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Economics","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Defence","40","40","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Justice","70","60","47430","46530"
"Leaver Dept.","2021","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence","60","60","34390","29250"
"Leaver Dept.","2021","Human Resources","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Justice","70","70","41080","36800"
"Leaver Dept.","2021","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Inspector of Education and Training","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Intelligence Analysis","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","International Trade","Department for International Trade","130","130","45780","42030"
"Leaver Dept.","2021","International Trade","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Knowledge and Information Management","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Attorney General's Departments","70","70","58980","55130"
"Leaver Dept.","2021","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicine","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Attorney General's Departments","40","40","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Department for Business, Energy and Industrial Strategy","130","130","35060","26000"
"Leaver Dept.","2021","Operational Delivery","Department for Education","50","40","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Department for Environment, Food and Rural Affairs","100","100","25490","21050"
"Leaver Dept.","2021","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Department for Transport","110","100","24920","21590"
"Leaver Dept.","2021","Operational Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Home Office","410","390","28600","24890"
"Leaver Dept.","2021","Operational Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Ministry of Housing, Communities and Local Government","40","40","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Ministry of Justice","800","780","25390","21530"
"Leaver Dept.","2021","Operational Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Scottish Government","30","30","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","United Kingdom Statistics Authority","100","90","32030","29540"
"Leaver Dept.","2021","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Attorney General's Departments","30","30","[c]","[c]"
"Leaver Dept.","2021","Other","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Home Office","60","60","[c]","[c]"
"Leaver Dept.","2021","Other","Ministry of Defence","140","130","32230","27740"
"Leaver Dept.","2021","Other","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Other","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Planning Inspectors","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Department for Business, Energy and Industrial Strategy","310","280","46170","40220"
"Leaver Dept.","2021","Policy","Department for Digital, Culture, Media and Sport","150","150","47110","49600"
"Leaver Dept.","2021","Policy","Department for Education","130","120","43920","40510"
"Leaver Dept.","2021","Policy","Department for Environment, Food and Rural Affairs","330","320","40900","36030"
"Leaver Dept.","2021","Policy","Department for International Trade","30","30","[c]","[c]"
"Leaver Dept.","2021","Policy","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Foreign, Commonwealth and Development Office","30","30","[c]","[c]"
"Leaver Dept.","2021","Policy","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","HM Treasury","100","100","[c]","[c]"
"Leaver Dept.","2021","Policy","Home Office","150","150","50090","42410"
"Leaver Dept.","2021","Policy","Ministry of Defence","50","50","47970","45200"
"Leaver Dept.","2021","Policy","Ministry of Housing, Communities and Local Government","210","210","41330","36340"
"Leaver Dept.","2021","Policy","Ministry of Justice","110","100","42120","36800"
"Leaver Dept.","2021","Policy","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Policy","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Home Office","50","50","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Ministry of Defence","210","210","39410","34070"
"Leaver Dept.","2021","Project Delivery","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
