"Status","Year","Profession_of_post","Region_ITL1","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Inspector of Education and Training","North West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Scotland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","South East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","South East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","South East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","South East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","South West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","South West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","South West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Wales","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Wales","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Wales","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Inspector of Education and Training","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East of England","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East of England","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East of England","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East of England","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East of England","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","East of England","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","London","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","London","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","London","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","London","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","London","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","London","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","London","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","North East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","North West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","North West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Overseas","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Scotland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Scotland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Scotland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","South East (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","South East (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","South East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","South East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","South East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","South East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","South West (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","South West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Wales","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Wales","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Intelligence Analysis","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","East of England","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","East of England","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","London","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","North East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","North West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","North West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Scotland","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Scotland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Scotland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Scotland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","South East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","South East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","South East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","South East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","South West (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","South West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","South West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","South West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Wales","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Wales","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","London","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","London","20-29","50","40","[c]","[c]"
"Leaver CS","2022","International Trade","London","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","London","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","London","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","London","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Overseas","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Overseas","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Overseas","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Overseas","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Wales","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","International Trade","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","East of England","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","East of England","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","East of England","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","East of England","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","East of England","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","London","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","London","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","London","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","London","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","London","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","London","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North East (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North East (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North West (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Overseas","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Scotland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Scotland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Scotland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South East (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South West (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South West (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","South West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Wales","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Wales","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Yorkshire and The Humber","30-39","40","30","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Yorkshire and The Humber","40-49","30","30","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Yorkshire and The Humber","50-59","50","40","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East of England","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East of England","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East of England","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East of England","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East of England","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","East of England","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","London","20-29","40","40","[c]","[c]"
"Leaver CS","2022","Legal","London","30-39","110","100","53830","52650"
"Leaver CS","2022","Legal","London","40-49","60","50","65120","63730"
"Leaver CS","2022","Legal","London","50-59","30","30","[c]","[c]"
"Leaver CS","2022","Legal","London","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","London","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North East (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North East (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North West (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North West (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Northern Ireland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Overseas","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scotland","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scotland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scotland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scotland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scotland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scotland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South East (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South East (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South West (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South West (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","South West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Wales","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Wales","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Wales","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Wales","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Wales","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East of England","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East of England","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East of England","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East of England","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East of England","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","East of England","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","London","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","London","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","London","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","London","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","London","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","London","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North West (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","North West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Northern Ireland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Northern Ireland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Northern Ireland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Northern Ireland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Overseas","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Overseas","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Overseas","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Scotland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Scotland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Scotland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Scotland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Scotland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South East (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South East (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South East (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South East (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South East (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South East (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South West (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South West (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South West (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South West (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South West (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","South West (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Unknown","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Wales","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Wales","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Wales","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Wales","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Wales","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","West Midlands (England)","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","West Midlands (England)","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","West Midlands (England)","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","West Midlands (England)","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","West Midlands (England)","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","West Midlands (England)","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Yorkshire and The Humber","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Yorkshire and The Humber","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Yorkshire and The Humber","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Yorkshire and The Humber","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Yorkshire and The Humber","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Yorkshire and The Humber","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","East Midlands (England)","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","East Midlands (England)","20-29","380","380","22700","21260"
"Leaver CS","2022","Operational Delivery","East Midlands (England)","30-39","240","220","25580","25190"
"Leaver CS","2022","Operational Delivery","East Midlands (England)","40-49","160","150","25540","26630"
"Leaver CS","2022","Operational Delivery","East Midlands (England)","50-59","260","230","26660","26780"
"Leaver CS","2022","Operational Delivery","East Midlands (England)","60-64","150","130","27210","27570"
"Leaver CS","2022","Operational Delivery","East Midlands (England)","65+","130","90","24110","21260"
"Leaver CS","2022","Operational Delivery","East of England","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","East of England","20-29","420","410","25220","24880"
"Leaver CS","2022","Operational Delivery","East of England","30-39","320","310","26290","27370"
"Leaver CS","2022","Operational Delivery","East of England","40-49","250","230","28910","27570"
"Leaver CS","2022","Operational Delivery","East of England","50-59","380","350","30140","27570"
"Leaver CS","2022","Operational Delivery","East of England","60-64","190","150","29450","27570"
"Leaver CS","2022","Operational Delivery","East of England","65+","160","120","28120","27370"
"Leaver CS","2022","Operational Delivery","London","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","London","20-29","1170","1130","28840","28590"
