"Status","Year","Organisation","Disability","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Digital, Data and Technology","40","40","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Operational Delivery","110","100","19840","18060"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Declared non-disabled","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Undeclared","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Unknown","Operational Delivery","120","100","20230","21590"
"New entrant CS","2021","Driver and Vehicle Licensing Agency","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Operational Delivery","60","60","25070","26130"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Undeclared","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Operational Delivery","120","120","26000","26130"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Driver and Vehicle Standards Agency","Unknown","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Unknown","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Unknown","Operational Delivery","50","40","[c]","[c]"
"New entrant CS","2021","Education and Skills Funding Agency","Unknown","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education Scotland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education Scotland","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Education Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","Declared disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","Declared non-disabled","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"New entrant CS","2021","ESTYN","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Declared non-disabled","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Undeclared","Veterinarian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Agency","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Food Standards Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Forestry and Land Scotland","Declared non-disabled","Unknown","90","90","27700","25140"
"New entrant CS","2021","Forestry and Land Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Actuary's Department","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared non-disabled","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared non-disabled","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Undeclared","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Internal Audit Agency","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Declared non-disabled","Legal","150","140","47230","50500"
"New entrant CS","2021","Government Legal Department","Declared non-disabled","Other","40","40","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Unknown","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Legal Department","Unknown","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Undeclared","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Undeclared","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Undeclared","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Government Property Agency","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared disabled","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared disabled","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared non-disabled","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared non-disabled","Operational Delivery","90","80","34080","31660"
"New entrant CS","2021","Health and Safety Executive","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Declared non-disabled","Science and Engineering","50","50","26570","26370"
"New entrant CS","2021","Health and Safety Executive","Undeclared","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Undeclared","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Unknown","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Health and Safety Executive","Unknown","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Operational Delivery","130","130","21610","18880"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Legal","70","60","27550","26550"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Operational Delivery","800","780","21550","19930"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Planning","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Declared non-disabled","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Undeclared","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Undeclared","Operational Delivery","50","50","[c]","[c]"
"New entrant CS","2021","HM Courts and Tribunals Service","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
