"Status","Year","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Merseyside","Heterosexual / straight","690","620","27940","27570"
"In post","2021","East Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","East Merseyside","Undeclared","80","70","27310","26780"
"In post","2021","East Merseyside","Unknown","250","210","26430","27570"
"In post","2021","East Riding of Yorkshire","Heterosexual / straight","1360","1290","28610","26810"
"In post","2021","East Riding of Yorkshire","LGBO","60","50","27410","26300"
"In post","2021","East Riding of Yorkshire","Undeclared","200","190","29440","27570"
"In post","2021","East Riding of Yorkshire","Unknown","270","250","28500","26680"
"In post","2021","East Surrey","Heterosexual / straight","630","590","33650","33590"
"In post","2021","East Surrey","LGBO","60","60","34470","33590"
"In post","2021","East Surrey","Undeclared","90","90","35660","34750"
"In post","2021","East Surrey","Unknown","210","200","31560","31880"
"In post","2021","East Sussex CC","Heterosexual / straight","1350","1210","26990","27570"
"In post","2021","East Sussex CC","LGBO","110","100","26030","26690"
"In post","2021","East Sussex CC","Undeclared","200","180","27810","27570"
"In post","2021","East Sussex CC","Unknown","350","300","25770","25930"
"In post","2021","Enfield","Heterosexual / straight","220","210","30300","31060"
"In post","2021","Enfield","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Undeclared","40","40","[c]","[c]"
"In post","2021","Enfield","Unknown","90","80","29920","31060"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","830","780","32330","29290"
"In post","2021","Essex Haven Gateway","LGBO","40","30","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","140","130","33330","31070"
"In post","2021","Essex Haven Gateway","Unknown","130","130","30920","29290"
"In post","2021","Essex Thames Gateway","Heterosexual / straight","630","560","28060","29290"
"In post","2021","Essex Thames Gateway","LGBO","40","30","[c]","[c]"
"In post","2021","Essex Thames Gateway","Undeclared","70","60","26310","25110"
"In post","2021","Essex Thames Gateway","Unknown","210","180","27080","25110"
"In post","2021","Falkirk","Heterosexual / straight","1000","880","27440","27570"
"In post","2021","Falkirk","LGBO","50","50","27740","26700"
"In post","2021","Falkirk","Undeclared","120","100","26400","22820"
"In post","2021","Falkirk","Unknown","650","570","27990","27570"
"In post","2021","Fermanagh and Omagh","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","1290","1230","28070","26120"
