"Status","Year","Disability","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Veterinarian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Veterinarian","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Communications","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Corporate Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Corporate Finance","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Corporate Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Corporate Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Corporate Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Department for Work and Pensions (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Counter Fraud","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Digital, Data and Technology","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Economics","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Finance","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
