"Status","Year","Organisation","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Crown Commercial Service","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","G6/G7","70","70","54700","55000"
"In post","2021","Crown Commercial Service","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","No function","SEO/HEO","60","60","32400","33900"
"In post","2021","Crown Commercial Service","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Commercial Service","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","G6/G7","160","150","67480","68470"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","Legal","SEO/HEO","410","390","47800","52490"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","AA/AO","690","620","21920","22220"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","EO","300","280","27170","26570"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Office and Procurator Fiscal Service","No function","SEO/HEO","300","280","34630","34150"
"In post","2021","Crown Office and Procurator Fiscal Service","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Communications","SEO/HEO","40","30","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Digital, Data & Technology","SEO/HEO","70","60","36820","38180"
"In post","2021","Crown Prosecution Service","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Finance","SEO/HEO","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","G6/G7","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Human Resources","SEO/HEO","80","80","34720","33310"
"In post","2021","Crown Prosecution Service","Legal","AA/AO","1430","1310","22250","21950"
"In post","2021","Crown Prosecution Service","Legal","EO","1270","1170","28040","28430"
"In post","2021","Crown Prosecution Service","Legal","G6/G7","2740","2530","57580","55610"
"In post","2021","Crown Prosecution Service","Legal","SCS","80","80","94740","89660"
"In post","2021","Crown Prosecution Service","Legal","SEO/HEO","730","690","36200","36240"
"In post","2021","Crown Prosecution Service","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","G6/G7","40","40","[c]","[c]"
"In post","2021","Crown Prosecution Service","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Crown Prosecution Service Inspectorate","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","EO","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Debt Management Office","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","AA/AO","80","70","19690","19810"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","EO","230","220","28120","28750"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Project Delivery","SEO/HEO","50","50","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","AA/AO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Electronics and Components Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","EO","30","30","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","G6/G7","80","80","58170","55420"
"In post","2021","Defence Equipment and Support","Commercial","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Commercial","SEO/HEO","160","160","36960","38240"
"In post","2021","Defence Equipment and Support","Communications","EO","170","160","20470","19600"
"In post","2021","Defence Equipment and Support","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Communications","SEO/HEO","100","100","31220","29840"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Digital, Data & Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","EO","140","140","21790","20000"
"In post","2021","Defence Equipment and Support","Finance","G6/G7","80","70","58780","56320"
"In post","2021","Defence Equipment and Support","Finance","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Finance","SEO/HEO","190","180","34910","34030"
"In post","2021","Defence Equipment and Support","Human Resources","EO","50","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","G6/G7","50","40","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Defence Equipment and Support","Human Resources","SEO/HEO","90","90","33820","33190"
"In post","2021","Defence Equipment and Support","Project Delivery","EO","2160","2070","22430","21660"
"In post","2021","Defence Equipment and Support","Project Delivery","G6/G7","1360","1330","56570","55080"
"In post","2021","Defence Equipment and Support","Project Delivery","SCS","70","70","100290","93990"
"In post","2021","Defence Equipment and Support","Project Delivery","SEO/HEO","5520","5340","35750","35230"
