"Status","Year","Responsibility_level","Age","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","50-59","Undeclared","180","170","37320","37170"
"In post","2021","Unknown","50-59","Unknown","720","700","39870","35380"
"In post","2021","Unknown","50-59","White","2640","2500","34560","33340"
"In post","2021","Unknown","60-64","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Black","80","80","31630","29330"
"In post","2021","Unknown","60-64","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","60-64","Undeclared","60","50","36240","33950"
"In post","2021","Unknown","60-64","Unknown","190","180","36600","35380"
"In post","2021","Unknown","60-64","White","860","740","32600","30210"
"In post","2021","Unknown","65+","Asian","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Black","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Chinese","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Mixed","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Unknown","65+","Unknown","50","40","32410","32090"
"In post","2021","Unknown","65+","White","300","240","33760","32690"
"In post","2022","AA/AO","16-19","Asian","70","60","21550","21260"
"In post","2022","AA/AO","16-19","Black","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","16-19","Mixed","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","16-19","Other ethnicity","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","16-19","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","AA/AO","16-19","Unknown","350","330","21540","21250"
"In post","2022","AA/AO","16-19","White","450","430","21350","21250"
"In post","2022","AA/AO","20-29","Asian","1860","1770","22180","21260"
"In post","2022","AA/AO","20-29","Black","520","510","24210","23720"
"In post","2022","AA/AO","20-29","Mixed","630","610","23530","21840"
"In post","2022","AA/AO","20-29","Other ethnicity","120","120","23810","23140"
"In post","2022","AA/AO","20-29","Undeclared","330","320","23390","21840"
"In post","2022","AA/AO","20-29","Unknown","7720","7510","22790","21640"
"In post","2022","AA/AO","20-29","White","15380","15020","22890","21410"
"In post","2022","AA/AO","30-39","Asian","1960","1740","22470","21260"
"In post","2022","AA/AO","30-39","Black","750","690","24650","23140"
"In post","2022","AA/AO","30-39","Mixed","460","420","23790","21840"
"In post","2022","AA/AO","30-39","Other ethnicity","110","100","24000","21860"
"In post","2022","AA/AO","30-39","Undeclared","660","610","23490","21680"
"In post","2022","AA/AO","30-39","Unknown","5270","4900","23270","21410"
"In post","2022","AA/AO","30-39","White","16160","14790","23330","21680"
"In post","2022","AA/AO","40-49","Asian","2060","1730","22750","21300"
"In post","2022","AA/AO","40-49","Black","810","740","24610","23720"
"In post","2022","AA/AO","40-49","Mixed","340","310","23420","21300"
"In post","2022","AA/AO","40-49","Other ethnicity","120","100","24000","22060"
"In post","2022","AA/AO","40-49","Undeclared","990","890","23340","21410"
"In post","2022","AA/AO","40-49","Unknown","3550","3250","22810","21300"
"In post","2022","AA/AO","40-49","White","17960","16090","22980","21300"
"In post","2022","AA/AO","50-59","Asian","1620","1430","22800","21680"
"In post","2022","AA/AO","50-59","Black","1390","1310","24710","24250"
"In post","2022","AA/AO","50-59","Mixed","400","360","23840","21740"
"In post","2022","AA/AO","50-59","Other ethnicity","140","130","24550","23020"
"In post","2022","AA/AO","50-59","Undeclared","1790","1610","22850","21490"
"In post","2022","AA/AO","50-59","Unknown","3990","3600","22650","21390"
"In post","2022","AA/AO","50-59","White","29090","26130","22930","21280"
"In post","2022","AA/AO","60-64","Asian","600","500","23540","23460"
"In post","2022","AA/AO","60-64","Black","480","430","24490","24230"
"In post","2022","AA/AO","60-64","Mixed","130","110","22370","21410"
"In post","2022","AA/AO","60-64","Other ethnicity","50","40","23890","23230"
"In post","2022","AA/AO","60-64","Undeclared","630","520","22380","21380"
"In post","2022","AA/AO","60-64","Unknown","1440","1180","22300","21300"
"In post","2022","AA/AO","60-64","White","11460","9220","22260","21260"
