"Status","Year","Sexual_orientation","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Cabinet Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Charity Commission","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Companies House","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Criminal Injuries Compensation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Commercial Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Commercial Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Office and Procurator Fiscal Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Office and Procurator Fiscal Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Office and Procurator Fiscal Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Electronics and Components Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Electronics and Components Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Electronics and Components Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Equipment and Support","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Equipment and Support","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Equipment and Support","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Equipment and Support","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Defence Science and Technology Laboratory","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Levelling Up, Housing and Communities (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","No function","400","380","26190","27570"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department for Work and Pensions (excl. agencies)","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Driver and Vehicle Standards Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Education and Skills Funding Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Education and Skills Funding Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Education and Skills Funding Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Estyn","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Estyn","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Forestry and Land Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Actuary's Department","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Actuary's Department","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Actuary's Department","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Internal Audit Agency","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Internal Audit Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Legal Department","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Legal Department","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Courts and Tribunals Service","No function","90","80","22410","20970"
"Leaver CS","2022","LGBO","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","LGBO","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
