"Status","Year","Function_of_post","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Finance","Operational Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Policy","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Science and Engineering","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Security","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Finance","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Finance","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Grants Management","Operational Delivery","Rural Payments Agency","160","140","24210","21300"
"Leaver CS","2022","Human Resources","Human Resources","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Ministry of Defence (excl. agencies)","120","110","29140","23130"
"Leaver CS","2022","Human Resources","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","UK Health Security Agency","40","30","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Human Resources","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Knowledge and Information Management","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Operational Delivery","Department for Work and Pensions (excl. agencies)","60","50","29620","27570"
"Leaver CS","2022","Human Resources","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Operational Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Operational Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Other","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Policy","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Project Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Human Resources","Unknown","Cabinet Office (excl. agencies)","60","60","37460","34550"
"Leaver CS","2022","Internal Audit","Internal Audit","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Government Internal Audit Agency","30","30","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Internal Audit","Internal Audit","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Knowledge and Information Management","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Knowledge and Information Management","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Knowledge and Information Management","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Crown Prosecution Service","200","170","54560","55000"
"Leaver CS","2022","Legal","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Government Legal Department","140","130","60050","57280"
"Leaver CS","2022","Legal","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Medicine","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Operational Delivery","Crown Prosecution Service","180","170","24560","22790"
"Leaver CS","2022","Legal","Operational Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Other","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Other","Government Legal Department","40","40","[c]","[c]"
"Leaver CS","2022","Legal","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Policy","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Policy","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Tax","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Communications","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Communications","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Corporate Finance","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Digital, Data and Technology","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Digital, Data and Technology","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Digital, Data and Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Economics","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Finance","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Finance","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Geography","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Human Resources","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Inspector of Education and Training","Office for Standards in Education, Children's Services and Skills","120","110","64820","70500"
"Leaver CS","2022","No function","Intelligence Analysis","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Internal Audit","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Internal Audit","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","International Trade","Department for International Trade","100","100","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Public Health England","330","300","34900","30760"
"Leaver CS","2022","No function","Knowledge and Information Management","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Knowledge and Information Management","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicine","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicine","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Medicine","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"Leaver CS","2022","No function","Medicine","Public Health England","90","80","98320","101430"
"Leaver CS","2022","No function","Medicine","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Advisory, Conciliation and Arbitration Service","40","40","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Animal and Plant Health Agency","190","180","27520","24920"
"Leaver CS","2022","No function","Operational Delivery","Charity Commission","30","30","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Companies House","30","20","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Crown Office and Procurator Fiscal Service","80","70","25640","23230"
"Leaver CS","2022","No function","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Department for Work and Pensions (excl. agencies)","6070","5300","26040","27570"
"Leaver CS","2022","No function","Operational Delivery","Department of Health and Social Care (excl. agencies)","70","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Driver and Vehicle Licensing Agency","320","260","21110","21840"
"Leaver CS","2022","No function","Operational Delivery","Driver and Vehicle Standards Agency","380","340","27260","26780"
"Leaver CS","2022","No function","Operational Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Food Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Health and Safety Executive","130","120","40890","39330"
"Leaver CS","2022","No function","Operational Delivery","HM Courts and Tribunals Service","2050","1820","23960","20970"
"Leaver CS","2022","No function","Operational Delivery","HM Land Registry","260","210","28500","27130"
"Leaver CS","2022","No function","Operational Delivery","HM Prison and Probation Service","6330","5880","32170","29600"
"Leaver CS","2022","No function","Operational Delivery","HM Revenue and Customs (excl. agencies)","60","40","26500","22080"
"Leaver CS","2022","No function","Operational Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Legal Aid Agency","50","50","24070","20970"
"Leaver CS","2022","No function","Operational Delivery","Maritime and Coastguard Agency","100","90","32580","26780"
"Leaver CS","2022","No function","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Ministry of Justice (excl. agencies)","410","390","41890","37090"
"Leaver CS","2022","No function","Operational Delivery","National Crime Agency","260","250","41320","39730"
"Leaver CS","2022","No function","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Office of the Public Guardian","70","60","22810","20970"
"Leaver CS","2022","No function","Operational Delivery","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Public Health England","710","650","40620","37480"
"Leaver CS","2022","No function","Operational Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Scottish Courts and Tribunals Service","130","110","26460","23780"
"Leaver CS","2022","No function","Operational Delivery","Scottish Prison Service","240","220","31590","35000"
"Leaver CS","2022","No function","Operational Delivery","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","The Insolvency Service","80","70","28780","23560"
"Leaver CS","2022","No function","Operational Delivery","The National Archives","30","30","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","UK Health Security Agency","520","480","39570","32790"
"Leaver CS","2022","No function","Operational Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","UK Statistics Authority","290","210","23420","19860"
"Leaver CS","2022","No function","Operational Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Research","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Defence Equipment and Support","120","110","29450","26030"
"Leaver CS","2022","No function","Other","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Department for Work and Pensions (excl. agencies)","300","280","28190","27570"
"Leaver CS","2022","No function","Other","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Medicines and Healthcare Products Regulatory Agency","70","60","51210","46460"
"Leaver CS","2022","No function","Other","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Office of Gas and Electricity Markets","110","110","41450","34000"
"Leaver CS","2022","No function","Other","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","Scottish Prison Service","40","40","[c]","[c]"
"Leaver CS","2022","No function","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Other","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Planning Inspectors","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Policy","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Policy","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","200","200","48940","52300"
"Leaver CS","2022","No function","Policy","Department for Digital, Culture, Media and Sport","100","100","41870","36000"
"Leaver CS","2022","No function","Policy","Department for Education (excl. agencies)","130","120","40650","36500"
"Leaver CS","2022","No function","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","260","250","[c]","[c]"
"Leaver CS","2022","No function","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","No function","Policy","Department for Levelling Up, Housing and Communities (excl. agencies)","70","70","41960","39600"
"Leaver CS","2022","No function","Policy","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
