"Status","Year","Organisation","Age","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","HM Revenue and Customs (excl. agencies)","65+","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","16-19","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","16-19","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Economics","40","40","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Policy","190","190","31790","28500"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","20-29","Tax","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","30-39","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","30-39","Policy","40","40","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","30-39","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","40-49","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","50-59","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","50-59","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","HM Treasury (excl. agencies)","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","16-19","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","16-19","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","16-19","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Operational Delivery","470","470","23740","21430"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Other","190","190","29310","28650"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Policy","130","120","37930","35050"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","20-29","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Digital, Data and Technology","50","50","46250","41970"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Operational Delivery","270","260","25200","24880"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Other","70","70","39210","35050"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Policy","30","30","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","30-39","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Digital, Data and Technology","50","50","56040","56550"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Operational Delivery","170","170","26170","24880"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Operational Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Other","50","40","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Social Research","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","40-49","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Operational Delivery","170","160","27320","24880"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","50-59","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","60-64","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","60-64","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","60-64","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","60-64","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","65+","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","65+","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office (incl. agencies)","65+","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","20-29","Operational Delivery","90","90","21730","20880"
"New entrant CS","2021","Insolvency Service","20-29","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","20-29","Statistics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","30-39","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","30-39","Operational Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Insolvency Service","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","40-49","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Insolvency Service","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","20-29","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","30-39","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","30-39","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","50-59","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","50-59","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","60-64","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Institute for Apprenticeships and Technical Education","65+","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Legal Aid Agency","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","16-19","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","20-29","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","20-29","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","20-29","Operational Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","20-29","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","30-39","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","30-39","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","30-39","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","40-49","Intelligence Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","40-49","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","40-49","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","50-59","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","50-59","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","50-59","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","60-64","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","65+","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","65+","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Maritime and Coastguard Agency","65+","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","20-29","Unknown","50","50","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Medicine","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","30-39","Unknown","30","30","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","40-49","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","40-49","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","40-49","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","40-49","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","40-49","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","50-59","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","50-59","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","50-59","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","50-59","Policy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Medicines and Healthcare Products Regulatory Agency","50-59","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","20-29","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","20-29","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","20-29","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","20-29","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","30-39","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","30-39","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","30-39","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","30-39","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","30-39","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","30-39","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","40-49","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","40-49","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","40-49","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","40-49","Operational Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","40-49","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","40-49","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","50-59","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","50-59","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","50-59","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","50-59","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","50-59","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","60-64","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Met Office","60-64","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Other","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Science and Engineering","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","16-19","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","20-29","Commercial","50","50","26020","26510"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","20-29","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","20-29","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","20-29","Economics","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","20-29","Finance","30","30","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","20-29","Human Resources","50","40","[c]","[c]"
"New entrant CS","2021","Ministry of Defence (excl. agencies)","20-29","Intelligence Analysis","[c]","[c]","[c]","[c]"
