"Status","Year","Profession_of_post","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Commercial","Female","York","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","40","40","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Blackpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Brent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Buckinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Central Bedfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Cheshire East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","City of Edinburgh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Devon CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Falkirk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Gloucestershire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Heart of Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Hertfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Lincolnshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","North Lanarkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Oxfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Sefton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Somerset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","South and West Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","South Lanarkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","South Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Staffordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Wakefield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Warrington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","West Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","West Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","West Lothian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","West Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","West Sussex (South West)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Male","York","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Belfast","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","City of Edinburgh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Derby","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Devon CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Dorset","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Durham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Hertfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Lincolnshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Oxfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Sefton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Somerset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","South Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Staffordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Suffolk CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","West Sussex (North East)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","Westminster","110","80","42100","38500"
"Leaver CS","2022","Communications","Female","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Female","York","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Belfast","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","City of Edinburgh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Derby","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Devon CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Dorset","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Durham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Hertfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Lincolnshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Oxfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Sefton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Somerset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","South Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Staffordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Suffolk CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","West Sussex (North East)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","Westminster","70","60","[c]","[c]"
"Leaver CS","2022","Communications","Male","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Male","York","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Female","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Female","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Female","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Female","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Female","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Male","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Male","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Male","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Male","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","Male","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Bedford","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Blackpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Bromley","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Cheshire East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","City of Edinburgh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Devon CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Durham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","East Sussex CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Falkirk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Gloucestershire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Greater Manchester North East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Greater Manchester North West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Haringey and Islington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Hertfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Lincolnshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Mid Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","North Lanarkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","North Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","North Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Oxfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Scottish Borders","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Shropshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Solihull","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","South and West Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","South Ayrshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","South Teesside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Staffordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Suffolk CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Sunderland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Wakefield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Warrington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","West Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","West Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","West Sussex (South West)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","Wolverhampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Female","York","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Bedford","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Blackpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Bromley","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","Male","Cheshire East","[c]","[c]","[c]","[c]"
