"Status","Year","Sex","Region_ITL3","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Female","Bournemouth, Christchurch and Poole","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bournemouth, Christchurch and Poole","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bradford","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bradford","20-29","40","40","[c]","[c]"
"Leaver CS","2022","Female","Bradford","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bradford","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bradford","50-59","30","30","[c]","[c]"
"Leaver CS","2022","Female","Bradford","60-64","40","30","[c]","[c]"
"Leaver CS","2022","Female","Bradford","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Breckland and South Norfolk","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Breckland and South Norfolk","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Breckland and South Norfolk","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Breckland and South Norfolk","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Breckland and South Norfolk","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Breckland and South Norfolk","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brent","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brent","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brent","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brent","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brent","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brent","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bridgend and Neath Port Talbot","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bridgend and Neath Port Talbot","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bridgend and Neath Port Talbot","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bridgend and Neath Port Talbot","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bridgend and Neath Port Talbot","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bridgend and Neath Port Talbot","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brighton and Hove","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brighton and Hove","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brighton and Hove","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brighton and Hove","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brighton and Hove","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brighton and Hove","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Brighton and Hove","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bristol, City of","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bristol, City of","20-29","110","100","23020","21260"
"Leaver CS","2022","Female","Bristol, City of","30-39","90","80","31420","27570"
"Leaver CS","2022","Female","Bristol, City of","40-49","40","40","[c]","[c]"
"Leaver CS","2022","Female","Bristol, City of","50-59","50","40","[c]","[c]"
"Leaver CS","2022","Female","Bristol, City of","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bristol, City of","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bromley","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bromley","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bromley","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bromley","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bromley","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Bromley","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Buckinghamshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Buckinghamshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Buckinghamshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Buckinghamshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Buckinghamshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Buckinghamshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Caithness and Sutherland, and Ross and Cromarty","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Caithness and Sutherland, and Ross and Cromarty","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Caithness and Sutherland, and Ross and Cromarty","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Caithness and Sutherland, and Ross and Cromarty","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Caithness and Sutherland, and Ross and Cromarty","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Caithness and Sutherland, and Ross and Cromarty","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Calderdale and Kirklees","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Calderdale and Kirklees","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Calderdale and Kirklees","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Calderdale and Kirklees","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Calderdale and Kirklees","50-59","40","30","[c]","[c]"
"Leaver CS","2022","Female","Calderdale and Kirklees","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Calderdale and Kirklees","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cambridgeshire CC","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cambridgeshire CC","20-29","50","50","[c]","[c]"
"Leaver CS","2022","Female","Cambridgeshire CC","30-39","40","40","[c]","[c]"
"Leaver CS","2022","Female","Cambridgeshire CC","40-49","40","40","[c]","[c]"
"Leaver CS","2022","Female","Cambridgeshire CC","50-59","60","60","44100","36220"
"Leaver CS","2022","Female","Cambridgeshire CC","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cambridgeshire CC","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Camden and City of London","20-29","30","30","[c]","[c]"
"Leaver CS","2022","Female","Camden and City of London","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Camden and City of London","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Camden and City of London","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Camden and City of London","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Camden and City of London","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cardiff and Vale of Glamorgan","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cardiff and Vale of Glamorgan","20-29","100","90","[c]","[c]"
"Leaver CS","2022","Female","Cardiff and Vale of Glamorgan","30-39","60","50","[c]","[c]"
"Leaver CS","2022","Female","Cardiff and Vale of Glamorgan","40-49","50","40","[c]","[c]"
"Leaver CS","2022","Female","Cardiff and Vale of Glamorgan","50-59","100","80","38530","30660"
"Leaver CS","2022","Female","Cardiff and Vale of Glamorgan","60-64","70","50","[c]","[c]"
"Leaver CS","2022","Female","Cardiff and Vale of Glamorgan","65+","50","30","[c]","[c]"
"Leaver CS","2022","Female","Causeway Coast and Glens","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Causeway Coast and Glens","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Causeway Coast and Glens","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Bedfordshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Bedfordshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Bedfordshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Bedfordshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Bedfordshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Bedfordshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Hampshire","20-29","40","40","[c]","[c]"
"Leaver CS","2022","Female","Central Hampshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Hampshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Hampshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Hampshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Hampshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Valleys","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Valleys","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Valleys","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Valleys","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Valleys","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Central Valleys","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire East","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire East","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire East","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire East","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire East","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire East","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire East","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire West and Chester","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire West and Chester","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire West and Chester","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire West and Chester","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire West and Chester","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire West and Chester","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cheshire West and Chester","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chorley and West Lancashire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chorley and West Lancashire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chorley and West Lancashire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chorley and West Lancashire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chorley and West Lancashire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Chorley and West Lancashire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","City of Edinburgh","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","City of Edinburgh","20-29","120","120","28230","27230"
"Leaver CS","2022","Female","City of Edinburgh","30-39","80","70","35040","31540"
"Leaver CS","2022","Female","City of Edinburgh","40-49","60","50","[c]","[c]"
"Leaver CS","2022","Female","City of Edinburgh","50-59","80","70","45350","37520"
"Leaver CS","2022","Female","City of Edinburgh","60-64","70","60","45240","37520"
"Leaver CS","2022","Female","City of Edinburgh","65+","30","20","[c]","[c]"
"Leaver CS","2022","Female","Clackmannanshire and Fife","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Clackmannanshire and Fife","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Clackmannanshire and Fife","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Clackmannanshire and Fife","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Clackmannanshire and Fife","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Clackmannanshire and Fife","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Conwy and Denbighshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Conwy and Denbighshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Conwy and Denbighshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Conwy and Denbighshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Conwy and Denbighshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Conwy and Denbighshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cornwall and Isles of Scilly","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cornwall and Isles of Scilly","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cornwall and Isles of Scilly","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cornwall and Isles of Scilly","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cornwall and Isles of Scilly","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Cornwall and Isles of Scilly","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Coventry","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Coventry","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Coventry","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Coventry","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Coventry","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Coventry","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Coventry","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Croydon","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Croydon","20-29","80","80","29550","28650"
"Leaver CS","2022","Female","Croydon","30-39","50","40","[c]","[c]"
"Leaver CS","2022","Female","Croydon","40-49","40","40","[c]","[c]"
"Leaver CS","2022","Female","Croydon","50-59","50","50","[c]","[c]"
"Leaver CS","2022","Female","Croydon","60-64","60","50","[c]","[c]"
"Leaver CS","2022","Female","Croydon","65+","50","40","[c]","[c]"
"Leaver CS","2022","Female","Darlington","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Darlington","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Darlington","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Darlington","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Darlington","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Darlington","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Darlington","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derby","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derby","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derby","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derby","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derby","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derby","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derby","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derry City and Strabane","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derry City and Strabane","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Derry City and Strabane","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Devon CC","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Devon CC","20-29","60","60","[c]","[c]"
"Leaver CS","2022","Female","Devon CC","30-39","40","40","[c]","[c]"
"Leaver CS","2022","Female","Devon CC","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Devon CC","50-59","40","30","[c]","[c]"
"Leaver CS","2022","Female","Devon CC","60-64","30","20","[c]","[c]"
"Leaver CS","2022","Female","Devon CC","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dorset","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dorset","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dorset","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dorset","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dorset","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dorset","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dudley","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dudley","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dudley","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dudley","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dudley","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dudley","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dumfries and Galloway","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dumfries and Galloway","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dumfries and Galloway","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dumfries and Galloway","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dumfries and Galloway","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Dumfries and Galloway","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Durham","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Durham","20-29","30","30","[c]","[c]"
"Leaver CS","2022","Female","Durham","30-39","40","30","[c]","[c]"
"Leaver CS","2022","Female","Durham","40-49","40","30","[c]","[c]"
"Leaver CS","2022","Female","Durham","50-59","50","40","[c]","[c]"
"Leaver CS","2022","Female","Durham","60-64","50","30","[c]","[c]"
"Leaver CS","2022","Female","Durham","65+","40","20","[c]","[c]"
"Leaver CS","2022","Female","Ealing","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ealing","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ealing","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ealing","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ealing","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Ealing","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Ayrshire and North Ayrshire mainland","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Ayrshire and North Ayrshire mainland","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Ayrshire and North Ayrshire mainland","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Ayrshire and North Ayrshire mainland","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Ayrshire and North Ayrshire mainland","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Ayrshire and North Ayrshire mainland","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Ayrshire and North Ayrshire mainland","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Cumbria","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Cumbria","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Cumbria","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Cumbria","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Cumbria","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Cumbria","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Cumbria","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Derbyshire","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Derbyshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Derbyshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Derbyshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Derbyshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Derbyshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Derbyshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Kent","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Kent","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Kent","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Kent","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Kent","50-59","30","30","[c]","[c]"
"Leaver CS","2022","Female","East Kent","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Kent","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lancashire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lancashire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lancashire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lancashire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lancashire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lancashire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lothian and Midlothian","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lothian and Midlothian","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lothian and Midlothian","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lothian and Midlothian","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Lothian and Midlothian","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Merseyside","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Merseyside","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Merseyside","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Merseyside","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Merseyside","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Merseyside","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Riding of Yorkshire","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Riding of Yorkshire","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Riding of Yorkshire","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Riding of Yorkshire","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Riding of Yorkshire","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Riding of Yorkshire","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Surrey","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Surrey","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Surrey","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Surrey","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Surrey","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Surrey","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Sussex CC","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Sussex CC","20-29","30","30","[c]","[c]"
"Leaver CS","2022","Female","East Sussex CC","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Sussex CC","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Sussex CC","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Sussex CC","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","East Sussex CC","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Enfield","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Enfield","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Enfield","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Enfield","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Enfield","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Enfield","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Enfield","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Haven Gateway","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Haven Gateway","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Haven Gateway","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Haven Gateway","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Haven Gateway","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Haven Gateway","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Thames Gateway","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Thames Gateway","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Thames Gateway","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Thames Gateway","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Thames Gateway","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Essex Thames Gateway","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Falkirk","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Falkirk","20-29","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Falkirk","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Falkirk","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Falkirk","50-59","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Falkirk","60-64","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Female","Falkirk","65+","[c]","[c]","[c]","[c]"
