"Status","Year","Responsibility_level","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","SCS","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Cabinet Office (excl. agencies)","470","460","32970","32000"
"Leaver Dept.","2021","SEO/HEO","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Defence Equipment and Support","90","90","31050","31310"
"Leaver Dept.","2021","SEO/HEO","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","35320","33640"
"Leaver Dept.","2021","SEO/HEO","Female","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Department for Education (excl. agencies)","60","60","37670","37100"
"Leaver Dept.","2021","SEO/HEO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","35750","34730"
"Leaver Dept.","2021","SEO/HEO","Female","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Department for International Trade","60","60","34680","32840"
"Leaver Dept.","2021","SEO/HEO","Female","Department for Transport (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Department for Work and Pensions (excl. agencies)","170","160","34410","33450"
"Leaver Dept.","2021","SEO/HEO","Female","Department of Health and Social Care (excl. agencies)","40","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Foreign, Commonwealth and Development Office (excl. agencies)","70","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","HM Courts and Tribunals Service","50","50","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","HM Prison and Probation Service","50","50","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","HM Revenue and Customs (excl. agencies)","180","170","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Home Office (incl. agencies)","220","210","37010","35200"
"Leaver Dept.","2021","SEO/HEO","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Ministry of Defence (excl. agencies)","90","90","39080","39510"
"Leaver Dept.","2021","SEO/HEO","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","80","80","35630","33210"
"Leaver Dept.","2021","SEO/HEO","Female","Ministry of Justice (excl. agencies)","130","130","36780","36800"
"Leaver Dept.","2021","SEO/HEO","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","United Kingdom Statistics Authority","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Female","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Cabinet Office (excl. agencies)","370","370","33030","32000"
"Leaver Dept.","2021","SEO/HEO","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Defence Equipment and Support","130","130","32450","32490"
"Leaver Dept.","2021","SEO/HEO","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","100","90","35820","34240"
"Leaver Dept.","2021","SEO/HEO","Male","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Department for Education (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","110","110","35340","33960"
"Leaver Dept.","2021","SEO/HEO","Male","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Department for International Trade","70","70","35010","34170"
"Leaver Dept.","2021","SEO/HEO","Male","Department for Transport (excl. agencies)","60","60","37930","35430"
"Leaver Dept.","2021","SEO/HEO","Male","Department for Work and Pensions (excl. agencies)","110","110","35390","35310"
"Leaver Dept.","2021","SEO/HEO","Male","Department of Health and Social Care (excl. agencies)","30","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Foreign, Commonwealth and Development Office (excl. agencies)","40","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","HM Revenue and Customs (excl. agencies)","160","160","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","HM Treasury (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Home Office (incl. agencies)","150","150","36680","36280"
"Leaver Dept.","2021","SEO/HEO","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Ministry of Defence (excl. agencies)","90","90","39670","40440"
"Leaver Dept.","2021","SEO/HEO","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","34260","33210"
"Leaver Dept.","2021","SEO/HEO","Male","Ministry of Justice (excl. agencies)","90","90","37440","36800"
"Leaver Dept.","2021","SEO/HEO","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","United Kingdom Statistics Authority","50","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Male","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","HM Prison and Probation Service","60","50","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","UK Space Agency","[c]","[c]","[c]","[c]"
