"Status","Year","Organisation","Sex","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","HM Courts and Tribunals Service","Female","Wolverhampton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Female","Worcestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Female","York","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Bedford","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Birmingham","30","30","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Blackpool","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Brent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Bromley","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Camden and City of London","30","30","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Cheshire East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","City of Edinburgh","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Derby","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Devon CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Dudley","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Durham CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","East Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","East Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","East Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","East Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","East Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","East Sussex CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Enfield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Greater Manchester North West","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Greater Manchester South East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Gwynedd","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Haringey and Islington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Heart of Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Hertfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Luton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Medway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Mid Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","North Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","North Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Northumberland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Oxfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Shropshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Somerset","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","South Teesside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Southend-on-Sea","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Staffordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Suffolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Sunderland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Telford and Wrekin","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Torbay","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Wakefield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Walsall","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Wandsworth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Warrington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Warwickshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","West Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","West Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","West Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","West Sussex (South West)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Westminster","50","50","36630","30850"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Wolverhampton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","Worcestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Courts and Tribunals Service","Male","York","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Dorset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Durham CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Telford and Wrekin","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Female","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Dorset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Durham CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Telford and Wrekin","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Land Registry","Male","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Barnsley, Doncaster and Rotherham","50","40","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Bedford","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Bexley and Greenwich","40","40","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Birmingham","30","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Blackpool","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Brent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Bromley","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Buckinghamshire CC","40","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Camden and City of London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Cheshire East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Chorley and West Lancashire","40","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Derby","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Devon CC","30","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Dorset CC","30","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Dudley","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Durham CC","40","40","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Ealing","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","East Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","East Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","East Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","East Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","East Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","East Sussex CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Enfield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Flintshire and Wrexham","40","40","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Greater Manchester North East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Greater Manchester North West","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Greater Manchester South East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Gwynedd","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Haringey and Islington","30","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Heart of Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Herefordshire, County of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Hertfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Kent Thames Gateway","30","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Leeds","50","50","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Leicestershire CC and Rutland","30","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Lincolnshire","30","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Luton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Medway","40","30","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Mid Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","North and West Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","North Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","North Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Northumberland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Oxfordshire","50","50","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Sandwell","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Sefton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Shropshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Somerset","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","South and West Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","South Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","South Teesside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Staffordshire CC","80","70","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Suffolk","50","40","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Sunderland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Torbay","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Female","Tyneside","[c]","[c]","[c]","[c]"
