"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Rural Payments Agency","60","60","21150","21300"
"Leaver CS","2022","Unknown","AA/AO","Scottish Courts and Tribunals Service","90","70","22650","23780"
"Leaver CS","2022","Unknown","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Scottish Government (excl. agencies)","60","60","24280","23230"
"Leaver CS","2022","Unknown","AA/AO","Scottish Prison Service","110","110","23980","22910"
"Leaver CS","2022","Unknown","AA/AO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","UK Statistics Authority","80","60","19920","19610"
"Leaver CS","2022","Unknown","AA/AO","Valuation Office Agency","60","50","21690","21750"
"Leaver CS","2022","Unknown","AA/AO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Defence Equipment and Support","80","80","19790","18820"
"Leaver CS","2022","Unknown","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Department for Education (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Department for International Trade","60","60","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Department for Work and Pensions (excl. agencies)","900","770","27970","27570"
"Leaver CS","2022","Unknown","EO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Driver and Vehicle Standards Agency","100","90","26620","26130"
"Leaver CS","2022","Unknown","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","HM Courts and Tribunals Service","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","EO","HM Land Registry","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","EO","HM Prison and Probation Service","100","90","[c]","[c]"
"Leaver CS","2022","Unknown","EO","HM Revenue and Customs (excl. agencies)","860","720","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Home Office","120","120","26980","25770"
"Leaver CS","2022","Unknown","EO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Ministry of Defence (excl. agencies)","90","80","26940","26670"
"Leaver CS","2022","Unknown","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Public Health England","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Scottish Prison Service","90","80","34180","35000"
"Leaver CS","2022","Unknown","EO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Cabinet Office (excl. agencies)","130","130","66620","64630"
"Leaver CS","2022","Unknown","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Crown Prosecution Service","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Defence Science and Technology Laboratory","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Department for Work and Pensions (excl. agencies)","70","60","58930","59000"
"Leaver CS","2022","Unknown","G6/G7","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","60","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","HM Revenue and Customs (excl. agencies)","290","260","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Home Office","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Office of Gas and Electricity Markets","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Public Health England","70","60","58020","54250"
"Leaver CS","2022","Unknown","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Scottish Government (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","UK Health Security Agency","80","70","57660","53360"
"Leaver CS","2022","Unknown","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Cabinet Office (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Cabinet Office (excl. agencies)","110","100","32920","32000"
"Leaver CS","2022","Unknown","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Defence Equipment and Support","50","50","35200","34850"
"Leaver CS","2022","Unknown","SEO/HEO","Defence Science and Technology Laboratory","50","50","33780","34050"
"Leaver CS","2022","Unknown","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Department for Education (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","70","70","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Department for Work and Pensions (excl. agencies)","120","110","36490","35310"
"Leaver CS","2022","Unknown","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","90","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","HM Courts and Tribunals Service","50","50","34600","30850"
"Leaver CS","2022","Unknown","SEO/HEO","HM Land Registry","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","HM Prison and Probation Service","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","HM Revenue and Customs (excl. agencies)","780","670","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Home Office","90","80","37700","37450"
"Leaver CS","2022","Unknown","SEO/HEO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Ministry of Defence (excl. agencies)","110","100","38530","38860"
"Leaver CS","2022","Unknown","SEO/HEO","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Public Health England","60","50","37580","37480"
"Leaver CS","2022","Unknown","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Scottish Government (excl. agencies)","80","70","38540","36130"
"Leaver CS","2022","Unknown","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","UK Health Security Agency","90","90","35340","35970"
"Leaver CS","2022","Unknown","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
