"Status","Year","Function_of_post","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Analysis","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","AA/AO","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","AA/AO","United Kingdom Statistics Authority","50","50","19490","19130"
"New entrant CS","2021","Analysis","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","EO","United Kingdom Statistics Authority","50","50","23610","23050"
"New entrant CS","2021","Analysis","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Department of Health and Social Care (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Department for International Trade","40","40","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Department for Transport (excl. agencies)","70","70","34340","34710"
"New entrant CS","2021","Analysis","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","HM Revenue and Customs (excl. agencies)","90","90","34390","36160"
"New entrant CS","2021","Analysis","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","United Kingdom Statistics Authority","310","310","32630","32540"
"New entrant CS","2021","Analysis","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Analysis","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Ministry of Defence (excl. agencies)","40","30","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Cabinet Office (excl. agencies)","60","60","79430","85000"
"New entrant CS","2021","Commercial","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SCS","Cabinet Office (excl. agencies)","150","150","80850","71000"
"New entrant CS","2021","Commercial","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Crown Commercial Service","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Department of Health and Social Care (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Commercial","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Department for Education (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","Communications","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","HM Revenue and Customs (excl. agencies)","620","610","25560","25560"
"New entrant CS","2021","Communications","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SCS","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
