"Status","Year","Sexual_orientation","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Unknown","Wales","SEO/HEO","1410","1340","34800","33840"
"In post","2021","Unknown","Wales","Unknown","130","120","28640","28200"
"In post","2021","Unknown","West Midlands (England)","AA/AO","2640","2350","21820","21010"
"In post","2021","Unknown","West Midlands (England)","EO","2050","1850","27090","27570"
"In post","2021","Unknown","West Midlands (England)","G6/G7","510","490","56570","52580"
"In post","2021","Unknown","West Midlands (England)","SCS","40","40","[c]","[c]"
"In post","2021","Unknown","West Midlands (England)","SEO/HEO","1250","1200","35790","34070"
"In post","2021","Unknown","West Midlands (England)","Unknown","130","110","27460","28200"
"In post","2021","Unknown","Yorkshire and The Humber","AA/AO","2950","2650","22140","21010"
"In post","2021","Unknown","Yorkshire and The Humber","EO","2220","2010","27020","27570"
"In post","2021","Unknown","Yorkshire and The Humber","G6/G7","810","770","56200","53350"
"In post","2021","Unknown","Yorkshire and The Humber","SCS","80","80","82770","75520"
"In post","2021","Unknown","Yorkshire and The Humber","SEO/HEO","1620","1550","34440","33300"
"In post","2021","Unknown","Yorkshire and The Humber","Unknown","70","60","24610","22920"
"In post","2022","Heterosexual / straight","East Midlands (England)","AA/AO","5290","4830","22560","21260"
"In post","2022","Heterosexual / straight","East Midlands (England)","EO","4190","3890","27410","27570"
"In post","2022","Heterosexual / straight","East Midlands (England)","G6/G7","1270","1220","58090","55210"
"In post","2022","Heterosexual / straight","East Midlands (England)","SCS","80","70","88960","84560"
"In post","2022","Heterosexual / straight","East Midlands (England)","SEO/HEO","3780","3600","36620","34480"
"In post","2022","Heterosexual / straight","East Midlands (England)","Unknown","1090","1000","29760","28200"
"In post","2022","Heterosexual / straight","East of England","AA/AO","5110","4730","23970","21860"
"In post","2022","Heterosexual / straight","East of England","EO","4920","4550","28330","27570"
"In post","2022","Heterosexual / straight","East of England","G6/G7","1010","970","59490","56310"
"In post","2022","Heterosexual / straight","East of England","SCS","100","100","95600","95140"
"In post","2022","Heterosexual / straight","East of England","SEO/HEO","3720","3560","37110","35980"
"In post","2022","Heterosexual / straight","East of England","Unknown","1190","1100","29490","28200"
"In post","2022","Heterosexual / straight","London","AA/AO","7520","6980","25970","25110"
"In post","2022","Heterosexual / straight","London","EO","14140","13480","30190","30460"
"In post","2022","Heterosexual / straight","London","G6/G7","19360","18700","60600","58600"
"In post","2022","Heterosexual / straight","London","SCS","3120","3010","90240","81920"
"In post","2022","Heterosexual / straight","London","SEO/HEO","22830","22310","39110","38600"
"In post","2022","Heterosexual / straight","London","Unknown","1740","1670","34660","33950"
"In post","2022","Heterosexual / straight","North East (England)","AA/AO","8060","6980","22030","21260"
"In post","2022","Heterosexual / straight","North East (England)","EO","5770","5240","27160","27570"
"In post","2022","Heterosexual / straight","North East (England)","G6/G7","1980","1930","56230","55210"
"In post","2022","Heterosexual / straight","North East (England)","SCS","100","100","86280","77990"
"In post","2022","Heterosexual / straight","North East (England)","SEO/HEO","5270","5020","35640","33500"
"In post","2022","Heterosexual / straight","North East (England)","Unknown","920","880","29680","28200"
"In post","2022","Heterosexual / straight","North West (England)","AA/AO","12980","11650","21880","21260"
"In post","2022","Heterosexual / straight","North West (England)","EO","12820","11890","27110","27570"
"In post","2022","Heterosexual / straight","North West (England)","G6/G7","4050","3920","57040","55210"
"In post","2022","Heterosexual / straight","North West (England)","SCS","210","210","87070","79810"
