"Status","Year","Region_ITL2","Ethnicity","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Hampshire and Isle of Wight","Mixed","Female","90","80","28890","26670"
"In post","2021","Hampshire and Isle of Wight","Mixed","Male","90","90","35000","31650"
"In post","2021","Hampshire and Isle of Wight","Mixed","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","Undeclared","Female","290","260","30890","27570"
"In post","2021","Hampshire and Isle of Wight","Undeclared","Male","570","550","36990","35200"
"In post","2021","Hampshire and Isle of Wight","Unknown","Female","700","610","28950","24800"
"In post","2021","Hampshire and Isle of Wight","Unknown","Male","820","760","31770","27750"
"In post","2021","Hampshire and Isle of Wight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Hampshire and Isle of Wight","White","Female","6200","5540","30550","27570"
"In post","2021","Hampshire and Isle of Wight","White","Male","6020","5750","33940","31470"
"In post","2021","Hampshire and Isle of Wight","White","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Asian","Female","110","90","25530","25040"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Asian","Male","90","80","27410","25400"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Black","Male","40","40","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Mixed","Female","30","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Mixed","Male","30","30","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Undeclared","Female","60","60","27930","27570"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Undeclared","Male","80","80","30100","29980"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Unknown","Female","190","170","25620","23990"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","Unknown","Male","180","180","26980","24920"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","White","Female","1730","1570","27400","25600"
"In post","2021","Herefordshire, Worcestershire and Warwickshire","White","Male","1410","1380","29440","27570"
"In post","2021","Highlands and Islands","Asian","Female","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Asian","Male","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Black","Female","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Black","Male","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Chinese","Female","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Chinese","Male","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Mixed","Female","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Mixed","Male","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Other ethnicity","Female","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Other ethnicity","Male","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Undeclared","Female","[c]","[c]","[c]","[c]"
"In post","2021","Highlands and Islands","Undeclared","Male","50","40","[c]","[c]"
"In post","2021","Highlands and Islands","Unknown","Female","130","120","26500","24680"
"In post","2021","Highlands and Islands","Unknown","Male","110","100","29050","26590"
"In post","2021","Highlands and Islands","White","Female","850","770","28100","27570"
"In post","2021","Highlands and Islands","White","Male","780","760","29830","27570"
"In post","2021","Inner London - East","Asian","Female","1450","1320","35940","31060"
"In post","2021","Inner London - East","Asian","Male","1070","1050","38590","32520"
"In post","2021","Inner London - East","Black","Female","1720","1640","32740","31060"
"In post","2021","Inner London - East","Black","Male","810","790","35030","31730"
"In post","2021","Inner London - East","Chinese","Female","70","70","42930","40450"
"In post","2021","Inner London - East","Chinese","Male","40","40","[c]","[c]"
"In post","2021","Inner London - East","Mixed","Female","390","380","37300","31880"
"In post","2021","Inner London - East","Mixed","Male","220","210","39880","35050"
"In post","2021","Inner London - East","Other ethnicity","Female","160","150","39650","32590"
"In post","2021","Inner London - East","Other ethnicity","Male","110","100","47130","40170"
"In post","2021","Inner London - East","Undeclared","Female","520","470","37610","31880"
"In post","2021","Inner London - East","Undeclared","Male","410","390","44040","37710"
"In post","2021","Inner London - East","Unknown","Female","990","930","38400","32260"
"In post","2021","Inner London - East","Unknown","Male","1010","990","42250","36160"
"In post","2021","Inner London - East","White","Female","4330","4060","45700","40170"
"In post","2021","Inner London - East","White","Male","3890","3790","48530","43150"
"In post","2021","Inner London - West","Asian","Female","3560","3390","40880","36160"
"In post","2021","Inner London - West","Asian","Male","2440","2410","41950","36650"
"In post","2021","Inner London - West","Black","Female","2940","2840","36570","32960"
"In post","2021","Inner London - West","Black","Male","1390","1380","37810","34550"
"In post","2021","Inner London - West","Black","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","Chinese","Female","210","210","46230","41780"
"In post","2021","Inner London - West","Chinese","Male","150","150","42560","40050"
"In post","2021","Inner London - West","Mixed","Female","1170","1130","43330","38750"
"In post","2021","Inner London - West","Mixed","Male","880","870","45740","40840"
"In post","2021","Inner London - West","Other ethnicity","Female","420","400","43370","37600"
"In post","2021","Inner London - West","Other ethnicity","Male","290","280","46570","40600"
"In post","2021","Inner London - West","Undeclared","Female","930","890","44290","40050"
"In post","2021","Inner London - West","Undeclared","Male","1400","1380","48280","44910"
"In post","2021","Inner London - West","Unknown","Female","5900","5730","44170","38600"
"In post","2021","Inner London - West","Unknown","Male","5200","5160","46800","40480"
"In post","2021","Inner London - West","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Inner London - West","White","Female","17180","16390","49280","47980"
"In post","2021","Inner London - West","White","Male","17060","16860","50890","50000"
