"Status","Year","Profession_of_post","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Operational Delivery","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","HM Courts and Tribunals Service","660","640","22000","20970"
"Leaver CS","2022","Operational Delivery","20-29","HM Land Registry","50","50","24600","22600"
"Leaver CS","2022","Operational Delivery","20-29","HM Prison and Probation Service","2020","1990","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Home Office","210","190","24350","24880"
"Leaver CS","2022","Operational Delivery","20-29","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Ministry of Justice (excl. agencies)","110","110","29510","26800"
"Leaver CS","2022","Operational Delivery","20-29","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Public Health England","140","140","26700","23780"
"Leaver CS","2022","Operational Delivery","20-29","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Rural Payments Agency","40","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Scottish Prison Service","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","UK Health Security Agency","160","150","29810","26880"
"Leaver CS","2022","Operational Delivery","20-29","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","UK Statistics Authority","70","70","23180","19860"
"Leaver CS","2022","Operational Delivery","20-29","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","20-29","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Animal and Plant Health Agency","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Department for Work and Pensions (excl. agencies)","910","860","26330","27570"
"Leaver CS","2022","Operational Delivery","30-39","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Driver and Vehicle Licensing Agency","70","60","21600","21840"
"Leaver CS","2022","Operational Delivery","30-39","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","HM Courts and Tribunals Service","300","270","23630","20970"
"Leaver CS","2022","Operational Delivery","30-39","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","HM Prison and Probation Service","1540","1470","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Home Office","230","200","25280","24890"
"Leaver CS","2022","Operational Delivery","30-39","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Ministry of Justice (excl. agencies)","100","100","43390","41750"
"Leaver CS","2022","Operational Delivery","30-39","National Crime Agency","50","50","40200","39190"
"Leaver CS","2022","Operational Delivery","30-39","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Public Health England","170","160","37620","36330"
"Leaver CS","2022","Operational Delivery","30-39","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Scottish Prison Service","50","50","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","UK Health Security Agency","130","130","39340","36820"
"Leaver CS","2022","Operational Delivery","30-39","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","UK Statistics Authority","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","30-39","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Animal and Plant Health Agency","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Department for Work and Pensions (excl. agencies)","820","760","26400","27570"
"Leaver CS","2022","Operational Delivery","40-49","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Driver and Vehicle Licensing Agency","50","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Driver and Vehicle Standards Agency","60","60","26610","26530"
"Leaver CS","2022","Operational Delivery","40-49","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","HM Courts and Tribunals Service","230","210","26020","21410"
"Leaver CS","2022","Operational Delivery","40-49","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","HM Prison and Probation Service","820","780","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Home Office","170","150","26830","25040"
"Leaver CS","2022","Operational Delivery","40-49","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Ministry of Justice (excl. agencies)","70","70","48870","46550"
"Leaver CS","2022","Operational Delivery","40-49","National Crime Agency","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Public Health England","150","120","45360","47130"
"Leaver CS","2022","Operational Delivery","40-49","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","UK Health Security Agency","110","110","45430","40360"
"Leaver CS","2022","Operational Delivery","40-49","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","UK Statistics Authority","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","40-49","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Crown Prosecution Service","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Department for Work and Pensions (excl. agencies)","1240","1100","26580","27570"
"Leaver CS","2022","Operational Delivery","50-59","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Driver and Vehicle Standards Agency","110","100","27370","26480"
"Leaver CS","2022","Operational Delivery","50-59","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Health and Safety Executive","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","HM Courts and Tribunals Service","370","320","26430","21300"
"Leaver CS","2022","Operational Delivery","50-59","HM Land Registry","60","50","30000","27130"
"Leaver CS","2022","Operational Delivery","50-59","HM Prison and Probation Service","950","880","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Home Office","330","270","30690","27370"
"Leaver CS","2022","Operational Delivery","50-59","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Ministry of Justice (excl. agencies)","60","60","48190","51030"
"Leaver CS","2022","Operational Delivery","50-59","National Crime Agency","70","70","47270","43430"
"Leaver CS","2022","Operational Delivery","50-59","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Public Health England","190","170","48100","48860"
"Leaver CS","2022","Operational Delivery","50-59","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Scottish Courts and Tribunals Service","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Scottish Prison Service","80","70","34520","35000"
"Leaver CS","2022","Operational Delivery","50-59","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","UK Health Security Agency","80","80","48230","40070"
"Leaver CS","2022","Operational Delivery","50-59","UK Statistics Authority","60","40","23830","19860"
"Leaver CS","2022","Operational Delivery","50-59","Valuation Office Agency","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","50-59","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Department for Work and Pensions (excl. agencies)","910","700","27010","27570"
"Leaver CS","2022","Operational Delivery","60-64","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Driver and Vehicle Licensing Agency","50","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Driver and Vehicle Standards Agency","70","60","28020","26780"
"Leaver CS","2022","Operational Delivery","60-64","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Health and Safety Executive","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","HM Courts and Tribunals Service","240","190","25800","20970"
"Leaver CS","2022","Operational Delivery","60-64","HM Land Registry","50","40","31380","33840"
"Leaver CS","2022","Operational Delivery","60-64","HM Prison and Probation Service","510","420","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Home Office","270","200","30100","27370"
"Leaver CS","2022","Operational Delivery","60-64","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","National Crime Agency","50","50","40530","41170"
"Leaver CS","2022","Operational Delivery","60-64","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Public Health England","50","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Rural Payments Agency","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Scottish Courts and Tribunals Service","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Scottish Prison Service","50","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","UK Statistics Authority","50","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","60-64","Valuation Office Agency","[c]","[c]","[c]","[c]"
