"Status","Year","Ethnicity","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Undeclared","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Ministry of Defence","40","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department for Transport","30","30","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department for Work and Pensions","200","150","27850","27570"
"Leaver CS","2022","Undeclared","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","HM Revenue and Customs","60","50","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Home Office","60","50","31550","29060"
"Leaver CS","2022","Undeclared","Declared non-disabled","Ministry of Defence","110","100","34760","33300"
"Leaver CS","2022","Undeclared","Declared non-disabled","Ministry of Justice","100","90","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Department for Work and Pensions","60","50","31010","27570"
"Leaver CS","2022","Undeclared","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","HM Revenue and Customs","130","110","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Home Office","50","40","34170","31350"
"Leaver CS","2022","Undeclared","Undeclared","Ministry of Defence","130","120","36850","36460"
"Leaver CS","2022","Undeclared","Undeclared","Ministry of Justice","80","70","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Department of Health and Social Care","110","100","46470","40730"
"Leaver CS","2022","Undeclared","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","UK Statistics Authority","120","110","26220","22610"
"Leaver CS","2022","Undeclared","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared disabled","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Department for Environment, Food and Rural Affairs","80","80","23140","21300"
"Leaver CS","2022","Unknown","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Department for Work and Pensions","160","130","29770","26120"
"Leaver CS","2022","Unknown","Declared non-disabled","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","HM Revenue and Customs","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Ministry of Defence","120","110","31060","29230"
"Leaver CS","2022","Unknown","Declared non-disabled","Ministry of Justice","130","110","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Declared non-disabled","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Ministry of Justice","60","50","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Attorney General's Departments","50","50","46090","45280"
"Leaver CS","2022","Unknown","Unknown","Cabinet Office","350","340","51550","40600"
"Leaver CS","2022","Unknown","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","210","180","32000","26000"
"Leaver CS","2022","Unknown","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Education","90","90","35870","29840"
"Leaver CS","2022","Unknown","Unknown","Department for Environment, Food and Rural Affairs","150","140","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for International Trade","80","80","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Levelling Up, Housing and Communities","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Transport","320","300","28510","26130"
"Leaver CS","2022","Unknown","Unknown","Department for Work and Pensions","980","950","26750","27570"
"Leaver CS","2022","Unknown","Unknown","Department of Health and Social Care","610","210","50640","49300"
"Leaver CS","2022","Unknown","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Foreign, Commonwealth and Development Office","80","50","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","HM Land Registry","60","60","30390","27130"
"Leaver CS","2022","Unknown","Unknown","HM Revenue and Customs","1270","1120","27260","22040"
"Leaver CS","2022","Unknown","Unknown","Home Office","310","300","30900","27570"
"Leaver CS","2022","Unknown","Unknown","Ministry of Defence","700","670","32000","30290"
"Leaver CS","2022","Unknown","Unknown","Ministry of Justice","2350","2230","24440","20970"
"Leaver CS","2022","Unknown","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Scottish Government","570","510","32720","28990"
"Leaver CS","2022","Unknown","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Attorney General's Departments","50","40","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Cabinet Office","40","40","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Department for Education","30","30","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Department for Environment, Food and Rural Affairs","80","70","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Department for Transport","90","70","29390","26780"
"Leaver CS","2022","White","Declared disabled","Department for Work and Pensions","1120","920","26380","27570"
"Leaver CS","2022","White","Declared disabled","Department of Health and Social Care","130","110","40300","35970"
"Leaver CS","2022","White","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Foreign, Commonwealth and Development Office","40","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","HM Land Registry","40","30","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","HM Revenue and Customs","370","290","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Home Office","150","120","30550","26160"
"Leaver CS","2022","White","Declared disabled","Ministry of Defence","410","370","32300","27460"
"Leaver CS","2022","White","Declared disabled","Ministry of Justice","810","730","25090","20970"
"Leaver CS","2022","White","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Scottish Government","90","80","34590","34600"
"Leaver CS","2022","White","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","UK Statistics Authority","40","30","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Attorney General's Departments","310","270","47610","50500"
"Leaver CS","2022","White","Declared non-disabled","Cabinet Office","260","250","49610","43890"
"Leaver CS","2022","White","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Competition and Markets Authority","60","60","56330","55430"
"Leaver CS","2022","White","Declared non-disabled","Department for Business, Energy and Industrial Strategy","370","340","41250","39650"
"Leaver CS","2022","White","Declared non-disabled","Department for Digital, Culture, Media and Sport","80","80","41750","35510"
"Leaver CS","2022","White","Declared non-disabled","Department for Education","160","150","47340","42470"
"Leaver CS","2022","White","Declared non-disabled","Department for Environment, Food and Rural Affairs","470","430","30240","25330"
"Leaver CS","2022","White","Declared non-disabled","Department for International Trade","60","60","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Department for Levelling Up, Housing and Communities","130","120","46830","43740"
"Leaver CS","2022","White","Declared non-disabled","Department for Transport","630","540","32160","26780"
"Leaver CS","2022","White","Declared non-disabled","Department for Work and Pensions","4730","4100","27260","27570"
"Leaver CS","2022","White","Declared non-disabled","Department of Health and Social Care","1260","1100","41860","37530"
"Leaver CS","2022","White","Declared non-disabled","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Food Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Foreign, Commonwealth and Development Office","200","110","49940","48500"
"Leaver CS","2022","White","Declared non-disabled","HM Land Registry","170","130","34930","33840"
"Leaver CS","2022","White","Declared non-disabled","HM Revenue and Customs","2160","1790","32320","26880"
"Leaver CS","2022","White","Declared non-disabled","HM Treasury","100","100","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Home Office","1120","940","32160","26160"
"Leaver CS","2022","White","Declared non-disabled","Ministry of Defence","2710","2560","32750","29250"
"Leaver CS","2022","White","Declared non-disabled","Ministry of Justice","4660","4260","28480","21190"
"Leaver CS","2022","White","Declared non-disabled","National Crime Agency","80","70","45730","41350"
"Leaver CS","2022","White","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","130","120","57070","51360"
"Leaver CS","2022","White","Declared non-disabled","Office of Gas and Electricity Markets","150","140","43680","36980"
"Leaver CS","2022","White","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Scottish Government","490","440","38980","33070"
"Leaver CS","2022","White","Declared non-disabled","The National Archives","40","30","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","UK Statistics Authority","190","150","30520","23880"
"Leaver CS","2022","White","Declared non-disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Declared non-disabled","Welsh Government","190","170","42790","37410"
"Leaver CS","2022","White","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Department for Transport","40","40","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Department for Work and Pensions","200","180","25950","25110"
"Leaver CS","2022","White","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","HM Revenue and Customs","100","80","[c]","[c]"
"Leaver CS","2022","White","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Home Office","30","30","[c]","[c]"
"Leaver CS","2022","White","Undeclared","Ministry of Defence","190","180","30520","26670"
"Leaver CS","2022","White","Undeclared","Ministry of Justice","570","480","29380","21410"
"Leaver CS","2022","White","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Undeclared","UK Statistics Authority","100","90","30260","29540"
"Leaver CS","2022","White","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Attorney General's Departments","80","80","38030","38000"
"Leaver CS","2022","White","Unknown","Cabinet Office","30","30","[c]","[c]"
"Leaver CS","2022","White","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Department for Business, Energy and Industrial Strategy","50","40","32110","30360"
"Leaver CS","2022","White","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Department for Education","50","50","39770","36500"
"Leaver CS","2022","White","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Department for Transport","30","30","[c]","[c]"
"Leaver CS","2022","White","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Department of Health and Social Care","410","300","48570","40560"
"Leaver CS","2022","White","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","HM Land Registry","50","50","[c]","[c]"
"Leaver CS","2022","White","Unknown","HM Revenue and Customs","310","240","[c]","[c]"
"Leaver CS","2022","White","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","White","Unknown","Home Office","50","40","[c]","[c]"
"Leaver CS","2022","White","Unknown","Ministry of Defence","350","330","32080","29370"
"Leaver CS","2022","White","Unknown","Ministry of Justice","70","60","[c]","[c]"
"Leaver CS","2022","White","Unknown","National Crime Agency","160","150","41100","38090"
"Leaver CS","2022","White","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
