"Status","Year","Disability","Region_ITL3","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","Belfast","Security","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Belfast","Unknown","40","40","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Debt","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","No function","100","90","30900","29000"
"In post","2021","Declared disabled","Berkshire","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Property","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Security","50","50","[c]","[c]"
"In post","2021","Declared disabled","Berkshire","Unknown","100","90","29340","29290"
"In post","2021","Declared disabled","Bexley and Greenwich","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","Bexley and Greenwich","No function","110","110","30970","30780"
