"Status","Year","Sexual_orientation","Region_ITL1","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Northern Ireland","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Department for Transport","40","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","Food Standards Agency","60","60","37860","37910"
"In post","2021","Heterosexual / straight","Northern Ireland","HM Revenue and Customs","1170","1090","30420","28130"
"In post","2021","Heterosexual / straight","Northern Ireland","Home Office","430","390","25200","24890"
"In post","2021","Heterosexual / straight","Northern Ireland","Ministry of Defence","770","750","24370","20660"
"In post","2021","Heterosexual / straight","Northern Ireland","National Crime Agency","90","90","39540","37970"
"In post","2021","Heterosexual / straight","Northern Ireland","Northern Ireland Office","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Department for International Trade","90","90","57150","55650"
"In post","2021","Heterosexual / straight","Overseas","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Foreign, Commonwealth and Development Office","1580","1570","51810","53000"
"In post","2021","Heterosexual / straight","Overseas","Home Office","240","240","28200","27370"
"In post","2021","Heterosexual / straight","Overseas","Ministry of Defence","460","460","41010","37060"
"In post","2021","Heterosexual / straight","Overseas","National Crime Agency","100","100","66640","63280"
"In post","2021","Heterosexual / straight","Overseas","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","Attorney General's Departments","[c]","[c]","[c]","[c]"
