"Status","Year","Sexual_orientation","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","LGBO","Female","No function","430","400","35550","31060"
"Leaver Dept.","2022","LGBO","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Female","Unknown","50","50","36810","31990"
"Leaver Dept.","2022","LGBO","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","No function","450","420","38670","32780"
"Leaver Dept.","2022","LGBO","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Male","Unknown","60","50","35580","31770"
"Leaver Dept.","2022","LGBO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Analysis","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Commercial","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Communications","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Digital, Data & Technology","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Finance","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Human Resources","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","No function","950","690","39340","34260"
"Leaver Dept.","2022","Undeclared","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Female","Unknown","120","70","37450","32390"
"Leaver Dept.","2022","Undeclared","Male","Analysis","80","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Commercial","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Communications","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Digital, Data & Technology","90","50","43810","38610"
"Leaver Dept.","2022","Undeclared","Male","Finance","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","No function","610","440","41760","34590"
"Leaver Dept.","2022","Undeclared","Male","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Male","Unknown","100","80","36030","31100"
"Leaver Dept.","2022","Unknown","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Communications","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Digital, Data & Technology","50","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","No function","1720","1620","39880","32000"
"Leaver Dept.","2022","Unknown","Female","Project Delivery","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Female","Unknown","1060","860","36070","30750"
"Leaver Dept.","2022","Unknown","Male","Analysis","50","50","37750","35100"
"Leaver Dept.","2022","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Digital, Data & Technology","90","90","41550","38950"
"Leaver Dept.","2022","Unknown","Male","Finance","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","No function","1180","1160","42030","33250"
"Leaver Dept.","2022","Unknown","Male","Project Delivery","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Male","Unknown","940","780","37060","34290"
"Leaver Dept.","2022","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Female","Analysis","360","350","33910","32430"
"New entrant CS","2021","Heterosexual / straight","Female","Commercial","190","180","34520","33000"
"New entrant CS","2021","Heterosexual / straight","Female","Communications","290","280","31980","27500"
"New entrant CS","2021","Heterosexual / straight","Female","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Female","Debt","130","130","20580","20140"
"New entrant CS","2021","Heterosexual / straight","Female","Digital, Data & Technology","350","340","39310","36500"
"New entrant CS","2021","Heterosexual / straight","Female","Finance","270","260","34250","31040"
"New entrant CS","2021","Heterosexual / straight","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Female","Human Resources","430","410","32360","28840"
"New entrant CS","2021","Heterosexual / straight","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Female","Legal","600","580","36170","33550"
"New entrant CS","2021","Heterosexual / straight","Female","No function","6510","6170","28420","24660"
"New entrant CS","2021","Heterosexual / straight","Female","Project Delivery","530","520","35180","33000"
"New entrant CS","2021","Heterosexual / straight","Female","Property","180","170","29110","26350"
"New entrant CS","2021","Heterosexual / straight","Female","Security","120","110","25390","23850"
"New entrant CS","2021","Heterosexual / straight","Female","Unknown","9260","8970","27270","27570"
"New entrant CS","2021","Heterosexual / straight","Male","Analysis","330","330","33880","32540"
"New entrant CS","2021","Heterosexual / straight","Male","Commercial","160","160","38220","34550"
"New entrant CS","2021","Heterosexual / straight","Male","Communications","230","230","30650","25560"
"New entrant CS","2021","Heterosexual / straight","Male","Counter Fraud","60","50","33070","30350"
"New entrant CS","2021","Heterosexual / straight","Male","Debt","120","120","20650","20140"
"New entrant CS","2021","Heterosexual / straight","Male","Digital, Data & Technology","570","570","41370","38160"
"New entrant CS","2021","Heterosexual / straight","Male","Finance","200","200","38280","33290"
"New entrant CS","2021","Heterosexual / straight","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Male","Human Resources","140","140","34370","28000"
"New entrant CS","2021","Heterosexual / straight","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Male","Legal","300","300","38880","38000"
"New entrant CS","2021","Heterosexual / straight","Male","No function","4540","4450","29940","26000"
"New entrant CS","2021","Heterosexual / straight","Male","Project Delivery","720","720","38370","35000"
"New entrant CS","2021","Heterosexual / straight","Male","Property","260","260","34320","32320"
"New entrant CS","2021","Heterosexual / straight","Male","Security","350","350","27090","23540"
"New entrant CS","2021","Heterosexual / straight","Male","Unknown","6480","6440","27540","27570"
"New entrant CS","2021","Heterosexual / straight","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Analysis","50","50","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Human Resources","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Legal","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Female","No function","700","680","27330","24860"
"New entrant CS","2021","LGBO","Female","Project Delivery","50","50","33660","30850"
"New entrant CS","2021","LGBO","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Female","Unknown","780","770","27000","27570"
"New entrant CS","2021","LGBO","Male","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Communications","50","50","31940","25560"
"New entrant CS","2021","LGBO","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Digital, Data & Technology","50","50","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Human Resources","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Legal","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Male","No function","550","540","29030","26250"
"New entrant CS","2021","LGBO","Male","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Male","Unknown","800","800","26790","27570"
"New entrant CS","2021","LGBO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Analysis","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Legal","90","90","26720","20850"
"New entrant CS","2021","Undeclared","Female","No function","620","570","30910","27960"
"New entrant CS","2021","Undeclared","Female","Project Delivery","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Female","Unknown","540","520","28030","27570"
"New entrant CS","2021","Undeclared","Male","Analysis","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Digital, Data & Technology","60","60","41190","36800"
"New entrant CS","2021","Undeclared","Male","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Legal","50","50","32870","24000"
"New entrant CS","2021","Undeclared","Male","No function","390","370","34670","30460"
"New entrant CS","2021","Undeclared","Male","Project Delivery","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Male","Unknown","410","410","28620","27570"
"New entrant CS","2021","Undeclared","Unknown","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Analysis","140","140","35050","31870"
"New entrant CS","2021","Unknown","Female","Commercial","180","170","57580","59610"
"New entrant CS","2021","Unknown","Female","Communications","330","320","30020","25560"
"New entrant CS","2021","Unknown","Female","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Debt","350","340","20400","20140"
"New entrant CS","2021","Unknown","Female","Digital, Data & Technology","280","280","37730","33150"
"New entrant CS","2021","Unknown","Female","Finance","130","130","34160","32790"
"New entrant CS","2021","Unknown","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Human Resources","140","140","32660","28000"
"New entrant CS","2021","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Female","Legal","190","180","34260","27370"
"New entrant CS","2021","Unknown","Female","No function","4380","4210","25930","22680"
"New entrant CS","2021","Unknown","Female","Project Delivery","180","170","35370","32870"
"New entrant CS","2021","Unknown","Female","Property","100","100","25630","24500"
"New entrant CS","2021","Unknown","Female","Security","80","80","27020","23090"
"New entrant CS","2021","Unknown","Female","Unknown","2620","2520","30440","27570"
"New entrant CS","2021","Unknown","Male","Analysis","200","200","34960","31810"
"New entrant CS","2021","Unknown","Male","Commercial","190","190","66560","68000"
"New entrant CS","2021","Unknown","Male","Communications","350","350","29610","25560"
"New entrant CS","2021","Unknown","Male","Counter Fraud","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Debt","330","320","20530","20140"
"New entrant CS","2021","Unknown","Male","Digital, Data & Technology","470","470","39470","35960"
"New entrant CS","2021","Unknown","Male","Finance","120","110","32570","32180"
"New entrant CS","2021","Unknown","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Human Resources","70","70","29020","27270"
"New entrant CS","2021","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Male","Legal","100","100","34410","28600"
"New entrant CS","2021","Unknown","Male","No function","3510","3430","26960","22850"
"New entrant CS","2021","Unknown","Male","Project Delivery","260","260","32200","29540"
"New entrant CS","2021","Unknown","Male","Property","150","150","29330","25140"
"New entrant CS","2021","Unknown","Male","Security","240","230","27890","25540"
"New entrant CS","2021","Unknown","Male","Unknown","2160","2130","31000","27570"
"New entrant CS","2021","Unknown","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Analysis","440","420","33330","30710"
"New entrant CS","2022","Heterosexual / straight","Female","Commercial","290","280","34120","31680"
"New entrant CS","2022","Heterosexual / straight","Female","Communications","430","420","32120","27270"
"New entrant CS","2022","Heterosexual / straight","Female","Counter Fraud","560","550","26400","26590"
"New entrant CS","2022","Heterosexual / straight","Female","Debt","390","370","21670","21250"
"New entrant CS","2022","Heterosexual / straight","Female","Digital, Data & Technology","680","660","36520","33380"
"New entrant CS","2022","Heterosexual / straight","Female","Finance","400","380","33200","30200"
"New entrant CS","2022","Heterosexual / straight","Female","Grants Management","90","80","21550","21300"
"New entrant CS","2022","Heterosexual / straight","Female","Human Resources","660","630","32550","28000"
"New entrant CS","2022","Heterosexual / straight","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Female","Legal","710","680","36110","29280"
"New entrant CS","2022","Heterosexual / straight","Female","No function","15070","14390","28050","26250"
"New entrant CS","2022","Heterosexual / straight","Female","Project Delivery","570","550","34080","30930"
"New entrant CS","2022","Heterosexual / straight","Female","Property","270","260","32110","26350"
"New entrant CS","2022","Heterosexual / straight","Female","Security","140","130","28780","26350"
"New entrant CS","2022","Heterosexual / straight","Female","Unknown","2160","2080","30610","27230"
"New entrant CS","2022","Heterosexual / straight","Male","Analysis","490","480","34930","31800"
"New entrant CS","2022","Heterosexual / straight","Male","Commercial","210","200","34900","33000"
"New entrant CS","2022","Heterosexual / straight","Male","Communications","330","330","30040","26590"
"New entrant CS","2022","Heterosexual / straight","Male","Counter Fraud","520","520","27620","26590"
"New entrant CS","2022","Heterosexual / straight","Male","Debt","230","230","21630","21250"
"New entrant CS","2022","Heterosexual / straight","Male","Digital, Data & Technology","1110","1100","38740","36000"
"New entrant CS","2022","Heterosexual / straight","Male","Finance","310","300","34140","31990"
"New entrant CS","2022","Heterosexual / straight","Male","Grants Management","70","60","22350","21300"
"New entrant CS","2022","Heterosexual / straight","Male","Human Resources","230","220","32080","27570"
"New entrant CS","2022","Heterosexual / straight","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Legal","300","290","38780","38000"
"New entrant CS","2022","Heterosexual / straight","Male","No function","9790","9600","28780","26590"
"New entrant CS","2022","Heterosexual / straight","Male","Project Delivery","750","740","37690","34000"
"New entrant CS","2022","Heterosexual / straight","Male","Property","320","320","35830","33000"
"New entrant CS","2022","Heterosexual / straight","Male","Security","330","330","30080","25540"
"New entrant CS","2022","Heterosexual / straight","Male","Unknown","1690","1660","31270","27230"
"New entrant CS","2022","LGBO","Female","Analysis","70","70","31560","30710"
"New entrant CS","2022","LGBO","Female","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Communications","50","50","30770","27270"
"New entrant CS","2022","LGBO","Female","Counter Fraud","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Digital, Data & Technology","90","90","34490","32790"
"New entrant CS","2022","LGBO","Female","Finance","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Human Resources","60","60","30100","26560"
"New entrant CS","2022","LGBO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Legal","50","50","28310","24680"
"New entrant CS","2022","LGBO","Female","No function","1600","1560","27550","24970"
"New entrant CS","2022","LGBO","Female","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Unknown","240","240","29330","27230"
"New entrant CS","2022","LGBO","Male","Analysis","70","70","32230","31800"
"New entrant CS","2022","LGBO","Male","Commercial","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Communications","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Counter Fraud","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Debt","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Digital, Data & Technology","100","100","37350","33080"
"New entrant CS","2022","LGBO","Male","Finance","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Human Resources","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Legal","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Male","No function","1110","1100","28260","26590"
"New entrant CS","2022","LGBO","Male","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Male","Unknown","200","190","30890","27230"
"New entrant CS","2022","Undeclared","Female","Analysis","80","60","35440","30710"
"New entrant CS","2022","Undeclared","Female","Commercial","60","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Communications","80","60","33910","27270"
"New entrant CS","2022","Undeclared","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Digital, Data & Technology","100","90","35660","33080"
"New entrant CS","2022","Undeclared","Female","Finance","90","50","32800","28970"
"New entrant CS","2022","Undeclared","Female","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Human Resources","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Legal","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","No function","1140","1040","30360","27570"
"New entrant CS","2022","Undeclared","Female","Project Delivery","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Female","Unknown","160","140","31600","27570"
"New entrant CS","2022","Undeclared","Male","Analysis","60","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Commercial","50","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Communications","60","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Counter Fraud","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Debt","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Digital, Data & Technology","160","140","37850","33080"
"New entrant CS","2022","Undeclared","Male","Finance","60","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Human Resources","40","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Legal","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","No function","750","710","30820","27570"
"New entrant CS","2022","Undeclared","Male","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Security","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Male","Unknown","130","120","31340","27570"
"New entrant CS","2022","Undeclared","Unknown","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Analysis","130","120","31540","29750"
"New entrant CS","2022","Unknown","Female","Commercial","170","170","51350","49280"
"New entrant CS","2022","Unknown","Female","Communications","250","250","29980","26590"
"New entrant CS","2022","Unknown","Female","Counter Fraud","190","190","27590","26590"
"New entrant CS","2022","Unknown","Female","Debt","180","170","21430","21250"
"New entrant CS","2022","Unknown","Female","Digital, Data & Technology","240","240","36950","33840"
"New entrant CS","2022","Unknown","Female","Finance","120","120","35980","33080"
"New entrant CS","2022","Unknown","Female","Grants Management","190","180","21510","21300"
"New entrant CS","2022","Unknown","Female","Human Resources","180","170","31550","27570"
"New entrant CS","2022","Unknown","Female","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Female","Legal","70","70","38960","37230"
"New entrant CS","2022","Unknown","Female","No function","7340","6930","26900","24800"
"New entrant CS","2022","Unknown","Female","Project Delivery","210","200","32620","29230"
"New entrant CS","2022","Unknown","Female","Property","210","200","27470","23330"
"New entrant CS","2022","Unknown","Female","Security","70","70","28080","25540"
"New entrant CS","2022","Unknown","Female","Unknown","2690","2560","29260","27230"
"New entrant CS","2022","Unknown","Male","Analysis","150","150","33930","29860"
"New entrant CS","2022","Unknown","Male","Commercial","180","180","61310","65000"
"New entrant CS","2022","Unknown","Male","Communications","260","260","28820","26590"
"New entrant CS","2022","Unknown","Male","Counter Fraud","170","170","28460","26590"
"New entrant CS","2022","Unknown","Male","Debt","130","130","21990","21250"
"New entrant CS","2022","Unknown","Male","Digital, Data & Technology","410","410","37310","33370"
"New entrant CS","2022","Unknown","Male","Finance","130","130","33680","30450"
"New entrant CS","2022","Unknown","Male","Grants Management","150","140","21630","21300"
"New entrant CS","2022","Unknown","Male","Human Resources","100","100","37340","32790"
"New entrant CS","2022","Unknown","Male","Internal Audit","[c]","[c]","[c]","[c]"
