"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Declared disabled","EO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","United Kingdom Statistics Authority","70","70","24600","23520"
"In post","2021","Declared disabled","EO","Valuation Office Agency","60","60","26910","26000"
"In post","2021","Declared disabled","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Wales Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Welsh Government (excl. agencies)","60","60","28790","28850"
"In post","2021","Declared disabled","EO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","EO","Wilton Park","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Cabinet Office (excl. agencies)","240","230","58140","56340"
"In post","2021","Declared disabled","G6/G7","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Crown Prosecution Service","310","290","59020","55610"
"In post","2021","Declared disabled","G6/G7","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Defence Equipment and Support","140","130","56380","55210"
"In post","2021","Declared disabled","G6/G7","Defence Science and Technology Laboratory","170","160","50480","46650"
"In post","2021","Declared disabled","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","190","180","58560","56340"
"In post","2021","Declared disabled","G6/G7","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Department for Education (excl. agencies)","150","140","57090","54400"
"In post","2021","Declared disabled","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","180","170","53700","53200"
"In post","2021","Declared disabled","G6/G7","Department for International Trade","90","90","56420","53260"
"In post","2021","Declared disabled","G6/G7","Department for Transport (excl. agencies)","70","70","57830","54760"
"In post","2021","Declared disabled","G6/G7","Department for Work and Pensions (excl. agencies)","300","280","56020","54070"
"In post","2021","Declared disabled","G6/G7","Department of Health and Social Care (excl. agencies)","50","50","58410","57480"
"In post","2021","Declared disabled","G6/G7","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Education and Skills Funding Agency","40","40","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","240","230","59240","58030"
"In post","2021","Declared disabled","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Government Legal Department","110","100","60420","61730"
"In post","2021","Declared disabled","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Health and Safety Executive","40","40","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","HM Courts and Tribunals Service","50","50","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","HM Prison and Probation Service","70","70","71640","69910"
"In post","2021","Declared disabled","G6/G7","HM Revenue and Customs (excl. agencies)","610","580","57140","53150"
"In post","2021","Declared disabled","G6/G7","HM Treasury (excl. agencies)","80","80","58730","55850"
"In post","2021","Declared disabled","G6/G7","Home Office (incl. agencies)","250","250","60650","57680"
"In post","2021","Declared disabled","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Ministry of Defence (excl. agencies)","210","200","62480","59730"
"In post","2021","Declared disabled","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","90","90","56610","53130"
"In post","2021","Declared disabled","G6/G7","Ministry of Justice (excl. agencies)","120","110","59220","58250"
"In post","2021","Declared disabled","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Office for Standards in Education, Children's Services and Skills","40","40","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Public Health England","70","70","58200","54150"
"In post","2021","Declared disabled","G6/G7","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Scottish Government (excl. agencies)","160","150","61200","61010"
"In post","2021","Declared disabled","G6/G7","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2021","Declared disabled","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
