"Status","Year","Disability","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared disabled","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","G6/G7","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SCS","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Defence Equipment and Support","40","30","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department for Work and Pensions (excl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared disabled","SEO/HEO","HM Land Registry","[c]","[c]","[c]","[c]"
