"Status","Year","Sexual_orientation","Function_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Finance","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","No function","Female","430","400","35550","31060"
"Leaver Dept.","2022","LGBO","No function","Male","450","420","38670","32780"
"Leaver Dept.","2022","LGBO","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Project Delivery","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Property","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Security","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","LGBO","Unknown","Female","50","50","36810","31990"
"Leaver Dept.","2022","LGBO","Unknown","Male","60","50","35580","31770"
"Leaver Dept.","2022","Undeclared","Analysis","Female","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Analysis","Male","80","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","Female","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Commercial","Male","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","Female","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","Male","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","Female","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","Male","90","50","43810","38610"
"Leaver Dept.","2022","Undeclared","Finance","Female","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Finance","Male","70","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","Female","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","No function","Female","950","690","39340","34260"
"Leaver Dept.","2022","Undeclared","No function","Male","610","440","41760","34590"
"Leaver Dept.","2022","Undeclared","Project Delivery","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Project Delivery","Male","40","40","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Property","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","Female","120","70","37450","32390"
"Leaver Dept.","2022","Undeclared","Unknown","Male","100","80","36030","31100"
"Leaver Dept.","2022","Unknown","Analysis","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Analysis","Male","50","50","37750","35100"
"Leaver Dept.","2022","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Commercial","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Female","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Communications","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Debt","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Debt","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","Female","50","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","Male","90","90","41550","38950"
"Leaver Dept.","2022","Unknown","Finance","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Finance","Male","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Grants Management","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Grants Management","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","Female","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Human Resources","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","Female","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","No function","Female","1720","1620","39880","32000"
"Leaver Dept.","2022","Unknown","No function","Male","1180","1160","42030","33250"
"Leaver Dept.","2022","Unknown","Project Delivery","Female","40","40","[c]","[c]"
"Leaver Dept.","2022","Unknown","Project Delivery","Male","50","50","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Property","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Security","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Unknown","Female","1060","860","36070","30750"
"Leaver Dept.","2022","Unknown","Unknown","Male","940","780","37060","34290"
"New entrant CS","2021","Heterosexual / straight","Analysis","Female","360","350","33910","32430"
"New entrant CS","2021","Heterosexual / straight","Analysis","Male","330","330","33880","32540"
"New entrant CS","2021","Heterosexual / straight","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Commercial","Female","190","180","34520","33000"
"New entrant CS","2021","Heterosexual / straight","Commercial","Male","160","160","38220","34550"
"New entrant CS","2021","Heterosexual / straight","Communications","Female","290","280","31980","27500"
"New entrant CS","2021","Heterosexual / straight","Communications","Male","230","230","30650","25560"
"New entrant CS","2021","Heterosexual / straight","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Female","40","40","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Counter Fraud","Male","60","50","33070","30350"
"New entrant CS","2021","Heterosexual / straight","Debt","Female","130","130","20580","20140"
"New entrant CS","2021","Heterosexual / straight","Debt","Male","120","120","20650","20140"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Female","350","340","39310","36500"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Male","570","570","41370","38160"
"New entrant CS","2021","Heterosexual / straight","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Finance","Female","270","260","34250","31040"
"New entrant CS","2021","Heterosexual / straight","Finance","Male","200","200","38280","33290"
"New entrant CS","2021","Heterosexual / straight","Grants Management","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Grants Management","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Female","430","410","32360","28840"
"New entrant CS","2021","Heterosexual / straight","Human Resources","Male","140","140","34370","28000"
"New entrant CS","2021","Heterosexual / straight","Internal Audit","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Internal Audit","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Legal","Female","600","580","36170","33550"
"New entrant CS","2021","Heterosexual / straight","Legal","Male","300","300","38880","38000"
"New entrant CS","2021","Heterosexual / straight","No function","Female","6510","6170","28420","24660"
"New entrant CS","2021","Heterosexual / straight","No function","Male","4540","4450","29940","26000"
"New entrant CS","2021","Heterosexual / straight","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Female","530","520","35180","33000"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Male","720","720","38370","35000"
"New entrant CS","2021","Heterosexual / straight","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Heterosexual / straight","Property","Female","180","170","29110","26350"
"New entrant CS","2021","Heterosexual / straight","Property","Male","260","260","34320","32320"
"New entrant CS","2021","Heterosexual / straight","Security","Female","120","110","25390","23850"
"New entrant CS","2021","Heterosexual / straight","Security","Male","350","350","27090","23540"
"New entrant CS","2021","Heterosexual / straight","Unknown","Female","9260","8970","27270","27570"
"New entrant CS","2021","Heterosexual / straight","Unknown","Male","6480","6440","27540","27570"
"New entrant CS","2021","Heterosexual / straight","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Female","50","50","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Male","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Commercial","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Communications","Male","50","50","31940","25560"
"New entrant CS","2021","LGBO","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Debt","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Debt","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Female","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Digital, Data & Technology","Male","50","50","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Finance","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Grants Management","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Grants Management","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Female","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Male","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","Female","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Legal","Male","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","No function","Female","700","680","27330","24860"
"New entrant CS","2021","LGBO","No function","Male","550","540","29030","26250"
"New entrant CS","2021","LGBO","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Project Delivery","Female","50","50","33660","30850"
"New entrant CS","2021","LGBO","Project Delivery","Male","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Property","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Security","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Security","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Female","780","770","27000","27570"
"New entrant CS","2021","LGBO","Unknown","Male","800","800","26790","27570"
"New entrant CS","2021","Undeclared","Analysis","Female","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Analysis","Male","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Commercial","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Commercial","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Communications","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Counter Fraud","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Debt","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Debt","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","Female","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Digital, Data & Technology","Male","60","60","41190","36800"
"New entrant CS","2021","Undeclared","Finance","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Finance","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Grants Management","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Human Resources","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Internal Audit","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Legal","Female","90","90","26720","20850"
"New entrant CS","2021","Undeclared","Legal","Male","50","50","32870","24000"
"New entrant CS","2021","Undeclared","No function","Female","620","570","30910","27960"
"New entrant CS","2021","Undeclared","No function","Male","390","370","34670","30460"
"New entrant CS","2021","Undeclared","No function","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Project Delivery","Female","30","30","[c]","[c]"
"New entrant CS","2021","Undeclared","Project Delivery","Male","40","40","[c]","[c]"
"New entrant CS","2021","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Property","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Security","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Undeclared","Unknown","Female","540","520","28030","27570"
"New entrant CS","2021","Undeclared","Unknown","Male","410","410","28620","27570"
"New entrant CS","2021","Undeclared","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Analysis","Female","140","140","35050","31870"
"New entrant CS","2021","Unknown","Analysis","Male","200","200","34960","31810"
"New entrant CS","2021","Unknown","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Commercial","Female","180","170","57580","59610"
"New entrant CS","2021","Unknown","Commercial","Male","190","190","66560","68000"
"New entrant CS","2021","Unknown","Communications","Female","330","320","30020","25560"
"New entrant CS","2021","Unknown","Communications","Male","350","350","29610","25560"
"New entrant CS","2021","Unknown","Counter Fraud","Female","40","40","[c]","[c]"
"New entrant CS","2021","Unknown","Counter Fraud","Male","50","50","[c]","[c]"
"New entrant CS","2021","Unknown","Debt","Female","350","340","20400","20140"
"New entrant CS","2021","Unknown","Debt","Male","330","320","20530","20140"
"New entrant CS","2021","Unknown","Digital, Data & Technology","Female","280","280","37730","33150"
"New entrant CS","2021","Unknown","Digital, Data & Technology","Male","470","470","39470","35960"
"New entrant CS","2021","Unknown","Finance","Female","130","130","34160","32790"
"New entrant CS","2021","Unknown","Finance","Male","120","110","32570","32180"
"New entrant CS","2021","Unknown","Grants Management","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Grants Management","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Human Resources","Female","140","140","32660","28000"
"New entrant CS","2021","Unknown","Human Resources","Male","70","70","29020","27270"
"New entrant CS","2021","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Legal","Female","190","180","34260","27370"
"New entrant CS","2021","Unknown","Legal","Male","100","100","34410","28600"
"New entrant CS","2021","Unknown","No function","Female","4380","4210","25930","22680"
"New entrant CS","2021","Unknown","No function","Male","3510","3430","26960","22850"
"New entrant CS","2021","Unknown","Project Delivery","Female","180","170","35370","32870"
"New entrant CS","2021","Unknown","Project Delivery","Male","260","260","32200","29540"
"New entrant CS","2021","Unknown","Property","Female","100","100","25630","24500"
"New entrant CS","2021","Unknown","Property","Male","150","150","29330","25140"
"New entrant CS","2021","Unknown","Security","Female","80","80","27020","23090"
"New entrant CS","2021","Unknown","Security","Male","240","230","27890","25540"
"New entrant CS","2021","Unknown","Security","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Unknown","Female","2620","2520","30440","27570"
"New entrant CS","2021","Unknown","Unknown","Male","2160","2130","31000","27570"
"New entrant CS","2021","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Analysis","Female","440","420","33330","30710"
"New entrant CS","2022","Heterosexual / straight","Analysis","Male","490","480","34930","31800"
"New entrant CS","2022","Heterosexual / straight","Commercial","Female","290","280","34120","31680"
"New entrant CS","2022","Heterosexual / straight","Commercial","Male","210","200","34900","33000"
"New entrant CS","2022","Heterosexual / straight","Communications","Female","430","420","32120","27270"
"New entrant CS","2022","Heterosexual / straight","Communications","Male","330","330","30040","26590"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","Female","560","550","26400","26590"
"New entrant CS","2022","Heterosexual / straight","Counter Fraud","Male","520","520","27620","26590"
"New entrant CS","2022","Heterosexual / straight","Debt","Female","390","370","21670","21250"
"New entrant CS","2022","Heterosexual / straight","Debt","Male","230","230","21630","21250"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","Female","680","660","36520","33380"
"New entrant CS","2022","Heterosexual / straight","Digital, Data & Technology","Male","1110","1100","38740","36000"
"New entrant CS","2022","Heterosexual / straight","Finance","Female","400","380","33200","30200"
"New entrant CS","2022","Heterosexual / straight","Finance","Male","310","300","34140","31990"
"New entrant CS","2022","Heterosexual / straight","Grants Management","Female","90","80","21550","21300"
"New entrant CS","2022","Heterosexual / straight","Grants Management","Male","70","60","22350","21300"
"New entrant CS","2022","Heterosexual / straight","Human Resources","Female","660","630","32550","28000"
"New entrant CS","2022","Heterosexual / straight","Human Resources","Male","230","220","32080","27570"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Internal Audit","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Legal","Female","710","680","36110","29280"
"New entrant CS","2022","Heterosexual / straight","Legal","Male","300","290","38780","38000"
"New entrant CS","2022","Heterosexual / straight","No function","Female","15070","14390","28050","26250"
"New entrant CS","2022","Heterosexual / straight","No function","Male","9790","9600","28780","26590"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","Female","570","550","34080","30930"
"New entrant CS","2022","Heterosexual / straight","Project Delivery","Male","750","740","37690","34000"
"New entrant CS","2022","Heterosexual / straight","Property","Female","270","260","32110","26350"
"New entrant CS","2022","Heterosexual / straight","Property","Male","320","320","35830","33000"
"New entrant CS","2022","Heterosexual / straight","Security","Female","140","130","28780","26350"
"New entrant CS","2022","Heterosexual / straight","Security","Male","330","330","30080","25540"
"New entrant CS","2022","Heterosexual / straight","Unknown","Female","2160","2080","30610","27230"
"New entrant CS","2022","Heterosexual / straight","Unknown","Male","1690","1660","31270","27230"
"New entrant CS","2022","LGBO","Analysis","Female","70","70","31560","30710"
"New entrant CS","2022","LGBO","Analysis","Male","70","70","32230","31800"
"New entrant CS","2022","LGBO","Commercial","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Commercial","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Communications","Female","50","50","30770","27270"
"New entrant CS","2022","LGBO","Communications","Male","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Female","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Counter Fraud","Male","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Debt","Male","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Female","90","90","34490","32790"
"New entrant CS","2022","LGBO","Digital, Data & Technology","Male","100","100","37350","33080"
"New entrant CS","2022","LGBO","Finance","Female","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Finance","Male","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Grants Management","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Human Resources","Female","60","60","30100","26560"
"New entrant CS","2022","LGBO","Human Resources","Male","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Internal Audit","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Legal","Female","50","50","28310","24680"
"New entrant CS","2022","LGBO","Legal","Male","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","No function","Female","1600","1560","27550","24970"
"New entrant CS","2022","LGBO","No function","Male","1110","1100","28260","26590"
"New entrant CS","2022","LGBO","Project Delivery","Female","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Project Delivery","Male","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Property","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Security","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Unknown","Female","240","240","29330","27230"
"New entrant CS","2022","LGBO","Unknown","Male","200","190","30890","27230"
"New entrant CS","2022","Undeclared","Analysis","Female","80","60","35440","30710"
"New entrant CS","2022","Undeclared","Analysis","Male","60","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Analysis","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Female","60","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Commercial","Male","50","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","Female","80","60","33910","27270"
"New entrant CS","2022","Undeclared","Communications","Male","60","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","Male","30","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Debt","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","Female","100","90","35660","33080"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","Male","160","140","37850","33080"
"New entrant CS","2022","Undeclared","Finance","Female","90","50","32800","28970"
"New entrant CS","2022","Undeclared","Finance","Male","60","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","Female","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","Male","40","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Internal Audit","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","Female","40","40","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","No function","Female","1140","1040","30360","27570"
"New entrant CS","2022","Undeclared","No function","Male","750","710","30820","27570"
"New entrant CS","2022","Undeclared","Project Delivery","Female","40","30","[c]","[c]"
"New entrant CS","2022","Undeclared","Project Delivery","Male","50","50","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Property","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Security","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","Female","160","140","31600","27570"
"New entrant CS","2022","Undeclared","Unknown","Male","130","120","31340","27570"
"New entrant CS","2022","Unknown","Analysis","Female","130","120","31540","29750"
"New entrant CS","2022","Unknown","Analysis","Male","150","150","33930","29860"
"New entrant CS","2022","Unknown","Commercial","Female","170","170","51350","49280"
"New entrant CS","2022","Unknown","Commercial","Male","180","180","61310","65000"
"New entrant CS","2022","Unknown","Communications","Female","250","250","29980","26590"
"New entrant CS","2022","Unknown","Communications","Male","260","260","28820","26590"
"New entrant CS","2022","Unknown","Counter Fraud","Female","190","190","27590","26590"
"New entrant CS","2022","Unknown","Counter Fraud","Male","170","170","28460","26590"
"New entrant CS","2022","Unknown","Debt","Female","180","170","21430","21250"
"New entrant CS","2022","Unknown","Debt","Male","130","130","21990","21250"
"New entrant CS","2022","Unknown","Digital, Data & Technology","Female","240","240","36950","33840"
"New entrant CS","2022","Unknown","Digital, Data & Technology","Male","410","410","37310","33370"
"New entrant CS","2022","Unknown","Finance","Female","120","120","35980","33080"
"New entrant CS","2022","Unknown","Finance","Male","130","130","33680","30450"
"New entrant CS","2022","Unknown","Grants Management","Female","190","180","21510","21300"
"New entrant CS","2022","Unknown","Grants Management","Male","150","140","21630","21300"
"New entrant CS","2022","Unknown","Human Resources","Female","180","170","31550","27570"
"New entrant CS","2022","Unknown","Human Resources","Male","100","100","37340","32790"
"New entrant CS","2022","Unknown","Internal Audit","Female","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Internal Audit","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","Female","70","70","38960","37230"
"New entrant CS","2022","Unknown","Legal","Male","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","No function","Female","7340","6930","26900","24800"
"New entrant CS","2022","Unknown","No function","Male","5100","4930","27690","25710"
"New entrant CS","2022","Unknown","Project Delivery","Female","210","200","32620","29230"
"New entrant CS","2022","Unknown","Project Delivery","Male","310","310","32770","32000"
