"Status","Year","Region_ITL1","Organisation","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","South West (England)","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Health and Safety Executive","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Health and Safety Executive","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Courts and Tribunals Service","Declared non-disabled","60","50","21410","19930"
"Leaver CS","2021","South West (England)","HM Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Land Registry","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Land Registry","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Prison and Probation Service","Declared disabled","40","40","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Prison and Probation Service","Declared non-disabled","190","180","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Prison and Probation Service","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Prison and Probation Service","Unknown","50","50","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Revenue and Customs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Revenue and Customs (excl. agencies)","Declared non-disabled","60","50","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Revenue and Customs (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","HM Revenue and Customs (excl. agencies)","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","South West (England)","Home Office (incl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Home Office (incl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Home Office (incl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Insolvency Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Legal Aid Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Legal Aid Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Maritime and Coastguard Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Met Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Met Office","Declared non-disabled","80","70","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Defence (excl. agencies)","Declared disabled","70","60","30610","25970"
"Leaver CS","2021","South West (England)","Ministry of Defence (excl. agencies)","Declared non-disabled","300","280","32560","29200"
"Leaver CS","2021","South West (England)","Ministry of Defence (excl. agencies)","Undeclared","40","40","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Defence (excl. agencies)","Unknown","70","70","28010","23420"
"Leaver CS","2021","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Justice (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Office for Standards in Education, Children's Services and Skills","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Office for Standards in Education, Children's Services and Skills","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Office for Standards in Education, Children's Services and Skills","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Planning Inspectorate","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Planning Inspectorate","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","South West (England)","Planning Inspectorate","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Public Health England","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Public Health England","Declared non-disabled","80","80","34380","28330"
"Leaver CS","2021","South West (England)","Public Health England","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Public Health England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Rural Payments Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Rural Payments Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Rural Payments Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Submarine Delivery Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Submarine Delivery Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Submarine Delivery Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Submarine Delivery Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","UK Hydrographic Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","UK Hydrographic Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","UK Hydrographic Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","UK Hydrographic Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","UK Space Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","UK Space Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Valuation Office Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Valuation Office Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Valuation Office Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Valuation Office Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Vehicle Certification Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Vehicle Certification Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Vehicle Certification Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","South West (England)","Vehicle Certification Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Animal and Plant Health Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Cabinet Office (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Cabinet Office (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Cabinet Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Cabinet Office (excl. agencies)","Unknown","90","90","53630","32860"
"Leaver CS","2021","Unknown","Defence Equipment and Support","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Defence Equipment and Support","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Education (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Work and Pensions (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Work and Pensions (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Government Property Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Government Property Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Courts and Tribunals Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Revenue and Customs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Revenue and Customs (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","330","320","[c]","[c]"
"Leaver CS","2021","Unknown","Home Office (incl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Home Office (incl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Legal Aid Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Justice (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Royal Fleet Auxiliary","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Royal Fleet Auxiliary","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Royal Fleet Auxiliary","Unknown","150","150","35020","32400"
"Leaver CS","2021","Wales","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Animal and Plant Health Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Charity Commission","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Charity Commission","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Companies House","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Companies House","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Companies House","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Companies House","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Crown Commercial Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Crown Prosecution Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Crown Prosecution Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Defence Electronics and Components Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Defence Electronics and Components Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Defence Electronics and Components Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Transport (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Transport (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Work and Pensions (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Work and Pensions (excl. agencies)","Declared non-disabled","180","140","24410","21010"
"Leaver CS","2021","Wales","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Department for Work and Pensions (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Driver and Vehicle Licensing Agency","Declared disabled","50","30","[c]","[c]"
"Leaver CS","2021","Wales","Driver and Vehicle Licensing Agency","Declared non-disabled","160","130","24470","21590"
"Leaver CS","2021","Wales","Driver and Vehicle Licensing Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Driver and Vehicle Licensing Agency","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","Wales","Driver and Vehicle Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Driver and Vehicle Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","ESTYN","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","ESTYN","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Food Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Government Internal Audit Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Government Internal Audit Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Health and Safety Executive","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Health and Safety Executive","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Courts and Tribunals Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Courts and Tribunals Service","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Wales","HM Courts and Tribunals Service","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Land Registry","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Land Registry","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Prison and Probation Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Prison and Probation Service","Declared non-disabled","130","120","[c]","[c]"
"Leaver CS","2021","Wales","HM Prison and Probation Service","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","HM Prison and Probation Service","Unknown","60","60","[c]","[c]"
"Leaver CS","2021","Wales","HM Revenue and Customs (excl. agencies)","Declared disabled","70","60","[c]","[c]"
"Leaver CS","2021","Wales","HM Revenue and Customs (excl. agencies)","Declared non-disabled","270","230","[c]","[c]"
"Leaver CS","2021","Wales","HM Revenue and Customs (excl. agencies)","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Wales","HM Revenue and Customs (excl. agencies)","Unknown","150","120","[c]","[c]"
"Leaver CS","2021","Wales","Home Office (incl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Home Office (incl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Home Office (incl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Insolvency Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Insolvency Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Insolvency Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Legal Aid Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Legal Aid Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Maritime and Coastguard Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Maritime and Coastguard Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Maritime and Coastguard Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Maritime and Coastguard Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Ministry of Defence (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Ministry of Defence (excl. agencies)","Declared non-disabled","50","50","28280","29930"
"Leaver CS","2021","Wales","Ministry of Defence (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Ministry of Justice (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Ministry of Justice (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Ministry of Justice (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Ministry of Justice (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","National Crime Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","National Crime Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","National Crime Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","UK Intellectual Property Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","UK Intellectual Property Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","UK Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","United Kingdom Statistics Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","United Kingdom Statistics Authority","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Wales","United Kingdom Statistics Authority","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","United Kingdom Statistics Authority","Unknown","80","70","27190","19520"
"Leaver CS","2021","Wales","Valuation Office Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Valuation Office Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Valuation Office Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Valuation Office Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Wales Office","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Wales Office","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Wales Office","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Wales Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Welsh Government (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Welsh Government (excl. agencies)","Declared non-disabled","110","100","43650","37410"
"Leaver CS","2021","Wales","Welsh Government (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Welsh Revenue Authority","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Welsh Revenue Authority","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Animal and Plant Health Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Animal and Plant Health Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Crown Commercial Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Crown Commercial Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Crown Commercial Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Crown Prosecution Service","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Crown Prosecution Service","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Defence Equipment and Support","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Defence Equipment and Support","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Defence Equipment and Support","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Education (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Education (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Education (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","Declared disabled","60","40","25270","27230"
"Leaver CS","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","Declared non-disabled","220","170","25240","23460"
"Leaver CS","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Driver and Vehicle Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Driver and Vehicle Standards Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Driver and Vehicle Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Education and Skills Funding Agency","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Education and Skills Funding Agency","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Education and Skills Funding Agency","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","West Midlands (England)","Food Standards Agency","Declared disabled","[c]","[c]","[c]","[c]"
