"Status","Year","Organisation","Sex","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Environment, Food and Rural Affairs (excl. agencies)","Male","SEO/HEO","110","110","35340","33960"
"Leaver Dept.","2021","Department for International Development","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Development","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Female","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Female","SEO/HEO","60","60","34680","32840"
"Leaver Dept.","2021","Department for International Trade","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Male","G6/G7","50","50","54920","53490"
"Leaver Dept.","2021","Department for International Trade","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for International Trade","Male","SEO/HEO","70","70","35010","34170"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Female","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Male","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Transport (excl. agencies)","Male","SEO/HEO","60","60","37930","35430"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Female","AA/AO","200","180","21160","21010"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Female","EO","380","350","28080","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Female","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Female","SEO/HEO","170","160","34410","33450"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Male","AA/AO","140","130","21220","21010"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Male","EO","270","260","28100","27570"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Male","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department for Work and Pensions (excl. agencies)","Male","SEO/HEO","110","110","35390","35310"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Female","G6/G7","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Female","SEO/HEO","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Male","SEO/HEO","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Department of Health and Social Care (excl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Female","AA/AO","30","30","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Licensing Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Driver and Vehicle Standards Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education and Skills Funding Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Education Scotland","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","ESTYN","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","FCDO Services","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Food Standards Scotland","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign and Commonwealth Office (excl. agencies)","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","G6/G7","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Female","SEO/HEO","70","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","G6/G7","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Foreign, Commonwealth and Development Office (excl. agencies)","Male","SEO/HEO","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Forestry and Land Scotland","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Actuary's Department","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Internal Audit Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Female","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Legal Department","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Government Property Agency","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Health and Safety Executive","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Female","AA/AO","140","130","19910","19930"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Female","EO","50","50","23460","22570"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Female","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Male","AA/AO","60","60","20000","19930"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Courts and Tribunals Service","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Female","AA/AO","90","80","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Female","EO","30","30","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Female","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Female","Unknown","60","50","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Male","AA/AO","90","90","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Prison and Probation Service","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Female","AA/AO","380","350","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Female","EO","180","170","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Female","G6/G7","80","80","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Female","SEO/HEO","180","170","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Female","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Male","AA/AO","320","310","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Male","EO","140","140","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Male","G6/G7","80","80","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Male","SEO/HEO","160","160","[c]","[c]"
"Leaver Dept.","2021","HM Revenue and Customs (excl. agencies)","Male","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","HM Treasury (excl. agencies)","Male","SEO/HEO","30","30","[c]","[c]"
"Leaver Dept.","2021","Home Office (incl. agencies)","Female","AA/AO","80","70","21720","21010"
"Leaver Dept.","2021","Home Office (incl. agencies)","Female","EO","210","190","26370","25160"
"Leaver Dept.","2021","Home Office (incl. agencies)","Female","G6/G7","100","100","60410","57460"
"Leaver Dept.","2021","Home Office (incl. agencies)","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office (incl. agencies)","Female","SEO/HEO","220","210","37010","35200"
"Leaver Dept.","2021","Home Office (incl. agencies)","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office (incl. agencies)","Male","AA/AO","70","70","21890","21010"
"Leaver Dept.","2021","Home Office (incl. agencies)","Male","EO","140","140","26160","25130"
"Leaver Dept.","2021","Home Office (incl. agencies)","Male","G6/G7","60","60","59300","57460"
"Leaver Dept.","2021","Home Office (incl. agencies)","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Home Office (incl. agencies)","Male","SEO/HEO","150","150","36680","36280"
"Leaver Dept.","2021","Home Office (incl. agencies)","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Insolvency Service","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Institute for Apprenticeships and Technical Education","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal Aid Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Maritime and Coastguard Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Female","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Female","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Male","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Male","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Male","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Male","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Met Office","Female","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Met Office","Female","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Met Office","Female","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Met Office","Male","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Met Office","Male","G6/G7","[c]","[c]","[c]","[c]"
