"Status","Year","Responsibility_level","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Attorney General's Departments","100","90","37050","38000"
"Leaver CS","2022","SEO/HEO","Cabinet Office","260","250","35350","34640"
"Leaver CS","2022","SEO/HEO","Chancellor's other departments","30","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Competition and Markets Authority","30","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Department for Business, Energy and Industrial Strategy","320","290","36980","36340"
"Leaver CS","2022","SEO/HEO","Department for Digital, Culture, Media and Sport","60","60","35420","34020"
"Leaver CS","2022","SEO/HEO","Department for Education","170","170","36110","36500"
"Leaver CS","2022","SEO/HEO","Department for Environment, Food and Rural Affairs","390","370","35620","35900"
"Leaver CS","2022","SEO/HEO","Department for International Trade","60","60","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Department for Levelling Up, Housing and Communities","70","70","37320","36340"
"Leaver CS","2022","SEO/HEO","Department for Transport","280","270","38320","35950"
"Leaver CS","2022","SEO/HEO","Department for Work and Pensions","680","600","37230","35310"
"Leaver CS","2022","SEO/HEO","Department of Health and Social Care","1280","960","36240","36330"
"Leaver CS","2022","SEO/HEO","Food Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Foreign, Commonwealth and Development Office","140","70","37860","38550"
"Leaver CS","2022","SEO/HEO","HM Land Registry","150","130","37940","37290"
"Leaver CS","2022","SEO/HEO","HM Revenue and Customs","880","750","39500","40520"
"Leaver CS","2022","SEO/HEO","HM Treasury","100","90","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Home Office","450","420","37520","37190"
"Leaver CS","2022","SEO/HEO","Ministry of Defence","1580","1500","37270","36960"
"Leaver CS","2022","SEO/HEO","Ministry of Justice","730","680","37390","36250"
"Leaver CS","2022","SEO/HEO","National Crime Agency","120","120","44640","44910"
"Leaver CS","2022","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Office for Standards in Education, Children's Services and Skills","80","80","45520","46360"
"Leaver CS","2022","SEO/HEO","Office of Gas and Electricity Markets","80","80","37340","36660"
"Leaver CS","2022","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Scottish Government","370","340","41020","40290"
"Leaver CS","2022","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","UK Statistics Authority","190","180","33670","32900"
"Leaver CS","2022","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Water Services Regulation Authority","30","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Welsh Government","90","80","39600","38160"
"Leaver CS","2022","Unknown","Department for Business, Energy and Industrial Strategy","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department of Health and Social Care","70","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence","390","390","36800","33570"
"Leaver CS","2022","Unknown","Ministry of Justice","1800","1600","36380","31470"
"Leaver Dept.","2021","AA/AO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Cabinet Office","50","50","21350","20800"
"Leaver Dept.","2021","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Department for Environment, Food and Rural Affairs","70","60","21250","21050"
"Leaver Dept.","2021","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Department for Transport","90","80","21200","21590"
"Leaver Dept.","2021","AA/AO","Department for Work and Pensions","340","320","21190","21010"
"Leaver Dept.","2021","AA/AO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","HM Revenue and Customs","720","690","[c]","[c]"
"Leaver Dept.","2021","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Home Office","160","140","21800","21010"
"Leaver Dept.","2021","AA/AO","Ministry of Defence","70","70","21520","20920"
"Leaver Dept.","2021","AA/AO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Ministry of Justice","460","440","20100","19930"
"Leaver Dept.","2021","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Attorney General's Departments","30","30","[c]","[c]"
"Leaver Dept.","2021","EO","Cabinet Office","130","120","27120","27500"
"Leaver Dept.","2021","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Department for Business, Energy and Industrial Strategy","80","70","25810","24570"
"Leaver Dept.","2021","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Department for Education","30","30","[c]","[c]"
"Leaver Dept.","2021","EO","Department for Environment, Food and Rural Affairs","70","70","27810","27550"
"Leaver Dept.","2021","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Department for Transport","60","60","27940","26740"
"Leaver Dept.","2021","EO","Department for Work and Pensions","650","630","28060","27570"
"Leaver Dept.","2021","EO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Foreign, Commonwealth and Development Office","30","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","HM Revenue and Customs","340","330","[c]","[c]"
"Leaver Dept.","2021","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Home Office","350","320","26290","25160"
"Leaver Dept.","2021","EO","Ministry of Defence","160","160","25000","25970"
"Leaver Dept.","2021","EO","Ministry of Housing, Communities and Local Government","60","60","27190","27310"
"Leaver Dept.","2021","EO","Ministry of Justice","240","230","24220","22720"
"Leaver Dept.","2021","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Attorney General's Departments","80","80","58200","55000"
"Leaver Dept.","2021","G6/G7","Cabinet Office","320","310","57420","55210"
"Leaver Dept.","2021","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Department for Business, Energy and Industrial Strategy","220","200","56060","53600"
"Leaver Dept.","2021","G6/G7","Department for Digital, Culture, Media and Sport","90","90","55210","52580"
"Leaver Dept.","2021","G6/G7","Department for Education","80","70","56420","54400"
"Leaver Dept.","2021","G6/G7","Department for Environment, Food and Rural Affairs","120","110","55630","54280"
"Leaver Dept.","2021","G6/G7","Department for International Trade","90","90","55160","52590"
"Leaver Dept.","2021","G6/G7","Department for Transport","70","70","57500","54760"
"Leaver Dept.","2021","G6/G7","Department for Work and Pensions","100","90","58040","56190"
"Leaver Dept.","2021","G6/G7","Department of Health and Social Care","80","30","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Foreign, Commonwealth and Development Office","120","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","HM Revenue and Customs","170","170","[c]","[c]"
"Leaver Dept.","2021","G6/G7","HM Treasury","50","50","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Home Office","170","160","59980","57460"
"Leaver Dept.","2021","G6/G7","Ministry of Defence","160","150","56500","55640"
"Leaver Dept.","2021","G6/G7","Ministry of Housing, Communities and Local Government","120","120","55240","52690"
"Leaver Dept.","2021","G6/G7","Ministry of Justice","120","120","58130","58130"
"Leaver Dept.","2021","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","United Kingdom Statistics Authority","40","40","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Cabinet Office","60","60","84400","77770"
"Leaver Dept.","2021","SCS","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Department for Business, Energy and Industrial Strategy","30","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","HM Revenue and Customs","30","30","[c]","[c]"
"Leaver Dept.","2021","SCS","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SCS","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Attorney General's Departments","40","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Cabinet Office","840","830","33000","32000"
"Leaver Dept.","2021","SEO/HEO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Department for Business, Energy and Industrial Strategy","250","240","35650","33980"
"Leaver Dept.","2021","SEO/HEO","Department for Digital, Culture, Media and Sport","80","80","34880","32660"
"Leaver Dept.","2021","SEO/HEO","Department for Education","120","120","36510","36960"
"Leaver Dept.","2021","SEO/HEO","Department for Environment, Food and Rural Affairs","280","270","35360","34620"
"Leaver Dept.","2021","SEO/HEO","Department for International Trade","130","130","34860","33510"
"Leaver Dept.","2021","SEO/HEO","Department for Transport","170","170","37330","35430"
"Leaver Dept.","2021","SEO/HEO","Department for Work and Pensions","290","280","34970","34290"
"Leaver Dept.","2021","SEO/HEO","Department of Health and Social Care","90","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Foreign, Commonwealth and Development Office","160","40","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","HM Revenue and Customs","360","350","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","HM Treasury","80","80","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Home Office","380","360","36890","35200"
"Leaver Dept.","2021","SEO/HEO","Ministry of Defence","440","440","35110","33540"
"Leaver Dept.","2021","SEO/HEO","Ministry of Housing, Communities and Local Government","170","170","34920","33210"
"Leaver Dept.","2021","SEO/HEO","Ministry of Justice","390","380","35470","34460"
"Leaver Dept.","2021","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","United Kingdom Statistics Authority","80","80","33640","33070"
"Leaver Dept.","2021","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","SEO/HEO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","HM Revenue and Customs","80","80","[c]","[c]"
"Leaver Dept.","2021","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Ministry of Justice","80","80","[c]","[c]"
"Leaver Dept.","2021","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Attorney General's Departments","40","40","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Cabinet Office","50","50","21850","21050"
"Leaver Dept.","2022","AA/AO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Department for Business, Energy and Industrial Strategy","60","50","21450","21130"
"Leaver Dept.","2022","AA/AO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Department for Environment, Food and Rural Affairs","60","60","21240","21300"
"Leaver Dept.","2022","AA/AO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Department for Transport","120","110","21950","21840"
"Leaver Dept.","2022","AA/AO","Department for Work and Pensions","520","490","21340","21260"
"Leaver Dept.","2022","AA/AO","Department of Health and Social Care","820","700","21380","21120"
"Leaver Dept.","2022","AA/AO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","HM Revenue and Customs","600","570","[c]","[c]"
"Leaver Dept.","2022","AA/AO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Home Office","170","160","22120","21680"
"Leaver Dept.","2022","AA/AO","Ministry of Defence","130","130","21940","21170"
"Leaver Dept.","2022","AA/AO","Ministry of Justice","640","620","20830","20970"
"Leaver Dept.","2022","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Scottish Government","40","40","[c]","[c]"
"Leaver Dept.","2022","AA/AO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Attorney General's Departments","60","60","27210","27050"
"Leaver Dept.","2022","EO","Cabinet Office","180","180","27290","27500"
"Leaver Dept.","2022","EO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Department for Business, Energy and Industrial Strategy","120","110","26070","24780"
"Leaver Dept.","2022","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Department for Education","70","70","26520","25000"
"Leaver Dept.","2022","EO","Department for Environment, Food and Rural Affairs","60","60","[c]","[c]"
"Leaver Dept.","2022","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Department for Levelling Up, Housing and Communities","60","60","27200","27850"
"Leaver Dept.","2022","EO","Department for Transport","140","130","27940","26780"
"Leaver Dept.","2022","EO","Department for Work and Pensions","1870","1820","28180","27570"
"Leaver Dept.","2022","EO","Department of Health and Social Care","1080","840","25860","26880"
"Leaver Dept.","2022","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Foreign, Commonwealth and Development Office","30","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","HM Revenue and Customs","270","260","[c]","[c]"
"Leaver Dept.","2022","EO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Home Office","530","520","26370","25210"
"Leaver Dept.","2022","EO","Ministry of Defence","230","220","25500","26670"
"Leaver Dept.","2022","EO","Ministry of Justice","290","280","25280","25120"
"Leaver Dept.","2022","EO","National Crime Agency","40","30","[c]","[c]"
"Leaver Dept.","2022","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Office of Gas and Electricity Markets","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","UK Statistics Authority","30","30","[c]","[c]"
"Leaver Dept.","2022","EO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Attorney General's Departments","90","90","59440","58700"
"Leaver Dept.","2022","G6/G7","Cabinet Office","500","490","58030","54700"
"Leaver Dept.","2022","G6/G7","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Department for Business, Energy and Industrial Strategy","250","230","56340","53600"
"Leaver Dept.","2022","G6/G7","Department for Digital, Culture, Media and Sport","80","80","56370","55650"
"Leaver Dept.","2022","G6/G7","Department for Education","150","150","55950","53810"
"Leaver Dept.","2022","G6/G7","Department for Environment, Food and Rural Affairs","110","100","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Department for International Trade","60","60","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Department for Levelling Up, Housing and Communities","120","110","56560","53130"
"Leaver Dept.","2022","G6/G7","Department for Transport","110","110","56930","54760"
"Leaver Dept.","2022","G6/G7","Department for Work and Pensions","140","130","56550","54070"
"Leaver Dept.","2022","G6/G7","Department of Health and Social Care","2180","1660","58380","54290"
"Leaver Dept.","2022","G6/G7","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Foreign, Commonwealth and Development Office","160","40","[c]","[c]"
"Leaver Dept.","2022","G6/G7","HM Revenue and Customs","140","140","[c]","[c]"
"Leaver Dept.","2022","G6/G7","HM Treasury","70","70","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Home Office","200","200","61150","57740"
"Leaver Dept.","2022","G6/G7","Ministry of Defence","150","150","57150","57050"
"Leaver Dept.","2022","G6/G7","Ministry of Justice","130","120","57180","55670"
"Leaver Dept.","2022","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","UK Statistics Authority","40","40","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Attorney General's Departments","[c]","[c]","[c]","[c]"
