"Status","Year","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Knowledge and Information Management","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Knowledge and Information Management","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Crown Prosecution Service","200","170","54560","55000"
"Leaver CS","2022","Legal","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Government Legal Department","140","130","60050","57280"
"Leaver CS","2022","Legal","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Legal","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"Leaver CS","2022","Medicine","Ministry of Defence (excl. agencies)","260","230","41530","37280"
"Leaver CS","2022","Medicine","Public Health England","90","80","98320","101430"
"Leaver CS","2022","Medicine","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Medicine","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Advisory, Conciliation and Arbitration Service","50","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Animal and Plant Health Agency","200","180","27360","24920"
"Leaver CS","2022","Operational Delivery","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Charity Commission","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Companies House","30","20","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Crown Office and Procurator Fiscal Service","80","70","25640","23230"
"Leaver CS","2022","Operational Delivery","Crown Prosecution Service","180","170","24560","22790"
"Leaver CS","2022","Operational Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Department for Work and Pensions (excl. agencies)","6170","5390","26070","27570"
"Leaver CS","2022","Operational Delivery","Department of Health and Social Care (excl. agencies)","70","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Driver and Vehicle Licensing Agency","320","260","21110","21840"
"Leaver CS","2022","Operational Delivery","Driver and Vehicle Standards Agency","380","340","27260","26780"
"Leaver CS","2022","Operational Delivery","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Food Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Health and Safety Executive","150","130","39400","33350"
"Leaver CS","2022","Operational Delivery","HM Courts and Tribunals Service","2050","1820","23960","20970"
"Leaver CS","2022","Operational Delivery","HM Land Registry","260","210","28500","27130"
"Leaver CS","2022","Operational Delivery","HM Prison and Probation Service","6330","5880","32170","29600"
"Leaver CS","2022","Operational Delivery","HM Revenue and Customs (excl. agencies)","90","70","27460","22080"
"Leaver CS","2022","Operational Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Home Office","1400","1140","27680","25310"
"Leaver CS","2022","Operational Delivery","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Legal Aid Agency","50","50","24070","20970"
"Leaver CS","2022","Operational Delivery","Maritime and Coastguard Agency","100","90","32580","26780"
"Leaver CS","2022","Operational Delivery","Medicines and Healthcare Products Regulatory Agency","40","40","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Ministry of Justice (excl. agencies)","410","390","41890","37090"
"Leaver CS","2022","Operational Delivery","National Crime Agency","260","250","41320","39730"
"Leaver CS","2022","Operational Delivery","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Office of the Public Guardian","70","60","22810","20970"
"Leaver CS","2022","Operational Delivery","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Public Health England","710","650","40620","37480"
"Leaver CS","2022","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Rural Payments Agency","170","150","24750","21300"
"Leaver CS","2022","Operational Delivery","Scottish Courts and Tribunals Service","130","110","26460","23780"
"Leaver CS","2022","Operational Delivery","Scottish Prison Service","240","220","31590","35000"
"Leaver CS","2022","Operational Delivery","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","The Insolvency Service","80","70","28780","23560"
"Leaver CS","2022","Operational Delivery","The National Archives","30","30","[c]","[c]"
"Leaver CS","2022","Operational Delivery","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","UK Health Security Agency","520","480","39570","32790"
"Leaver CS","2022","Operational Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","UK Statistics Authority","320","240","23900","20100"
"Leaver CS","2022","Operational Delivery","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Valuation Office Agency","130","120","21910","22010"
"Leaver CS","2022","Operational Delivery","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Delivery","Welsh Government (excl. agencies)","80","70","37320","28850"
"Leaver CS","2022","Operational Research","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Operational Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Defence Equipment and Support","300","280","27500","23630"
"Leaver CS","2022","Other","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Department for Work and Pensions (excl. agencies)","520","450","25810","24280"
"Leaver CS","2022","Other","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Government Legal Department","40","40","[c]","[c]"
"Leaver CS","2022","Other","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Home Office","140","130","32490","26160"
"Leaver CS","2022","Other","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Medicines and Healthcare Products Regulatory Agency","70","60","51210","46460"
"Leaver CS","2022","Other","Ministry of Defence (excl. agencies)","1200","1120","25680","21380"
"Leaver CS","2022","Other","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Office of Gas and Electricity Markets","130","130","41230","34120"
"Leaver CS","2022","Other","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Royal Fleet Auxiliary","240","240","36010","33270"
"Leaver CS","2022","Other","Scottish Prison Service","70","60","32800","26900"
"Leaver CS","2022","Other","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Planning Inspectors","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","210","200","48840","52300"
"Leaver CS","2022","Policy","Department for Digital, Culture, Media and Sport","100","100","41870","36000"
"Leaver CS","2022","Policy","Department for Education (excl. agencies)","150","150","41320","36500"
"Leaver CS","2022","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","260","250","[c]","[c]"
"Leaver CS","2022","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Department for Levelling Up, Housing and Communities (excl. agencies)","70","70","41960","39600"
"Leaver CS","2022","Policy","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Department for Work and Pensions (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Policy","Department of Health and Social Care (excl. agencies)","180","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","Policy","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","HM Treasury (excl. agencies)","110","110","[c]","[c]"
"Leaver CS","2022","Policy","Home Office","120","120","48250","41970"
"Leaver CS","2022","Policy","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Ministry of Defence (excl. agencies)","60","50","42420","40580"
"Leaver CS","2022","Policy","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","UK Space Agency","40","40","[c]","[c]"
"Leaver CS","2022","Policy","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Welsh Government (excl. agencies)","60","50","48390","38160"
"Leaver CS","2022","Policy","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Policy","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Competition and Markets Authority","40","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Defence Equipment and Support","170","170","35990","32640"
"Leaver CS","2022","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Department for Work and Pensions (excl. agencies)","60","50","37210","34290"
"Leaver CS","2022","Project Delivery","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Home Office","70","60","47570","41950"
"Leaver CS","2022","Project Delivery","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Ministry of Defence (excl. agencies)","150","150","41750","40580"
"Leaver CS","2022","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Submarine Delivery Agency","40","40","[c]","[c]"
"Leaver CS","2022","Project Delivery","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Project Delivery","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Ministry of Defence (excl. agencies)","180","170","31280","33000"
"Leaver CS","2022","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Property","Valuation Office Agency","120","100","35860","30590"
"Leaver CS","2022","Property","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Psychology","HM Prison and Probation Service","90","90","[c]","[c]"
"Leaver CS","2022","Psychology","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Animal and Plant Health Agency","40","30","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","30","30","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Defence Equipment and Support","260","250","35330","33000"
"Leaver CS","2022","Science and Engineering","Defence Science and Technology Laboratory","200","190","34020","29230"
"Leaver CS","2022","Science and Engineering","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Science and Engineering","Food Standards Agency","[c]","[c]","[c]","[c]"
