"Status","Year","Responsibility_level","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","Declared disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Blackpool","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Brent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Bromley","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Camden and City of London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Cheshire East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Derby","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Devon CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Dorset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Dudley","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Durham CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Ealing","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","East Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","East Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","East Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","East Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","East Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","East Sussex CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Enfield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Greater Manchester North East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Greater Manchester North West","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Greater Manchester South East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Gwynedd","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Haringey and Islington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Hertfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Luton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Medway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Mid Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","North Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Northumberland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Oxfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Sandwell","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Sefton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Shropshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Somerset","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","South and West Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","South Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","South Teesside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Staffordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Suffolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Sunderland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Torbay","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Wakefield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Walsall","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Wandsworth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Warrington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Warwickshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","West Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","West Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","West Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","West Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","West Sussex (South West)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Wolverhampton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","Worcestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared disabled","York","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Bedford","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Blackpool","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Brent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Bromley","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Camden and City of London","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Cheshire East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Derby","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Devon CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Dorset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Dudley","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Durham CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Ealing","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","East Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","East Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","East Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","East Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","East Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","East Sussex CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Enfield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Greater Manchester North East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Greater Manchester North West","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Greater Manchester South East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Gwynedd","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Haringey and Islington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Hertfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Luton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Medway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Mid Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","North Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Northumberland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Oxfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Sandwell","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Sefton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Shropshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Somerset","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","South and West Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","South Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","South Teesside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Staffordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Suffolk","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Sunderland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Torbay","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Wakefield","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Walsall","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Wandsworth","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Warrington","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Warwickshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","West Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","West Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","West Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","West Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","West Sussex (South West)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Wolverhampton","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","Worcestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Declared non-disabled","York","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Ealing","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","East Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Greater Manchester North East","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Gwynedd","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Undeclared","Lambeth","[c]","[c]","[c]","[c]"
