"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Animal and Plant Health Agency","80","70","31180","24920"
"Leaver CS","2022","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Crown Prosecution Service","50","50","39050","31560"
"Leaver CS","2022","South East (England)","Defence Equipment and Support","50","50","[c]","[c]"
"Leaver CS","2022","South East (England)","Defence Science and Technology Laboratory","110","100","39540","38600"
"Leaver CS","2022","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Department for Work and Pensions (excl. agencies)","770","680","27200","27570"
"Leaver CS","2022","South East (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Driver and Vehicle Standards Agency","50","50","28160","26780"
"Leaver CS","2022","South East (England)","FCDO Services","60","50","41500","33390"
"Leaver CS","2022","South East (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Courts and Tribunals Service","200","180","23620","20970"
"Leaver CS","2022","South East (England)","HM Prison and Probation Service","1300","1210","[c]","[c]"
"Leaver CS","2022","South East (England)","HM Revenue and Customs (excl. agencies)","180","150","[c]","[c]"
"Leaver CS","2022","South East (England)","Home Office","180","150","29250","27370"
"Leaver CS","2022","South East (England)","Maritime and Coastguard Agency","110","100","35000","30730"
"Leaver CS","2022","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Ministry of Defence (excl. agencies)","840","800","29680","26610"
"Leaver CS","2022","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Public Health England","70","60","52910","45840"
"Leaver CS","2022","South East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","UK Statistics Authority","320","240","25240","20350"
"Leaver CS","2022","South East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Animal and Plant Health Agency","40","40","[c]","[c]"
"Leaver CS","2022","South West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Defence Equipment and Support","680","640","34780","31600"
"Leaver CS","2022","South West (England)","Defence Science and Technology Laboratory","190","180","34680","32330"
"Leaver CS","2022","South West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","60","60","[c]","[c]"
"Leaver CS","2022","South West (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Department for Work and Pensions (excl. agencies)","540","450","25560","27570"
"Leaver CS","2022","South West (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Driver and Vehicle Standards Agency","50","50","[c]","[c]"
"Leaver CS","2022","South West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","HM Courts and Tribunals Service","160","140","22490","20370"
"Leaver CS","2022","South West (England)","HM Land Registry","120","100","34490","33840"
"Leaver CS","2022","South West (England)","HM Prison and Probation Service","570","520","[c]","[c]"
"Leaver CS","2022","South West (England)","HM Revenue and Customs (excl. agencies)","60","60","[c]","[c]"
"Leaver CS","2022","South West (England)","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Met Office","120","110","35040","35630"
"Leaver CS","2022","South West (England)","Ministry of Defence (excl. agencies)","740","680","32720","32670"
"Leaver CS","2022","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","National Crime Agency","40","40","[c]","[c]"
"Leaver CS","2022","South West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Planning Inspectorate","50","50","37710","27530"
"Leaver CS","2022","South West (England)","Public Health England","120","110","36410","27520"
"Leaver CS","2022","South West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Submarine Delivery Agency","100","100","38470","37370"
"Leaver CS","2022","South West (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","UK Health Security Agency","110","100","33130","28590"
"Leaver CS","2022","South West (England)","UK Hydrographic Office","70","60","36510","34000"
"Leaver CS","2022","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","South West (England)","Valuation Office Agency","30","30","[c]","[c]"
"Leaver CS","2022","South West (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Cabinet Office (excl. agencies)","90","90","50940","40600"
"Leaver CS","2022","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Work and Pensions (excl. agencies)","80","80","30280","27570"
"Leaver CS","2022","Unknown","Department of Health and Social Care (excl. agencies)","90","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Driver and Vehicle Licensing Agency","420","340","24530","21840"
"Leaver CS","2022","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","HM Prison and Probation Service","220","190","[c]","[c]"
"Leaver CS","2022","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Royal Fleet Auxiliary","240","240","36010","33270"
"Leaver CS","2022","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Companies House","80","70","30490","24500"
"Leaver CS","2022","Wales","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Department for Work and Pensions (excl. agencies)","410","350","24680","21260"
"Leaver CS","2022","Wales","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","Wales","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","HM Courts and Tribunals Service","100","90","21890","20370"
"Leaver CS","2022","Wales","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","HM Prison and Probation Service","400","370","[c]","[c]"
"Leaver CS","2022","Wales","HM Revenue and Customs (excl. agencies)","310","260","[c]","[c]"
"Leaver CS","2022","Wales","Home Office","60","40","25780","24880"
"Leaver CS","2022","Wales","Intellectual Property Office","60","50","34730","25700"
"Leaver CS","2022","Wales","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Ministry of Defence (excl. agencies)","70","60","28080","22080"
"Leaver CS","2022","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","UK Statistics Authority","210","200","30850","29540"
"Leaver CS","2022","Wales","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Wales","Welsh Government (excl. agencies)","240","210","42720","37410"
"Leaver CS","2022","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Crown Prosecution Service","30","30","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Department for Education (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Department for Work and Pensions (excl. agencies)","650","550","25750","27570"
"Leaver CS","2022","West Midlands (England)","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Education and Skills Funding Agency","30","30","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","HM Courts and Tribunals Service","240","210","22730","20970"
"Leaver CS","2022","West Midlands (England)","HM Land Registry","40","40","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","HM Prison and Probation Service","600","560","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","HM Revenue and Customs (excl. agencies)","310","270","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Home Office","50","50","28350","26160"
"Leaver CS","2022","West Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Ministry of Defence (excl. agencies)","190","180","31060","28520"
"Leaver CS","2022","West Midlands (England)","Ministry of Justice (excl. agencies)","40","40","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Office of the Public Guardian","40","40","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Public Health England","110","90","45570","40060"
"Leaver CS","2022","West Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","West Midlands (England)","Water Services Regulation Authority","50","50","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Cabinet Office (excl. agencies)","60","50","35060","29220"
"Leaver CS","2022","Yorkshire and The Humber","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Crown Prosecution Service","40","40","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Department for Education (excl. agencies)","50","50","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","880","770","28070","27570"
"Leaver CS","2022","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","130","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","HM Courts and Tribunals Service","130","100","23090","20100"
"Leaver CS","2022","Yorkshire and The Humber","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","HM Prison and Probation Service","800","730","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","370","310","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Home Office","180","160","29140","25040"
"Leaver CS","2022","Yorkshire and The Humber","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","200","190","29550","26930"
"Leaver CS","2022","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Public Health England","240","220","34250","29250"
"Leaver CS","2022","Yorkshire and The Humber","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","UK Health Security Agency","30","30","[c]","[c]"
"Leaver CS","2022","Yorkshire and The Humber","Valuation Office Agency","90","70","24340","22040"
"Leaver Dept.","2021","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Department for Work and Pensions (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","HM Courts and Tribunals Service","40","30","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","HM Revenue and Customs (excl. agencies)","60","60","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Office of the Public Guardian","30","30","[c]","[c]"
"Leaver Dept.","2021","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","HM Prison and Probation Service","30","30","[c]","[c]"
"Leaver Dept.","2021","East of England","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","East of England","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","East of England","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Cabinet Office (excl. agencies)","660","650","46010","40600"
"Leaver Dept.","2021","London","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Crown Prosecution Service","30","30","[c]","[c]"
"Leaver Dept.","2021","London","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","390","360","46970","40220"
"Leaver Dept.","2021","London","Department for Digital, Culture, Media and Sport","200","200","46890","49600"
"Leaver Dept.","2021","London","Department for Education (excl. agencies)","150","150","44810","40780"
"Leaver Dept.","2021","London","Department for Environment, Food and Rural Affairs (excl. agencies)","300","290","41790","35710"
"Leaver Dept.","2021","London","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","London","Department for International Trade","210","210","41380","37410"
"Leaver Dept.","2021","London","Department for Transport (excl. agencies)","190","190","45390","42460"
"Leaver Dept.","2021","London","Department for Work and Pensions (excl. agencies)","220","210","39830","31880"
"Leaver Dept.","2021","London","Department of Health and Social Care (excl. agencies)","140","[c]","[c]","[c]"
