"Status","Year","Responsibility_level","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Unknown","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Undeclared","Ministry of Justice","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Business, Energy and Industrial Strategy","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Department of Health and Social Care","50","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Ministry of Defence","250","250","36060","33270"
"Leaver CS","2022","Unknown","Unknown","Ministry of Justice","600","520","[c]","[c]"
"Leaver CS","2022","Unknown","White","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","White","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","White","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","White","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","White","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","White","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","White","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","White","Ministry of Defence","130","120","37520","35980"
"Leaver CS","2022","Unknown","White","Ministry of Justice","960","860","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","HM Revenue and Customs","90","80","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Ministry of Justice","70","70","20210","19930"
"Leaver Dept.","2021","AA/AO","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Ministry of Justice","30","30","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Black","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Department for Environment, Food and Rural Affairs","60","60","21160","21050"
"Leaver Dept.","2021","AA/AO","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Department for Work and Pensions","50","40","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","HM Revenue and Customs","290","280","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Ministry of Justice","80","80","20140","19930"
"Leaver Dept.","2021","AA/AO","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Cabinet Office","30","30","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Department for Transport","60","60","21050","21590"
"Leaver Dept.","2021","AA/AO","White","Department for Work and Pensions","230","210","21030","21010"
"Leaver Dept.","2021","AA/AO","White","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","HM Revenue and Customs","310","290","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Home Office","120","100","21330","21010"
"Leaver Dept.","2021","AA/AO","White","Ministry of Defence","50","50","20900","20920"
"Leaver Dept.","2021","AA/AO","White","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Ministry of Justice","260","250","19840","19930"
"Leaver Dept.","2021","AA/AO","White","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","AA/AO","White","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Department for Work and Pensions","70","70","28980","27570"
"Leaver Dept.","2021","EO","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Home Office","50","40","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Ministry of Justice","40","40","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Department for Work and Pensions","50","50","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","EO","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
