"Status","Year","Region_ITL3","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","East Surrey","Unknown","Surrey, East and West Sussex","210","200","31560","31880"
"In post","2021","East Sussex CC","Heterosexual / straight","Surrey, East and West Sussex","1350","1210","26990","27570"
"In post","2021","East Sussex CC","LGBO","Surrey, East and West Sussex","110","100","26030","26690"
"In post","2021","East Sussex CC","Undeclared","Surrey, East and West Sussex","200","180","27810","27570"
"In post","2021","East Sussex CC","Unknown","Surrey, East and West Sussex","350","300","25770","25930"
"In post","2021","Enfield","Heterosexual / straight","Outer London - East and North East","220","210","30300","31060"
"In post","2021","Enfield","LGBO","Outer London - East and North East","[c]","[c]","[c]","[c]"
"In post","2021","Enfield","Undeclared","Outer London - East and North East","40","40","[c]","[c]"
"In post","2021","Enfield","Unknown","Outer London - East and North East","90","80","29920","31060"
"In post","2021","Essex Haven Gateway","Heterosexual / straight","Essex","830","780","32330","29290"
"In post","2021","Essex Haven Gateway","LGBO","Essex","40","30","[c]","[c]"
"In post","2021","Essex Haven Gateway","Undeclared","Essex","140","130","33330","31070"
"In post","2021","Essex Haven Gateway","Unknown","Essex","130","130","30920","29290"
"In post","2021","Essex Thames Gateway","Heterosexual / straight","Essex","630","560","28060","29290"
"In post","2021","Essex Thames Gateway","LGBO","Essex","40","30","[c]","[c]"
"In post","2021","Essex Thames Gateway","Undeclared","Essex","70","60","26310","25110"
"In post","2021","Essex Thames Gateway","Unknown","Essex","210","180","27080","25110"
"In post","2021","Falkirk","Heterosexual / straight","Eastern Scotland","1000","880","27440","27570"
"In post","2021","Falkirk","LGBO","Eastern Scotland","50","50","27740","26700"
"In post","2021","Falkirk","Undeclared","Eastern Scotland","120","100","26400","22820"
"In post","2021","Falkirk","Unknown","Eastern Scotland","650","570","27990","27570"
"In post","2021","Fermanagh and Omagh","Heterosexual / straight","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","LGBO","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Undeclared","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Fermanagh and Omagh","Unknown","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Flintshire and Wrexham","Heterosexual / straight","East Wales","1290","1230","28070","26120"
"In post","2021","Flintshire and Wrexham","LGBO","East Wales","70","70","25590","24040"
"In post","2021","Flintshire and Wrexham","Undeclared","East Wales","410","380","28580","27570"
"In post","2021","Flintshire and Wrexham","Unknown","East Wales","390","350","26550","23970"
"In post","2021","Glasgow City","Heterosexual / straight","West Central Scotland","7350","6860","32260","27570"
"In post","2021","Glasgow City","LGBO","West Central Scotland","500","490","31060","27570"
"In post","2021","Glasgow City","Undeclared","West Central Scotland","980","890","29790","26670"
"In post","2021","Glasgow City","Unknown","West Central Scotland","2820","2620","31500","27570"
"In post","2021","Gloucestershire","Heterosexual / straight","Gloucestershire, Wiltshire and Bath/Bristol area","890","810","29500","27570"
"In post","2021","Gloucestershire","LGBO","Gloucestershire, Wiltshire and Bath/Bristol area","50","50","27740","27570"
"In post","2021","Gloucestershire","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","180","160","30310","27570"
"In post","2021","Gloucestershire","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","280","250","28100","27130"
"In post","2021","Greater Manchester North East","Heterosexual / straight","Greater Manchester","790","750","28130","27570"
"In post","2021","Greater Manchester North East","LGBO","Greater Manchester","50","50","[c]","[c]"
"In post","2021","Greater Manchester North East","Undeclared","Greater Manchester","110","100","27140","27570"
"In post","2021","Greater Manchester North East","Unknown","Greater Manchester","250","220","25990","27570"
"In post","2021","Greater Manchester North West","Heterosexual / straight","Greater Manchester","1290","1160","25780","24920"
"In post","2021","Greater Manchester North West","LGBO","Greater Manchester","60","60","24710","22850"
"In post","2021","Greater Manchester North West","Undeclared","Greater Manchester","150","130","24410","23240"
"In post","2021","Greater Manchester North West","Unknown","Greater Manchester","490","430","24420","21280"
"In post","2021","Greater Manchester South East","Heterosexual / straight","Greater Manchester","930","860","25880","22920"
"In post","2021","Greater Manchester South East","LGBO","Greater Manchester","60","60","24830","21580"
"In post","2021","Greater Manchester South East","Undeclared","Greater Manchester","140","120","26030","23840"
"In post","2021","Greater Manchester South East","Unknown","Greater Manchester","260","230","24710","21010"
"In post","2021","Greater Manchester South West","Heterosexual / straight","Greater Manchester","3530","3330","31510","27570"
"In post","2021","Greater Manchester South West","LGBO","Greater Manchester","300","290","29580","25560"
"In post","2021","Greater Manchester South West","Undeclared","Greater Manchester","440","410","31540","28130"
"In post","2021","Greater Manchester South West","Unknown","Greater Manchester","1880","1760","28460","25560"
"In post","2021","Gwent Valleys","Heterosexual / straight","West Wales and The Valleys","770","700","29130","27570"
"In post","2021","Gwent Valleys","LGBO","West Wales and The Valleys","40","40","[c]","[c]"
"In post","2021","Gwent Valleys","Undeclared","West Wales and The Valleys","80","70","29600","27570"
"In post","2021","Gwent Valleys","Unknown","West Wales and The Valleys","200","170","24730","22920"
