"Status","Year","Responsibility_level","Sex","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","SEO/HEO","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Mixed","40","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Female","Undeclared","130","110","36650","35610"
"Leaver CS","2021","SEO/HEO","Female","Unknown","470","410","35460","34550"
"Leaver CS","2021","SEO/HEO","Female","White","1770","1560","36680","36030"
"Leaver CS","2021","SEO/HEO","Male","Asian","100","90","37140","37210"
"Leaver CS","2021","SEO/HEO","Male","Black","50","50","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Male","Mixed","40","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Male","Undeclared","230","210","37450","36100"
"Leaver CS","2021","SEO/HEO","Male","Unknown","560","510","36890","35900"
"Leaver CS","2021","SEO/HEO","Male","White","1880","1710","37980","37100"
"Leaver CS","2021","SEO/HEO","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Unknown","White","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Unknown","340","310","[c]","[c]"
"Leaver CS","2021","Unknown","Female","White","360","310","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Chinese","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Unknown","310","300","35460","32400"
"Leaver CS","2021","Unknown","Male","White","160","140","38570","35530"
"Leaver CS","2021","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Female","Asian","460","390","21960","21300"
"Leaver CS","2022","AA/AO","Female","Black","260","230","22610","22530"
"Leaver CS","2022","AA/AO","Female","Mixed","170","160","21520","21260"
"Leaver CS","2022","AA/AO","Female","Other ethnicity","50","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Female","Undeclared","260","210","21140","21010"
"Leaver CS","2022","AA/AO","Female","Unknown","2100","1890","21350","21260"
"Leaver CS","2022","AA/AO","Female","White","6040","5000","21290","21260"
"Leaver CS","2022","AA/AO","Male","Asian","380","350","22060","21260"
"Leaver CS","2022","AA/AO","Male","Black","170","160","22500","22570"
"Leaver CS","2022","AA/AO","Male","Mixed","130","120","21630","21260"
"Leaver CS","2022","AA/AO","Male","Other ethnicity","30","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Male","Undeclared","310","280","22780","21260"
"Leaver CS","2022","AA/AO","Male","Unknown","1990","1900","22100","21260"
"Leaver CS","2022","AA/AO","Male","White","5060","4680","22270","21260"
"Leaver CS","2022","EO","Female","Asian","410","360","28200","27570"
"Leaver CS","2022","EO","Female","Black","340","320","29220","29520"
"Leaver CS","2022","EO","Female","Mixed","160","160","27790","27570"
"Leaver CS","2022","EO","Female","Other ethnicity","40","40","[c]","[c]"
"Leaver CS","2022","EO","Female","Undeclared","210","170","27800","27570"
