"Status","Year","Age","Sex","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","40-49","Female","Communications","50","30","[c]","[c]"
"Leaver CS","2022","40-49","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","Digital, Data & Technology","90","80","48620","42120"
"Leaver CS","2022","40-49","Female","Finance","50","40","[c]","[c]"
"Leaver CS","2022","40-49","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","Human Resources","80","70","41200","38200"
"Leaver CS","2022","40-49","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","Legal","70","60","56870","55610"
"Leaver CS","2022","40-49","Female","No function","1940","1720","35130","27570"
"Leaver CS","2022","40-49","Female","Project Delivery","80","70","44280","40000"
"Leaver CS","2022","40-49","Female","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Female","Unknown","810","670","31290","27570"
"Leaver CS","2022","40-49","Male","Analysis","30","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Male","Commercial","40","30","[c]","[c]"
"Leaver CS","2022","40-49","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Male","Digital, Data & Technology","180","180","49940","46270"
"Leaver CS","2022","40-49","Male","Finance","40","30","[c]","[c]"
"Leaver CS","2022","40-49","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Male","Legal","50","40","[c]","[c]"
"Leaver CS","2022","40-49","Male","No function","1390","1330","35950","28220"
"Leaver CS","2022","40-49","Male","Project Delivery","100","100","44780","41090"
"Leaver CS","2022","40-49","Male","Property","40","40","[c]","[c]"
"Leaver CS","2022","40-49","Male","Security","60","60","31930","27680"
"Leaver CS","2022","40-49","Male","Unknown","580","550","35820","29290"
"Leaver CS","2022","40-49","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Female","Commercial","50","40","[c]","[c]"
"Leaver CS","2022","50-59","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Female","Counter Fraud","40","30","[c]","[c]"
"Leaver CS","2022","50-59","Female","Debt","30","20","[c]","[c]"
"Leaver CS","2022","50-59","Female","Digital, Data & Technology","60","50","40750","38260"
"Leaver CS","2022","50-59","Female","Finance","50","40","[c]","[c]"
"Leaver CS","2022","50-59","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Female","Human Resources","80","70","39630","34290"
"Leaver CS","2022","50-59","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Female","Legal","80","70","47440","50980"
"Leaver CS","2022","50-59","Female","No function","2550","2220","34300","27570"
"Leaver CS","2022","50-59","Female","Project Delivery","90","80","41750","37930"
"Leaver CS","2022","50-59","Female","Property","60","50","32310","22130"
"Leaver CS","2022","50-59","Female","Security","40","40","[c]","[c]"
"Leaver CS","2022","50-59","Female","Unknown","1270","1060","32620","27570"
"Leaver CS","2022","50-59","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Male","Commercial","60","60","69350","65240"
"Leaver CS","2022","50-59","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Male","Counter Fraud","40","30","[c]","[c]"
"Leaver CS","2022","50-59","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Male","Digital, Data & Technology","140","130","48700","45750"
"Leaver CS","2022","50-59","Male","Finance","50","40","[c]","[c]"
"Leaver CS","2022","50-59","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Male","Human Resources","40","40","[c]","[c]"
"Leaver CS","2022","50-59","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Male","Legal","60","50","53660","53350"
"Leaver CS","2022","50-59","Male","No function","1860","1750","36000","27570"
"Leaver CS","2022","50-59","Male","Project Delivery","160","150","46160","40580"
"Leaver CS","2022","50-59","Male","Property","70","70","34210","30020"
"Leaver CS","2022","50-59","Male","Security","170","170","33960","39070"
"Leaver CS","2022","50-59","Male","Unknown","1030","950","34630","29430"
"Leaver CS","2022","60-64","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Female","Commercial","30","30","[c]","[c]"
"Leaver CS","2022","60-64","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Female","Counter Fraud","60","50","27880","27570"
"Leaver CS","2022","60-64","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Female","Digital, Data & Technology","40","20","[c]","[c]"
"Leaver CS","2022","60-64","Female","Finance","40","40","[c]","[c]"
"Leaver CS","2022","60-64","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Female","Human Resources","70","60","36920","34330"
"Leaver CS","2022","60-64","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Female","Legal","70","60","48890","55610"
"Leaver CS","2022","60-64","Female","No function","1640","1270","31050","27570"
"Leaver CS","2022","60-64","Female","Project Delivery","60","50","42770","39650"
"Leaver CS","2022","60-64","Female","Property","40","30","[c]","[c]"
"Leaver CS","2022","60-64","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Female","Unknown","1070","830","33190","26670"
"Leaver CS","2022","60-64","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Male","Commercial","40","40","[c]","[c]"
"Leaver CS","2022","60-64","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Male","Counter Fraud","50","40","[c]","[c]"
"Leaver CS","2022","60-64","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Male","Digital, Data & Technology","110","100","43780","40670"
"Leaver CS","2022","60-64","Male","Finance","50","40","[c]","[c]"
"Leaver CS","2022","60-64","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Male","Legal","40","30","[c]","[c]"
"Leaver CS","2022","60-64","Male","No function","1260","1090","37450","30720"
"Leaver CS","2022","60-64","Male","Project Delivery","150","130","45620","40980"
"Leaver CS","2022","60-64","Male","Property","80","70","41560","36460"
"Leaver CS","2022","60-64","Male","Security","130","120","37900","39070"
"Leaver CS","2022","60-64","Male","Unknown","1060","900","38100","32740"
"Leaver CS","2022","60-64","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Counter Fraud","50","30","26550","27570"
"Leaver CS","2022","65+","Female","Debt","40","20","[c]","[c]"
"Leaver CS","2022","65+","Female","Digital, Data & Technology","40","30","[c]","[c]"
"Leaver CS","2022","65+","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","No function","1390","960","27250","24310"
"Leaver CS","2022","65+","Female","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2022","65+","Female","Property","30","30","[c]","[c]"
"Leaver CS","2022","65+","Female","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Female","Unknown","680","490","27980","25260"
"Leaver CS","2022","65+","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Male","Counter Fraud","40","20","[c]","[c]"
"Leaver CS","2022","65+","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Male","Digital, Data & Technology","60","50","39850","34970"
"Leaver CS","2022","65+","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","Male","Legal","30","20","[c]","[c]"
"Leaver CS","2022","65+","Male","No function","1130","840","31320","27470"
"Leaver CS","2022","65+","Male","Project Delivery","90","80","39250","36490"
"Leaver CS","2022","65+","Male","Property","70","70","35150","33300"
"Leaver CS","2022","65+","Male","Security","90","80","28500","25000"
"Leaver CS","2022","65+","Male","Unknown","810","640","33420","29080"
"Leaver CS","2022","65+","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","16-19","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Analysis","80","80","35960","32900"
"Leaver Dept.","2021","20-29","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Communications","60","60","34540","33050"
"Leaver Dept.","2021","20-29","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Human Resources","110","110","30050","29030"
"Leaver Dept.","2021","20-29","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Legal","50","50","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","No function","1000","990","31770","32000"
"Leaver Dept.","2021","20-29","Female","Project Delivery","70","70","32560","30700"
"Leaver Dept.","2021","20-29","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Female","Unknown","960","850","30590","28500"
"Leaver Dept.","2021","20-29","Male","Analysis","70","70","35260","33170"
"Leaver Dept.","2021","20-29","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","No function","770","760","33040","32000"
"Leaver Dept.","2021","20-29","Male","Project Delivery","80","80","32070","30430"
"Leaver Dept.","2021","20-29","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","20-29","Male","Unknown","780","700","30670","28670"
"Leaver Dept.","2021","20-29","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Analysis","40","40","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Communications","40","40","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Digital, Data & Technology","40","40","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Finance","40","30","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Human Resources","90","80","41440","37300"
"Leaver Dept.","2021","30-39","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Legal","40","40","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","No function","700","670","39970","35900"
"Leaver Dept.","2021","30-39","Female","Project Delivery","70","60","41730","39800"
"Leaver Dept.","2021","30-39","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Female","Unknown","830","720","35080","30110"
"Leaver Dept.","2021","30-39","Male","Analysis","50","50","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Communications","30","30","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Digital, Data & Technology","50","50","43110","42430"
"Leaver Dept.","2021","30-39","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Human Resources","60","60","37990","34400"
"Leaver Dept.","2021","30-39","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Legal","30","30","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","No function","570","560","41430","38580"
"Leaver Dept.","2021","30-39","Male","Project Delivery","90","90","39850","38600"
"Leaver Dept.","2021","30-39","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Male","Unknown","770","710","35590","31060"
"Leaver Dept.","2021","30-39","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Finance","30","30","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Human Resources","70","60","47570","46670"
"Leaver Dept.","2021","40-49","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Legal","30","30","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","No function","330","310","46820","42840"
"Leaver Dept.","2021","40-49","Female","Project Delivery","70","60","49730","50250"
"Leaver Dept.","2021","40-49","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Female","Unknown","650","580","38040","31060"
"Leaver Dept.","2021","40-49","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","No function","250","240","48700","48480"
"Leaver Dept.","2021","40-49","Male","Project Delivery","50","50","45000","40980"
"Leaver Dept.","2021","40-49","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Male","Unknown","430","400","37100","31700"
"Leaver Dept.","2021","40-49","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Human Resources","40","40","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","No function","180","170","40810","34550"
"Leaver Dept.","2021","50-59","Female","Project Delivery","50","40","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Female","Unknown","440","410","34740","29640"
"Leaver Dept.","2021","50-59","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","No function","170","170","43450","36770"
"Leaver Dept.","2021","50-59","Male","Project Delivery","50","40","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Male","Unknown","290","270","37570","31060"
"Leaver Dept.","2021","50-59","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","50-59","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Female","Unknown","40","30","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","60-64","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Female","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Female","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Male","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Male","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Male","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","65+","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Female","Unknown","60","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Male","Unknown","60","30","[c]","[c]"
"Leaver Dept.","2022","16-19","Female","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Female","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Female","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Female","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Male","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Male","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Male","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Male","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Male","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Analysis","130","110","35770","33750"
"Leaver Dept.","2022","20-29","Female","Commercial","50","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Communications","80","70","32560","31410"
"Leaver Dept.","2022","20-29","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Digital, Data & Technology","90","70","33910","33150"
"Leaver Dept.","2022","20-29","Female","Finance","60","40","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Human Resources","170","150","29830","28000"
"Leaver Dept.","2022","20-29","Female","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Legal","40","40","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","No function","2830","2660","30230","28870"
"Leaver Dept.","2022","20-29","Female","Project Delivery","70","70","30130","28260"
"Leaver Dept.","2022","20-29","Female","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Female","Unknown","660","590","30340","28610"
"Leaver Dept.","2022","20-29","Male","Analysis","130","100","35440","33710"
"Leaver Dept.","2022","20-29","Male","Commercial","50","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Communications","40","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Digital, Data & Technology","80","70","33840","32870"
"Leaver Dept.","2022","20-29","Male","Finance","60","40","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Male","Human Resources","60","50","30730","28000"
