"Status","Year","Function_of_post","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Project Delivery","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Foreign, Commonwealth and Development Office","1200","1160","51930","55060"
"In post","2021","Project Delivery","Heterosexual / straight","HM Land Registry","90","90","41370","38550"
"In post","2021","Project Delivery","Heterosexual / straight","HM Revenue and Customs","2960","2800","44010","38630"
"In post","2021","Project Delivery","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Ministry of Defence","12750","12360","37890","35270"
"In post","2021","Project Delivery","Heterosexual / straight","Ministry of Housing, Communities and Local Government","100","90","45960","40720"
"In post","2021","Project Delivery","Heterosexual / straight","Ministry of Justice","520","510","40840","36800"
"In post","2021","Project Delivery","Heterosexual / straight","National Crime Agency","80","70","46170","45480"
"In post","2021","Project Delivery","Heterosexual / straight","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Other Cabinet Office Agencies","50","50","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","Scottish Government","90","80","40250","36780"
"In post","2021","Project Delivery","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Heterosexual / straight","United Kingdom Statistics Authority","160","160","40050","36030"
"In post","2021","Project Delivery","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Department for Business, Energy and Industrial Strategy","60","50","48610","48050"
"In post","2021","Project Delivery","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Department for Transport","30","30","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Foreign, Commonwealth and Development Office","90","90","51990","52430"
"In post","2021","Project Delivery","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","HM Revenue and Customs","180","170","46870","38650"
"In post","2021","Project Delivery","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Ministry of Defence","400","400","34200","32850"
"In post","2021","Project Delivery","LGBO","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Ministry of Justice","40","40","[c]","[c]"
"In post","2021","Project Delivery","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Business, Energy and Industrial Strategy","90","80","46700","49080"
"In post","2021","Project Delivery","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Education","40","40","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department for Transport","60","60","51700","42890"
"In post","2021","Project Delivery","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Foreign, Commonwealth and Development Office","60","50","54350","55620"
"In post","2021","Project Delivery","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","HM Revenue and Customs","350","320","44530","38630"
"In post","2021","Project Delivery","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Ministry of Defence","2130","2050","38720","36460"
"In post","2021","Project Delivery","Undeclared","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Ministry of Justice","50","50","45610","37870"
"In post","2021","Project Delivery","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Department for Business, Energy and Industrial Strategy","460","440","41250","39650"
"In post","2021","Project Delivery","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Department for Education","80","80","48120","49860"
"In post","2021","Project Delivery","Unknown","Department for Environment, Food and Rural Affairs","130","130","37350","35900"
"In post","2021","Project Delivery","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Department for Transport","100","90","44620","42470"
"In post","2021","Project Delivery","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Foreign, Commonwealth and Development Office","720","700","50150","53000"
"In post","2021","Project Delivery","Unknown","HM Land Registry","40","40","[c]","[c]"
"In post","2021","Project Delivery","Unknown","HM Revenue and Customs","1080","1020","42310","38630"
"In post","2021","Project Delivery","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Ministry of Defence","1170","1140","36180","33530"
"In post","2021","Project Delivery","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Ministry of Justice","110","110","37790","36040"
"In post","2021","Project Delivery","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Office for Standards in Education","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"In post","2021","Project Delivery","Unknown","Scottish Government","200","190","34790","35330"
"In post","2021","Project Delivery","Unknown","United Kingdom Statistics Authority","50","50","40560","38070"
"In post","2021","Project Delivery","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Heterosexual / straight","Cabinet Office","80","80","50370","53000"
"In post","2021","Property","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2021","Property","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2021","Property","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","40","30","[c]","[c]"
"In post","2021","Property","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2021","Property","Heterosexual / straight","Department for Education","210","200","50140","50850"
"In post","2021","Property","Heterosexual / straight","Department for Environment, Food and Rural Affairs","300","290","37470","35900"
"In post","2021","Property","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2021","Property","Heterosexual / straight","Department for Transport","110","100","33100","31040"
