"Status","Year","Function_of_post","Organisation","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Digital, Data & Technology","National Crime Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","National Crime Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Northern Ireland Office","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Northern Ireland Office","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office of Gas and Electricity Markets","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Public Health England","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Public Health England","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Public Health England","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Serious Fraud Office","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","UK Hydrographic Office","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","UK Hydrographic Office","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","UK Hydrographic Office","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","UK Intellectual Property Office","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","UK Intellectual Property Office","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","United Kingdom Statistics Authority","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","United Kingdom Statistics Authority","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","United Kingdom Statistics Authority","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","United Kingdom Statistics Authority","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Water Services Regulation Authority","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Digital, Data & Technology","Welsh Revenue Authority","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Cabinet Office (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Cabinet Office (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Cabinet Office (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Cabinet Office (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Centre for Environment, Fisheries and Aquaculture Science","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Charity Commission","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Defence Equipment and Support","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Defence Equipment and Support","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Defence Equipment and Support","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Defence Equipment and Support","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Defence Science and Technology Laboratory","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Digital, Culture, Media and Sport","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Digital, Culture, Media and Sport","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for International Development","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Driver and Vehicle Licensing Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Driver and Vehicle Licensing Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Driver and Vehicle Standards Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Driver and Vehicle Standards Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Driver and Vehicle Standards Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Foreign, Commonwealth and Development Office (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Forestry and Land Scotland","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Government Internal Audit Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Government Legal Department","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Government Legal Department","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Government Legal Department","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Courts and Tribunals Service","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","HM Treasury (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Insolvency Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Institute for Apprenticeships and Technical Education","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Institute for Apprenticeships and Technical Education","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Defence (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Defence (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Defence (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Defence (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Housing, Communities and Local Government (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Justice (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Justice (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Justice (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Justice (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Ministry of Justice (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","National Crime Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","National Crime Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","National Savings and Investments","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office for Standards in Education, Children's Services and Skills","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Submarine Delivery Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","UK Export Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","UK Intellectual Property Office","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","UK Intellectual Property Office","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","United Kingdom Statistics Authority","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Valuation Office Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Valuation Office Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Valuation Office Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Valuation Office Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Finance","Vehicle Certification Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Rural Payments Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Rural Payments Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Rural Payments Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Rural Payments Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Grants Management","Rural Payments Agency","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Cabinet Office (excl. agencies)","16-19","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Cabinet Office (excl. agencies)","20-29","60","60","27940","27500"
"Leaver Dept.","2021","Human Resources","Cabinet Office (excl. agencies)","30-39","60","50","40360","35610"
"Leaver Dept.","2021","Human Resources","Cabinet Office (excl. agencies)","40-49","30","30","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Cabinet Office (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Cabinet Office (excl. agencies)","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Cabinet Office (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Companies House","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Companies House","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Crown Prosecution Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Crown Prosecution Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Crown Prosecution Service","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Defence Equipment and Support","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Defence Equipment and Support","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Defence Science and Technology Laboratory","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Defence Science and Technology Laboratory","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Defence Science and Technology Laboratory","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Business, Energy and Industrial Strategy (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Digital, Culture, Media and Sport","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Digital, Culture, Media and Sport","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Digital, Culture, Media and Sport","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for Environment, Food and Rural Affairs (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Development","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Trade","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Trade","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Trade","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Department for International Trade","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Driver and Vehicle Licensing Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Driver and Vehicle Licensing Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Driver and Vehicle Licensing Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Driver and Vehicle Licensing Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Driver and Vehicle Standards Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Driver and Vehicle Standards Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Food Standards Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Foreign, Commonwealth and Development Office (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Forestry and Land Scotland","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Government Internal Audit Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Government Legal Department","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Government Legal Department","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Government Legal Department","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Health and Safety Executive","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Health and Safety Executive","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Courts and Tribunals Service","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Treasury (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Treasury (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","HM Treasury (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Medicines and Healthcare Products Regulatory Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Defence (excl. agencies)","65+","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Housing, Communities and Local Government (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Justice (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Justice (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Justice (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Ministry of Justice (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","National Crime Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","National Crime Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","National Crime Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","National Crime Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office for Standards in Education, Children's Services and Skills","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office for Standards in Education, Children's Services and Skills","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office for Standards in Education, Children's Services and Skills","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office of Rail and Road","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Office of Rail and Road","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Public Health England","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Queen Elizabeth II Centre","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Registers of Scotland","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Submarine Delivery Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Export Finance","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Hydrographic Office","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Intellectual Property Office","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Intellectual Property Office","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","UK Space Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","United Kingdom Statistics Authority","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","United Kingdom Statistics Authority","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","United Kingdom Statistics Authority","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","United Kingdom Statistics Authority","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Valuation Office Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Valuation Office Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Vehicle Certification Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Human Resources","Welsh Revenue Authority","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Government Internal Audit Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Government Internal Audit Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Government Internal Audit Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Ministry of Defence (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","Ministry of Defence (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Internal Audit","UK Hydrographic Office","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Attorney General's Office","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Attorney General's Office","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Attorney General's Office","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Cabinet Office (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Charity Commission","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Competition and Markets Authority","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Competition and Markets Authority","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Competition and Markets Authority","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Crown Office and Procurator Fiscal Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Crown Prosecution Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Crown Prosecution Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Crown Prosecution Service","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Crown Prosecution Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Crown Prosecution Service","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Crown Prosecution Service Inspectorate","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Crown Prosecution Service Inspectorate","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Food Standards Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Foreign, Commonwealth and Development Office (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Government Legal Department","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Government Legal Department","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Government Legal Department","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Government Legal Department","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Government Legal Department","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Health and Safety Executive","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","HM Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","HM Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","HM Courts and Tribunals Service","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","HM Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Insolvency Service","60-64","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Legal Aid Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Defence (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice (excl. agencies)","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice (excl. agencies)","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice (excl. agencies)","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Ministry of Justice (excl. agencies)","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","National Crime Agency","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","National Crime Agency","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","National Crime Agency","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","National Crime Agency","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office for Standards in Education, Children's Services and Skills","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office for Standards in Education, Children's Services and Skills","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office for Standards in Education, Children's Services and Skills","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Gas and Electricity Markets","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Gas and Electricity Markets","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Gas and Electricity Markets","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of Rail and Road","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of the Public Guardian","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Office of the Public Guardian","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Courts and Tribunals Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Courts and Tribunals Service","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Courts and Tribunals Service","40-49","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Scottish Courts and Tribunals Service","50-59","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Legal","Serious Fraud Office","30-39","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Advisory, Conciliation and Arbitration Service","20-29","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","No function","Advisory, Conciliation and Arbitration Service","30-39","[c]","[c]","[c]","[c]"
