"Status","Year","Profession_of_post","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Human Resources","1130","1080","39530","35590"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Legal","60","60","79770","79760"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","No function","3980","3950","41000","32000"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Project Delivery","190","190","66540","56540"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Property","110","110","49750","49700"
"In post","2022","Unknown","Cabinet Office (excl. agencies)","Security","990","950","33900","33000"
"In post","2022","Unknown","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Transport (excl. agencies)","No function","640","620","50470","40850"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Analysis","70","70","33140","25110"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Work and Pensions (excl. agencies)","Unknown","440","420","34950","27660"
"In post","2022","Unknown","Department of Health and Social Care (excl. agencies)","Unknown","200","200","49340","49530"
"In post","2022","Unknown","Disclosure Scotland","Unknown","360","330","29150","23230"
"In post","2022","Unknown","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Education Scotland","Unknown","330","320","57430","62170"
"In post","2022","Unknown","Food Standards Scotland","Unknown","300","290","35950","31540"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","180","170","51550","49430"
"In post","2022","Unknown","Forestry and Land Scotland","Unknown","1020","980","32880","31060"
"In post","2022","Unknown","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Analysis","60","60","49010","43810"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Commercial","30","30","[c]","[c]"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Communications","200","200","37400","33080"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Counter Fraud","660","650","31150","28920"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Debt","110","110","26240","21250"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","360","360","47700","40520"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Finance","230","220","45940","40520"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Human Resources","170","160","43660","40180"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Legal","170","160","51340","52080"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","No function","3150","3040","32700","31020"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Project Delivery","160","150","46270","40180"
"In post","2022","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Medicines and Healthcare Products Regulatory Agency","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Ministry of Defence (excl. agencies)","Unknown","30","30","[c]","[c]"
"In post","2022","Unknown","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","National Records of Scotland","Unknown","460","430","36140","33070"
"In post","2022","Unknown","Office of the Scottish Charity Regulator","Unknown","40","40","[c]","[c]"
"In post","2022","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","70","70","48900","49860"
"In post","2022","Unknown","Revenue Scotland","Unknown","80","80","39500","36130"
"In post","2022","Unknown","Scottish Fiscal Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Scottish Forestry","Unknown","190","180","36060","31060"
"In post","2022","Unknown","Scottish Government (excl. agencies)","Unknown","8850","8500","44110","39660"
"In post","2022","Unknown","Scottish Housing Regulator","Unknown","50","50","53340","51490"
"In post","2022","Unknown","Scottish Public Pensions Agency","Unknown","310","280","30300","25930"
"In post","2022","Unknown","Social Security Scotland","Unknown","2450","2380","30730","27230"
"In post","2022","Unknown","Student Awards Agency for Scotland","Unknown","230","220","31560","27230"
"In post","2022","Unknown","Transport Scotland","Unknown","530","510","45450","43000"
"In post","2022","Unknown","Veterinary Medicines Directorate","Unknown","40","40","[c]","[c]"
"In post","2022","Unknown","Welsh Revenue Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Welsh Revenue Authority","No function","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Welsh Revenue Authority","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Animal and Plant Health Agency","No function","330","320","42970","38340"
"In post","2022","Veterinarian","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Food Standards Agency","No function","60","60","44370","39090"
"In post","2022","Veterinarian","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Companies House","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Defence Equipment and Support","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Defence Equipment and Support","Project Delivery","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for International Development","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Prison and Probation Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","HM Treasury (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Defence (excl. agencies)","Commercial","40","30","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Ministry of Justice (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","National Crime Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Office for Standards in Education, Children's Services and Skills","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Public Health England","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Registers of Scotland","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Scottish Prison Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","The National Archives","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Wilton Park","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Attorney General's Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Centre for Environment, Fisheries and Aquaculture Science","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Companies House","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Defence (excl. agencies)","Communications","30","30","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","National Infrastructure Commission","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","National Savings and Investments","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Planning Inspectorate","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Public Health England","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Serious Fraud Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","The National Archives","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Wales Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Competition and Markets Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Cabinet Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Companies House","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Crown Commercial Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Crown Prosecution Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Debt Management Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Defence Electronics and Components Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Education (excl. agencies)","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for International Development","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Department for International Trade","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Driver and Vehicle Licensing Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","FCDO Services","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Health and Safety Executive","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","HM Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Insolvency Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Maritime and Coastguard Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Ministry of Defence (excl. agencies)","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Ministry of Housing, Communities and Local Government (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Ministry of Justice (excl. agencies)","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","National Savings and Investments","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Office of Qualifications and Examinations Regulation","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Planning Inspectorate","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Public Health England","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Public Health England","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Queen Elizabeth II Centre","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Registers of Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Scottish Prison Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Serious Fraud Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","UK Hydrographic Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","UK Intellectual Property Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","United Kingdom Statistics Authority","Digital, Data & Technology","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Vehicle Certification Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Wilton Park","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","HM Treasury (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Ministry of Housing, Communities and Local Government (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Ministry of Justice (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Office for Budget Responsibility","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Office of Gas and Electricity Markets","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","United Kingdom Statistics Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Companies House","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Debt Management Office","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Defence Science and Technology Laboratory","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Department for International Trade","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Government Actuary's Department","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","Health and Safety Executive","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
