"Status","Year","Ethnicity","Age","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Mixed","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","No function","40","30","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Mixed","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","No function","50","50","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","No function","40","40","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","30-39","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","40-49","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","50-59","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","60-64","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","65+","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Other ethnicity","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","16-19","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","16-19","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Analysis","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","No function","110","110","26430","23860"
"Leaver CS","2022","Undeclared","20-29","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","20-29","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","No function","160","150","34900","31060"
"Leaver CS","2022","Undeclared","30-39","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","30-39","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","No function","110","100","36760","31060"
"Leaver CS","2022","Undeclared","40-49","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","40-49","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","No function","200","170","37330","29250"
"Leaver CS","2022","Undeclared","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","50-59","Unknown","120","100","34990","29330"
"Leaver CS","2022","Undeclared","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","No function","150","120","31160","27570"
"Leaver CS","2022","Undeclared","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","60-64","Unknown","150","120","29630","28380"
"Leaver CS","2022","Undeclared","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","No function","120","80","29100","26980"
"Leaver CS","2022","Undeclared","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","65+","Unknown","80","60","[c]","[c]"
"Leaver CS","2022","Undeclared","Unknown","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","No function","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","16-19","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Analysis","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Commercial","40","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Communications","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Digital, Data & Technology","110","90","31770","29360"
"Leaver CS","2022","Unknown","20-29","Finance","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Grants Management","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Human Resources","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","No function","1860","1760","24870","22600"
"Leaver CS","2022","Unknown","20-29","Project Delivery","60","60","27930","26230"
"Leaver CS","2022","Unknown","20-29","Property","40","30","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Security","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","20-29","Unknown","1010","940","25830","24880"
"Leaver CS","2022","Unknown","30-39","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Commercial","60","40","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Communications","50","30","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Digital, Data & Technology","90","80","41710","38400"
"Leaver CS","2022","Unknown","30-39","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","No function","1040","940","31190","27570"
"Leaver CS","2022","Unknown","30-39","Project Delivery","50","50","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Security","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","30-39","Unknown","610","560","31300","27570"
"Leaver CS","2022","Unknown","40-49","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Commercial","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Digital, Data & Technology","60","50","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","No function","600","530","35020","27570"
"Leaver CS","2022","Unknown","40-49","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","40-49","Unknown","430","390","33130","27570"
"Leaver CS","2022","Unknown","50-59","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Commercial","50","40","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","No function","600","540","34440","26900"
"Leaver CS","2022","Unknown","50-59","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Security","30","30","[c]","[c]"
"Leaver CS","2022","Unknown","50-59","Unknown","450","400","33570","27570"
"Leaver CS","2022","Unknown","60-64","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","No function","300","240","31910","27940"
"Leaver CS","2022","Unknown","60-64","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","60-64","Unknown","300","240","42640","37300"
"Leaver CS","2022","Unknown","65+","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Grants Management","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","No function","220","160","29670","24750"
"Leaver CS","2022","Unknown","65+","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","65+","Security","[c]","[c]","[c]","[c]"
