"Status","Year","Ethnicity","Age","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Chinese","50-59","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","50-59","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","60-64","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","65+","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Chinese","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","16-19","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Mixed","20-29","Health and Safety Executive","[c]","[c]","[c]","[c]"
