"Status","Year","Responsibility_level","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","G6/G7","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Department of Health and Social Care","190","80","58090","54290"
"Leaver CS","2022","G6/G7","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Attorney General's Departments","60","50","59650","57040"
"Leaver CS","2022","G6/G7","Unknown","Cabinet Office","140","140","65710","64500"
"Leaver CS","2022","G6/G7","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Business, Energy and Industrial Strategy","50","50","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Department for Work and Pensions","70","70","59090","59290"
"Leaver CS","2022","G6/G7","Unknown","Department of Health and Social Care","160","150","58340","54020"
"Leaver CS","2022","G6/G7","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Foreign, Commonwealth and Development Office","60","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","HM Revenue and Customs","300","270","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Home Office","30","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Ministry of Defence","80","60","57000","52590"
"Leaver CS","2022","G6/G7","Unknown","Ministry of Justice","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Office of Gas and Electricity Markets","40","30","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Scottish Government","70","60","64090","62170"
"Leaver CS","2022","G6/G7","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","G6/G7","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Cabinet Office","40","40","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Department of Health and Social Care","120","90","99060","95140"
"Leaver CS","2022","SCS","Heterosexual / straight","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Heterosexual / straight","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Department of Health and Social Care","40","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Cabinet Office","30","30","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Department of Health and Social Care","60","50","100210","93370"
"Leaver CS","2022","SCS","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","HM Revenue and Customs","40","40","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SCS","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Attorney General's Departments","60","60","36980","38000"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Cabinet Office","120","110","37050","37180"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","180","160","37210","36840"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department for Digital, Culture, Media and Sport","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department for Education","120","110","35860","36500"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department for Environment, Food and Rural Affairs","220","210","36560","35900"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department for International Trade","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department for Levelling Up, Housing and Communities","50","50","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department for Transport","170","160","39240","38650"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department for Work and Pensions","460","400","36860","34340"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Department of Health and Social Care","780","660","36120","36330"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Foreign, Commonwealth and Development Office","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","HM Land Registry","90","70","38010","37260"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","HM Revenue and Customs","60","50","38680","38210"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","HM Treasury","70","70","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Home Office","290","270","37590","37320"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Ministry of Defence","1110","1050","37220","36460"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Ministry of Justice","490","450","37790","36400"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","National Crime Agency","90","90","44380","44910"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","60","60","45610","46360"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Office of Gas and Electricity Markets","50","50","37500","36880"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Scottish Government","160","150","41770","40290"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","UK Statistics Authority","100","100","33710","32600"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Heterosexual / straight","Welsh Government","80","70","39600","38160"
"Leaver CS","2022","SEO/HEO","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Department of Health and Social Care","50","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Home Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Ministry of Defence","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Ministry of Justice","30","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","LGBO","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Cabinet Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Department for Education","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Department for Environment, Food and Rural Affairs","30","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Department for Transport","30","30","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Department for Work and Pensions","60","60","40100","38450"
"Leaver CS","2022","SEO/HEO","Undeclared","Department of Health and Social Care","280","100","36740","36940"
"Leaver CS","2022","SEO/HEO","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Home Office","60","50","37500","36570"
"Leaver CS","2022","SEO/HEO","Undeclared","Ministry of Defence","210","190","38570","38070"
"Leaver CS","2022","SEO/HEO","Undeclared","Ministry of Justice","70","60","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Undeclared","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","Cabinet Office","110","110","33270","33300"
"Leaver CS","2022","SEO/HEO","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","Department for Business, Energy and Industrial Strategy","80","70","35860","34500"
"Leaver CS","2022","SEO/HEO","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
