"Status","Year","Organisation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","HM Prison and Probation Service","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Operational Delivery","Declared disabled","370","330","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Operational Delivery","Declared non-disabled","1990","1840","33280","31470"
"Leaver CS","2021","HM Prison and Probation Service","Operational Delivery","Undeclared","440","370","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Operational Delivery","Unknown","840","810","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Psychology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Psychology","Declared non-disabled","70","60","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Psychology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Psychology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Unknown","Declared disabled","50","40","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Unknown","Declared non-disabled","180","160","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Unknown","Undeclared","60","50","[c]","[c]"
"Leaver CS","2021","HM Prison and Probation Service","Unknown","Unknown","50","40","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Declared disabled","620","500","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Declared non-disabled","2700","2240","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Undeclared","340","290","[c]","[c]"
"Leaver CS","2021","HM Revenue and Customs (excl. agencies)","Unknown","Unknown","1780","1530","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Economics","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Economics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Policy","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","HM Treasury (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Operational Delivery","Declared disabled","60","50","26560","24890"
"Leaver CS","2021","Home Office (incl. agencies)","Operational Delivery","Declared non-disabled","410","330","26420","24890"
"Leaver CS","2021","Home Office (incl. agencies)","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Operational Delivery","Unknown","40","30","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Other","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Other","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Other","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Policy","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Security","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Security","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Security","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Social Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Social Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Social Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Declared disabled","60","50","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Declared non-disabled","400","350","30850","25120"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Undeclared","30","30","[c]","[c]"
"Leaver CS","2021","Home Office (incl. agencies)","Unknown","Unknown","30","30","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Insolvency Service","Statistics","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Institute for Apprenticeships and Technical Education","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Property","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal Aid Agency","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Operational Delivery","Declared non-disabled","40","40","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Maritime and Coastguard Agency","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Medicine","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Medicine","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Other","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicines and Healthcare Products Regulatory Agency","Unknown","Unknown","60","60","44710","40010"
"Leaver CS","2021","Met Office","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Operational Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Other","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Met Office","Unknown","Declared non-disabled","80","80","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Commercial","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Communications","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Finance","Declared non-disabled","60","50","38540","34610"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Finance","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Human Resources","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Intelligence Analysis","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Intelligence Analysis","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Intelligence Analysis","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Internal Audit","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Knowledge and Information Management","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Knowledge and Information Management","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Medicine","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Medicine","Declared non-disabled","100","90","41070","33180"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Medicine","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Medicine","Unknown","60","50","40390","34850"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Operational Delivery","Declared non-disabled","40","30","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Operational Research","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Operational Research","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Other","Declared disabled","100","100","25900","21580"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Other","Declared non-disabled","500","470","26330","23130"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Other","Undeclared","60","60","24680","21580"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Other","Unknown","190","180","30010","29930"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Policy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Project Delivery","Declared non-disabled","110","100","40930","37640"
"Leaver CS","2021","Ministry of Defence (excl. agencies)","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
