"Status","Year","Profession_of_post","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Psychology","White","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Psychology","White","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Science and Engineering","White","Ministry of Defence","80","80","35160","32540"
"Leaver Dept.","2021","Security","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Attorney General's Departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Department for Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Department for Transport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Security","White","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Asian","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Black","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Chinese","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Mixed","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","White","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","White","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","White","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","White","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Social Research","White","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Black","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Undeclared","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Unknown","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","HM Treasury","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Ministry of Defence","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Ministry of Justice","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Office for Standards in Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Scottish Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Statistics","White","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Black","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Chinese","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Mixed","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Other ethnicity","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Tax","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
