"Status","Year","Parent_department","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Transport","AA/AO","Vehicle Certification Agency","50","40","[c]","[c]"
"In post","2021","Department for Transport","EO","Department for Transport (excl. agencies)","400","380","28740","30270"
"In post","2021","Department for Transport","EO","Driver and Vehicle Licensing Agency","900","840","26710","26700"
"In post","2021","Department for Transport","EO","Driver and Vehicle Standards Agency","2590","2420","28280","26780"
"In post","2021","Department for Transport","EO","Maritime and Coastguard Agency","240","230","29020","29350"
"In post","2021","Department for Transport","EO","Vehicle Certification Agency","50","50","[c]","[c]"
"In post","2021","Department for Transport","G6/G7","Department for Transport (excl. agencies)","1300","1270","59910","55150"
"In post","2021","Department for Transport","G6/G7","Driver and Vehicle Licensing Agency","280","270","64390","60650"
"In post","2021","Department for Transport","G6/G7","Driver and Vehicle Standards Agency","120","120","54960","52410"
"In post","2021","Department for Transport","G6/G7","Maritime and Coastguard Agency","160","150","60120","57050"
"In post","2021","Department for Transport","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","SCS","Department for Transport (excl. agencies)","210","200","88170","79910"
"In post","2021","Department for Transport","SCS","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","SCS","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","SCS","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","SCS","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","SEO/HEO","Department for Transport (excl. agencies)","1460","1440","38390","36880"
"In post","2021","Department for Transport","SEO/HEO","Driver and Vehicle Licensing Agency","950","910","37150","33350"
"In post","2021","Department for Transport","SEO/HEO","Driver and Vehicle Standards Agency","950","920","35730","33480"
"In post","2021","Department for Transport","SEO/HEO","Maritime and Coastguard Agency","530","520","40110","38650"
"In post","2021","Department for Transport","SEO/HEO","Vehicle Certification Agency","100","90","41300","39520"
"In post","2021","Department for Work and Pensions","AA/AO","Department for Work and Pensions (excl. agencies)","29320","25100","21170","21010"
"In post","2021","Department for Work and Pensions","AA/AO","Health and Safety Executive","280","250","22080","22160"
"In post","2021","Department for Work and Pensions","EO","Department for Work and Pensions (excl. agencies)","48570","43950","28120","27570"
