"Status","Year","Responsibility_level","Sex","Age","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","SEO/HEO","Male","50-59","840","780","38750","38280"
"Leaver CS","2022","SEO/HEO","Male","60-64","860","760","40120","39740"
"Leaver CS","2022","SEO/HEO","Male","65+","520","410","39080","37880"
"Leaver CS","2022","SEO/HEO","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","30-39","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","40-49","[c]","[c]","[c]","[c]"
"Leaver CS","2022","SEO/HEO","Unknown","65+","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","16-19","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Female","20-29","420","390","[c]","[c]"
"Leaver CS","2022","Unknown","Female","30-39","320","280","[c]","[c]"
