"Status","Year","Parent_department","Profession_of_post","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Home Office","Project Delivery","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Surrey, East and West Sussex","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Tees Valley and Durham","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","West Midlands","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Project Delivery","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Science and Engineering","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Science and Engineering","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Science and Engineering","South Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Security","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Security","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Security","Greater Manchester","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Security","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Security","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Social Research","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Social Research","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Statistics","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Statistics","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Statistics","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Unknown","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Unknown","Merseyside","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Unknown","Northumberland and Tyne and Wear","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Unknown","Outer London - South","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Home Office","Unknown","West Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Essex","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","90","80","32690","27000"
"New entrant CS","2021","Ministry of Defence","Commercial","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","North Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Outer London - West and North West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Commercial","West Midlands","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","East Yorkshire and Northern Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Communications","West Midlands","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","East Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","80","80","38900","40000"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Hampshire and Isle of Wight","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Herefordshire, Worcestershire and Warwickshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Lincolnshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","North Yorkshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Overseas","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","Shropshire and Staffordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Digital, Data and Technology","West Central Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Economics","Inner London - West","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","Bedfordshire and Hertfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","Berkshire, Buckinghamshire and Oxfordshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","Cumbria","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","Derbyshire and Nottinghamshire","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","Devon","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","Dorset and Somerset","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","East Anglia","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","Eastern Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Ministry of Defence","Finance","Essex","[c]","[c]","[c]","[c]"
