"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","SEO/HEO","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Social Security Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Standards and Testing Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","The National Archives","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","The National Archives","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","The National Archives","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Transport Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Export Finance","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Export Finance","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Export Finance","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Export Finance","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Export Finance","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Export Finance","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Hydrographic Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Hydrographic Office","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Hydrographic Office","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Hydrographic Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Intellectual Property Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Intellectual Property Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Intellectual Property Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","UK Supreme Court","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","No function","30","30","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","United Kingdom Statistics Authority","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Valuation Office Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Valuation Office Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Valuation Office Agency","Property","70","50","40570","42700"
"Leaver CS","2021","SEO/HEO","Vehicle Certification Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Vehicle Certification Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Veterinary Medicines Directorate","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Wales Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Wales Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Water Services Regulation Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Welsh Government (excl. agencies)","Unknown","40","40","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Welsh Revenue Authority","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Wilton Park","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Wilton Park","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Wilton Park","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","SEO/HEO","Wilton Park","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Department of Health and Social Care (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","FCDO Services","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","FCDO Services","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","HM Prison and Probation Service","No function","660","570","[c]","[c]"
"Leaver CS","2021","Unknown","HM Revenue and Customs (excl. agencies)","Unknown","340","340","[c]","[c]"
"Leaver CS","2021","Unknown","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Defence (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Planning Inspectorate","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Royal Fleet Auxiliary","Unknown","150","150","35020","32400"
"Leaver CS","2021","Unknown","Submarine Delivery Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Submarine Delivery Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Submarine Delivery Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Submarine Delivery Agency","Project Delivery","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","UK Space Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Accountant in Bankruptcy","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Advisory, Conciliation and Arbitration Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Advisory, Conciliation and Arbitration Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Advisory, Conciliation and Arbitration Service","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Animal and Plant Health Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Animal and Plant Health Agency","No function","90","90","22220","21300"
"Leaver CS","2022","AA/AO","Animal and Plant Health Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Cabinet Office (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Charity Commission","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Companies House","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Companies House","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Companies House","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Companies House","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Companies House","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Competition and Markets Authority","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Competition and Markets Authority","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Competition and Markets Authority","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Criminal Injuries Compensation Authority","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Crown Commercial Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Crown Commercial Service","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Crown Office and Procurator Fiscal Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Crown Office and Procurator Fiscal Service","No function","60","50","22480","23230"
"Leaver CS","2022","AA/AO","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Crown Prosecution Service","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Crown Prosecution Service","Legal","140","120","22130","22200"
"Leaver CS","2022","AA/AO","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Defence Electronics and Components Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Defence Science and Technology Laboratory","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Defence Science and Technology Laboratory","No function","40","40","[c]","[c]"
"Leaver CS","2022","AA/AO","Defence Science and Technology Laboratory","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Digital, Culture, Media and Sport","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Digital, Culture, Media and Sport","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Education (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Education (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Education (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Education (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for International Trade","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for International Trade","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Levelling Up, Housing and Communities (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Levelling Up, Housing and Communities (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Levelling Up, Housing and Communities (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Counter Fraud","90","70","21730","21260"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Debt","190","150","21330","21260"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","No function","2430","2100","21390","21260"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department for Work and Pensions (excl. agencies)","Unknown","620","580","21470","21260"
"Leaver CS","2022","AA/AO","Department of Health and Social Care (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department of Health and Social Care (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department of Health and Social Care (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Department of Health and Social Care (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Licensing Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Licensing Agency","No function","310","240","20640","21590"
"Leaver CS","2022","AA/AO","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Licensing Agency","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Driver and Vehicle Standards Agency","No function","90","90","24570","21840"
"Leaver CS","2022","AA/AO","Driver and Vehicle Standards Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Education and Skills Funding Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Education and Skills Funding Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Education Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","FCDO Services","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Food Standards Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","60","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Forestry and Land Scotland","Unknown","70","60","25660","25940"
"Leaver CS","2022","AA/AO","Government Actuary's Department","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Government Legal Department","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Health and Safety Executive","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Courts and Tribunals Service","No function","1560","1370","20560","20970"
"Leaver CS","2022","AA/AO","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Land Registry","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Land Registry","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Land Registry","No function","100","90","22960","22600"
"Leaver CS","2022","AA/AO","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Prison and Probation Service","No function","4550","4270","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Prison and Probation Service","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Revenue and Customs (excl. agencies)","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Revenue and Customs (excl. agencies)","Debt","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Revenue and Customs (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Revenue and Customs (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Revenue and Customs (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Revenue and Customs (excl. agencies)","No function","50","30","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Revenue and Customs (excl. agencies)","Unknown","2570","2150","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Treasury (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Treasury (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","HM Treasury (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Home Office","Unknown","570","450","21990","21680"
"Leaver CS","2022","AA/AO","Intellectual Property Office","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Intellectual Property Office","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Intellectual Property Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Legal Aid Agency","No function","40","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Maritime and Coastguard Agency","No function","60","50","23270","21840"
"Leaver CS","2022","AA/AO","Maritime and Coastguard Agency","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Medicines and Healthcare Products Regulatory Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Medicines and Healthcare Products Regulatory Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Medicines and Healthcare Products Regulatory Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Met Office","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Met Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Met Office","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Digital, Data & Technology","40","30","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Human Resources","60","50","21210","21170"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Property","70","70","18810","18890"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Security","500","480","28820","25540"
"Leaver CS","2022","AA/AO","Ministry of Defence (excl. agencies)","Unknown","900","840","21040","21130"
"Leaver CS","2022","AA/AO","Ministry of Justice (excl. agencies)","No function","50","50","[c]","[c]"
"Leaver CS","2022","AA/AO","Ministry of Justice (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","National Crime Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","National Crime Agency","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","National Crime Agency","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","National Crime Agency","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","National Crime Agency","Security","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","National Infrastructure Commission","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","National Records of Scotland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","National Savings and Investments","Communications","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Budget Responsibility","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","Analysis","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","No function","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office for Standards in Education, Children's Services and Skills","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of Gas and Electricity Markets","Human Resources","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of Gas and Electricity Markets","Legal","[c]","[c]","[c]","[c]"
"Leaver CS","2022","AA/AO","Office of Gas and Electricity Markets","No function","[c]","[c]","[c]","[c]"
