"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Asian","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","HM Revenue and Customs (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Home Office (incl. agencies)","60","50","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Asian","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","AA/AO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department for Work and Pensions (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","EO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Black","G6/G7","Department for International Development","[c]","[c]","[c]","[c]"
