"Status","Year","Ethnicity","Disability","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Asian","Declared disabled","West Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","West Lothian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","West Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","West Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","West Sussex (South West)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","Wolverhampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","Worcestershire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared disabled","York","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Angus and Dundee City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Ards and North Down","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Bedford","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Belfast","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Birmingham","100","90","27470","27570"
"Leaver CS","2022","Asian","Declared non-disabled","Blackburn with Darwen","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Blackpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Bradford","40","40","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Brent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Brighton and Hove","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Bristol, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Bromley","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Buckinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Caithness and Sutherland, and Ross and Cromarty","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Camden and City of London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Causeway Coast and Glens","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Central Bedfordshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Central Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Central Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Cheshire East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Cheshire West and Chester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","City of Edinburgh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Conwy and Denbighshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Croydon","70","60","33530","30130"
"Leaver CS","2022","Asian","Declared non-disabled","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Derby","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Derry City and Strabane","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Devon CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Dorset","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Dudley","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Dumfries and Galloway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Durham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Ealing","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Lothian and Midlothian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Merseyside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","East Sussex CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Enfield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Essex Haven Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Falkirk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Fermanagh and Omagh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Gloucestershire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Greater Manchester North East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Greater Manchester North West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Greater Manchester South East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Gwent Valleys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Gwynedd","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Hackney and Newham","40","30","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Haringey and Islington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Harrow and Hillingdon","40","30","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Heart of Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Herefordshire, County of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Hertfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Hounslow and Richmond upon Thames","40","30","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Inverclyde, East Renfrewshire, and Renfrewshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Inverness and Nairn, Moray, and Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Isle of Anglesey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Kingston upon Hull, City of","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Lambeth","60","60","43010","32330"
"Leaver CS","2022","Asian","Declared non-disabled","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Leeds","70","60","29940","27570"
"Leaver CS","2022","Asian","Declared non-disabled","Leicester","50","50","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Lincolnshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Lisburn and Castlereagh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Liverpool","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Luton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Manchester","30","30","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Medway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Mid and East Antrim","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Mid Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Na h-Eileanan Siar","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Newry, Mourne and Down","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","North and North East Lincolnshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","North and West Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","North Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","North Lanarkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","North Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","North Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","North Yorkshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Northumberland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Orkney Islands","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Oxfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Perth and Kinross, and Stirling","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Peterborough","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Portsmouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Powys","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Sandwell","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Scottish Borders","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Sefton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Shetland Islands","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Shropshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Solihull","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Somerset CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","South and West Derbyshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","South Ayrshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","South Lanarkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","South Nottinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","South Teesside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","South West Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Southend-on-Sea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Staffordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Suffolk CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Sunderland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Swansea","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Swindon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Telford and Wrekin","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Thurrock","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Torbay","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Tower Hamlets","110","100","42230","33700"
"Leaver CS","2022","Asian","Declared non-disabled","Tyneside","30","30","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Wakefield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Walsall","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Wandsworth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Warrington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Warwickshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","West Cumbria","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","West Essex","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","West Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","West Lothian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","West Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","West Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","West Sussex (North East)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","West Sussex (South West)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Westminster","310","280","41770","38020"
"Leaver CS","2022","Asian","Declared non-disabled","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Wirral","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Wolverhampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","Worcestershire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Declared non-disabled","York","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Brent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Camden and City of London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","City of Edinburgh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Derby","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","East Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","East Surrey","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","East Sussex CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Essex Thames Gateway","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Falkirk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Greater Manchester North East","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Haringey and Islington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Hertfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Isle of Wight","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Lancaster and Wyre","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","North Northamptonshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Oxfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Redbridge and Waltham Forest","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Stoke-on-Trent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Tower Hamlets","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Wakefield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Wandsworth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Westminster","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Undeclared","Wiltshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Barnet","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Belfast","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Berkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Birmingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Bradford","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Buckinghamshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Camden and City of London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","City of Edinburgh","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Coventry","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Croydon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Darlington","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Ealing","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","East Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Glasgow City","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Greater Manchester South West","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Hackney and Newham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Hertfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Hounslow and Richmond upon Thames","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Kensington & Chelsea and Hammersmith & Fulham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Lambeth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Leeds","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Leicester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Manchester","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Mid Kent","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Mid Lancashire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Milton Keynes","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Nottingham","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Oxfordshire CC","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Plymouth","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Sefton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Sheffield","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","South Hampshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","South Lanarkshire","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Southampton","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Telford and Wrekin","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Tower Hamlets","50","50","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Tyneside","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Asian","Unknown","Unknown","[c]","[c]","[c]","[c]"
