"Status","Year","Organisation","Sexual_orientation","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","UK Space Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Space Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","UK Supreme Court","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Heterosexual / straight","AA/AO","80","50","19660","19520"
"Leaver CS","2021","United Kingdom Statistics Authority","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Heterosexual / straight","SEO/HEO","40","40","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Unknown","AA/AO","70","60","19220","19130"
"Leaver CS","2021","United Kingdom Statistics Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","United Kingdom Statistics Authority","Unknown","SEO/HEO","30","30","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Heterosexual / straight","EO","60","50","25580","25680"
"Leaver CS","2021","Valuation Office Agency","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Heterosexual / straight","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Unknown","AA/AO","30","30","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Unknown","EO","50","40","25900","25500"
"Leaver CS","2021","Valuation Office Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Valuation Office Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Vehicle Certification Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Veterinary Medicines Directorate","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wales Office","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Water Services Regulation Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Heterosexual / straight","SEO/HEO","40","30","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Government (excl. agencies)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Welsh Revenue Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Wilton Park","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Accountant in Bankruptcy","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Advisory, Conciliation and Arbitration Service","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Heterosexual / straight","AA/AO","70","60","22120","21300"
"Leaver CS","2022","Animal and Plant Health Agency","Heterosexual / straight","EO","40","40","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Heterosexual / straight","SEO/HEO","60","50","37680","36590"
"Leaver CS","2022","Animal and Plant Health Agency","Heterosexual / straight","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","LGBO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Animal and Plant Health Agency","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Attorney General's Office","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Heterosexual / straight","AA/AO","40","40","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Heterosexual / straight","EO","40","40","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Heterosexual / straight","G6/G7","110","100","60460","57980"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Heterosexual / straight","SCS","40","40","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Heterosexual / straight","SEO/HEO","90","80","37580","37300"
"Leaver CS","2022","Cabinet Office (excl. agencies)","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Undeclared","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Unknown","AA/AO","40","40","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Unknown","G6/G7","130","130","66620","64630"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Unknown","SCS","30","30","[c]","[c]"
"Leaver CS","2022","Cabinet Office (excl. agencies)","Unknown","SEO/HEO","110","100","32920","32000"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Centre for Environment, Fisheries and Aquaculture Science","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Undeclared","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Companies House","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Heterosexual / straight","G6/G7","40","40","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","LGBO","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Undeclared","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Undeclared","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","LGBO","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Undeclared","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Criminal Injuries Compensation Authority","Unknown","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Heterosexual / straight","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Heterosexual / straight","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Heterosexual / straight","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Heterosexual / straight","SCS","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","Heterosexual / straight","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","LGBO","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","LGBO","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","LGBO","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Crown Commercial Service","LGBO","SCS","[c]","[c]","[c]","[c]"
