"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Female","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","United Kingdom Statistics Authority","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Female","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Departments","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Attorney General's Departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office","EO","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office","G6/G7","150","150","58090","56340"
"Leaver Dept.","2021","Male","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Cabinet Office","SEO/HEO","370","370","33030","32000"
"Leaver Dept.","2021","Male","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Chancellor's other departments","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Business, Energy and Industrial Strategy","EO","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Business, Energy and Industrial Strategy","G6/G7","120","110","56470","53600"
"Leaver Dept.","2021","Male","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Business, Energy and Industrial Strategy","SEO/HEO","130","120","36060","34510"
"Leaver Dept.","2021","Male","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Digital, Culture, Media and Sport","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Digital, Culture, Media and Sport","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Education","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Education","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Environment, Food and Rural Affairs","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Environment, Food and Rural Affairs","G6/G7","50","50","55200","53870"
"Leaver Dept.","2021","Male","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Environment, Food and Rural Affairs","SEO/HEO","130","130","35140","34270"
"Leaver Dept.","2021","Male","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for International Trade","G6/G7","50","50","54920","53490"
"Leaver Dept.","2021","Male","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for International Trade","SEO/HEO","70","70","35010","34170"
"Leaver Dept.","2021","Male","Department for Transport","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Transport","EO","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Transport","G6/G7","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Transport","SEO/HEO","90","90","37140","35230"
"Leaver Dept.","2021","Male","Department for Work and Pensions","AA/AO","140","140","21220","21010"
"Leaver Dept.","2021","Male","Department for Work and Pensions","EO","270","260","28090","27570"
"Leaver Dept.","2021","Male","Department for Work and Pensions","G6/G7","50","40","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department for Work and Pensions","SEO/HEO","110","110","35410","35310"
"Leaver Dept.","2021","Male","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department of Health and Social Care","G6/G7","30","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department of Health and Social Care","SEO/HEO","40","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","ESTYN","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Foreign, Commonwealth and Development Office","G6/G7","70","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Foreign, Commonwealth and Development Office","SEO/HEO","70","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","HM Revenue and Customs","AA/AO","330","320","[c]","[c]"
"Leaver Dept.","2021","Male","HM Revenue and Customs","EO","150","150","[c]","[c]"
"Leaver Dept.","2021","Male","HM Revenue and Customs","G6/G7","90","80","[c]","[c]"
"Leaver Dept.","2021","Male","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","HM Revenue and Customs","SEO/HEO","170","170","[c]","[c]"
"Leaver Dept.","2021","Male","HM Revenue and Customs","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","HM Treasury","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","HM Treasury","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Home Office","AA/AO","70","70","21890","21010"
"Leaver Dept.","2021","Male","Home Office","EO","140","140","26160","25130"
"Leaver Dept.","2021","Male","Home Office","G6/G7","60","60","59300","57460"
"Leaver Dept.","2021","Male","Home Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Home Office","SEO/HEO","150","150","36680","36280"
"Leaver Dept.","2021","Male","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Defence","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Defence","EO","80","80","24660","25940"
"Leaver Dept.","2021","Male","Ministry of Defence","G6/G7","80","80","55570","54730"
"Leaver Dept.","2021","Male","Ministry of Defence","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Defence","SEO/HEO","240","240","35340","34450"
"Leaver Dept.","2021","Male","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Housing, Communities and Local Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Housing, Communities and Local Government","EO","30","30","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Housing, Communities and Local Government","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Housing, Communities and Local Government","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Housing, Communities and Local Government","SEO/HEO","90","90","34260","33210"
"Leaver Dept.","2021","Male","Ministry of Justice","AA/AO","190","190","20300","19930"
"Leaver Dept.","2021","Male","Ministry of Justice","EO","90","90","24080","22570"
"Leaver Dept.","2021","Male","Ministry of Justice","G6/G7","60","60","58550","58130"
"Leaver Dept.","2021","Male","Ministry of Justice","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Ministry of Justice","SEO/HEO","140","140","35900","34110"
"Leaver Dept.","2021","Male","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","National Crime Agency","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","National Crime Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","National Crime Agency","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","National Crime Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Northern Ireland Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Northern Ireland Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Northern Ireland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office for Standards in Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office for Standards in Education","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office for Standards in Education","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office for Standards in Education","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Gas and Electricity Markets","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Gas and Electricity Markets","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Gas and Electricity Markets","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Gas and Electricity Markets","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Qualifications and Examinations Regulation","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Qualifications and Examinations Regulation","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Qualifications and Examinations Regulation","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Rail and Road","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other Cabinet Office Agencies","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other Cabinet Office Agencies","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Scotland Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Scottish Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Scottish Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Scottish Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Scottish Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","United Kingdom Statistics Authority","SEO/HEO","50","40","[c]","[c]"
"Leaver Dept.","2021","Male","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Wales Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Wales Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Wales Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Welsh Government","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Welsh Government","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Welsh Government","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Attorney General's Departments","AA/AO","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","Attorney General's Departments","EO","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Attorney General's Departments","G6/G7","60","60","58790","54760"
"Leaver Dept.","2022","Female","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Attorney General's Departments","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Cabinet Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Cabinet Office","EO","110","100","27380","27500"
"Leaver Dept.","2022","Female","Cabinet Office","G6/G7","280","270","58250","54700"
"Leaver Dept.","2022","Female","Cabinet Office","SCS","50","50","[c]","[c]"
"Leaver Dept.","2022","Female","Cabinet Office","SEO/HEO","590","580","33720","32000"
"Leaver Dept.","2022","Female","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Charity Commission","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Business, Energy and Industrial Strategy","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Business, Energy and Industrial Strategy","EO","70","70","25910","24570"
"Leaver Dept.","2022","Female","Department for Business, Energy and Industrial Strategy","G6/G7","120","110","56260","53600"
"Leaver Dept.","2022","Female","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Business, Energy and Industrial Strategy","SEO/HEO","170","170","35690","34550"
"Leaver Dept.","2022","Female","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Digital, Culture, Media and Sport","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Digital, Culture, Media and Sport","SEO/HEO","60","60","34570","34020"
"Leaver Dept.","2022","Female","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Education","EO","50","50","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Education","G6/G7","90","80","56170","54160"
"Leaver Dept.","2022","Female","Department for Education","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Education","SEO/HEO","150","150","36150","36500"
"Leaver Dept.","2022","Female","Department for Environment, Food and Rural Affairs","AA/AO","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Environment, Food and Rural Affairs","EO","40","40","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Environment, Food and Rural Affairs","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Environment, Food and Rural Affairs","SEO/HEO","150","140","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for International Trade","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for International Trade","SEO/HEO","70","70","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Levelling Up, Housing and Communities","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Levelling Up, Housing and Communities","EO","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Levelling Up, Housing and Communities","G6/G7","60","60","55720","53130"
"Leaver Dept.","2022","Female","Department for Levelling Up, Housing and Communities","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Levelling Up, Housing and Communities","SEO/HEO","100","100","35940","34650"
"Leaver Dept.","2022","Female","Department for Transport","AA/AO","60","50","21490","21840"
"Leaver Dept.","2022","Female","Department for Transport","EO","70","70","27970","26780"
"Leaver Dept.","2022","Female","Department for Transport","G6/G7","50","50","56470","54760"
"Leaver Dept.","2022","Female","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Transport","SEO/HEO","140","130","36750","35060"
"Leaver Dept.","2022","Female","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Work and Pensions","AA/AO","310","290","21320","21260"
"Leaver Dept.","2022","Female","Department for Work and Pensions","EO","1140","1090","28190","27570"
"Leaver Dept.","2022","Female","Department for Work and Pensions","G6/G7","70","60","56900","54070"
"Leaver Dept.","2022","Female","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Department for Work and Pensions","SEO/HEO","330","320","34680","33180"
"Leaver Dept.","2022","Female","Department of Health and Social Care","AA/AO","590","500","21410","21570"
"Leaver Dept.","2022","Female","Department of Health and Social Care","EO","790","620","25870","26880"
"Leaver Dept.","2022","Female","Department of Health and Social Care","G6/G7","1280","990","57510","53860"
"Leaver Dept.","2022","Female","Department of Health and Social Care","SCS","260","180","106460","102060"
"Leaver Dept.","2022","Female","Department of Health and Social Care","SEO/HEO","2210","1730","35920","36330"
"Leaver Dept.","2022","Female","Department of Health and Social Care","Unknown","60","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Estyn","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Food Standards Agency","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Foreign, Commonwealth and Development Office","G6/G7","90","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Foreign, Commonwealth and Development Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Foreign, Commonwealth and Development Office","SEO/HEO","110","40","[c]","[c]"
"Leaver Dept.","2022","Female","HM Revenue and Customs","AA/AO","340","310","[c]","[c]"
"Leaver Dept.","2022","Female","HM Revenue and Customs","EO","140","140","[c]","[c]"
"Leaver Dept.","2022","Female","HM Revenue and Customs","G6/G7","70","70","[c]","[c]"
"Leaver Dept.","2022","Female","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","HM Revenue and Customs","SEO/HEO","160","160","[c]","[c]"
"Leaver Dept.","2022","Female","HM Revenue and Customs","Unknown","30","30","[c]","[c]"
"Leaver Dept.","2022","Female","HM Treasury","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","HM Treasury","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","HM Treasury","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2022","Female","HM Treasury","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","HM Treasury","SEO/HEO","60","60","[c]","[c]"
"Leaver Dept.","2022","Female","Home Office","AA/AO","90","80","22220","21680"
"Leaver Dept.","2022","Female","Home Office","EO","280","270","26390","25040"
"Leaver Dept.","2022","Female","Home Office","G6/G7","100","100","61110","57740"
"Leaver Dept.","2022","Female","Home Office","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Home Office","SEO/HEO","240","230","37330","37050"
"Leaver Dept.","2022","Female","Home Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Ministry of Defence","AA/AO","80","80","21740","21170"
