"Status","Year","Profession_of_post","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Business, Energy and Industrial Strategy","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Digital, Culture, Media and Sport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Education","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","Heterosexual / straight","50","50","40410","37830"
"In post","2021","Corporate Finance","Ministry of Defence","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Office of Gas and Electricity Markets","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Wales Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Corporate Finance","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","Heterosexual / straight","180","180","45850","40140"
"In post","2021","Counter Fraud","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Attorney General's Departments","Unknown","80","70","45450","40270"
"In post","2021","Counter Fraud","Chancellor's other departments","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chancellor's other departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Chancellor's other departments","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2021","Counter Fraud","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
