"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Unknown","London","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","London","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Department for Work and Pensions (excl. agencies)","170","140","24730","21010"
"Leaver CS","2021","Unknown","North East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","HM Prison and Probation Service","80","70","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","HM Revenue and Customs (excl. agencies)","660","520","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Department for Work and Pensions (excl. agencies)","330","280","24830","21010"
"Leaver CS","2021","Unknown","North West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","HM Courts and Tribunals Service","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","HM Prison and Probation Service","180","160","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","HM Revenue and Customs (excl. agencies)","490","390","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","North West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Northern Ireland","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Northern Ireland","HM Revenue and Customs (excl. agencies)","120","100","[c]","[c]"
"Leaver CS","2021","Unknown","Northern Ireland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Northern Ireland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Northern Ireland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Overseas","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Overseas","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Overseas","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Overseas","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Overseas","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Overseas","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Department for Work and Pensions (excl. agencies)","120","100","24590","23250"
"Leaver CS","2021","Unknown","Scotland","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Forestry and Land Scotland","60","50","29900","28120"
"Leaver CS","2021","Unknown","Scotland","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","HM Revenue and Customs (excl. agencies)","590","480","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Scottish Government (excl. agencies)","120","110","40730","33620"
"Leaver CS","2021","Unknown","Scotland","Scottish Prison Service","150","130","30820","33650"
"Leaver CS","2021","Unknown","Scotland","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Animal and Plant Health Agency","50","40","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Department for Work and Pensions (excl. agencies)","100","90","26560","27570"
"Leaver CS","2021","Unknown","South East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","HM Courts and Tribunals Service","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","HM Prison and Probation Service","220","200","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","HM Revenue and Customs (excl. agencies)","210","170","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Ministry of Defence (excl. agencies)","80","70","28820","24970"
"Leaver CS","2021","Unknown","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","United Kingdom Statistics Authority","60","40","23690","19130"
"Leaver CS","2021","Unknown","South East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Defence Equipment and Support","40","40","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Department for Work and Pensions (excl. agencies)","100","80","25600","26890"
"Leaver CS","2021","Unknown","South West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","HM Land Registry","40","30","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","HM Prison and Probation Service","90","80","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","HM Revenue and Customs (excl. agencies)","130","110","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Met Office","80","70","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Ministry of Defence (excl. agencies)","50","50","27250","22390"
"Leaver CS","2021","Unknown","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","South West (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Cabinet Office (excl. agencies)","90","90","56070","42330"
"Leaver CS","2021","Unknown","Unknown","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","HM Revenue and Customs (excl. agencies)","330","320","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Unknown","Royal Fleet Auxiliary","150","150","35020","32400"
"Leaver CS","2021","Unknown","Wales","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Department for Work and Pensions (excl. agencies)","80","70","23700","21010"
"Leaver CS","2021","Unknown","Wales","Driver and Vehicle Licensing Agency","50","40","24380","21590"
"Leaver CS","2021","Unknown","Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","HM Prison and Probation Service","70","70","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","HM Revenue and Customs (excl. agencies)","530","440","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","United Kingdom Statistics Authority","60","60","28930","23050"
"Leaver CS","2021","Unknown","Wales","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Department for Work and Pensions (excl. agencies)","100","80","25070","26120"
"Leaver CS","2021","Unknown","West Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","HM Courts and Tribunals Service","60","60","19800","19930"
"Leaver CS","2021","Unknown","West Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","HM Prison and Probation Service","120","120","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","HM Revenue and Customs (excl. agencies)","430","360","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","West Midlands (England)","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","170","140","29400","27570"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","50","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","HM Prison and Probation Service","150","140","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","610","510","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Yorkshire and The Humber","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Heterosexual / straight","East Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
