"Status","Year","Region_ITL1","Sex","Disability","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","North East (England)","Male","Declared non-disabled","380","320","28410","22350"
"Leaver CS","2021","North East (England)","Male","Undeclared","50","40","[c]","[c]"
"Leaver CS","2021","North East (England)","Male","Unknown","170","150","25050","21430"
"Leaver CS","2021","North East (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Declared disabled","180","150","27390","24440"
"Leaver CS","2021","North West (England)","Female","Declared non-disabled","970","780","27400","22420"
"Leaver CS","2021","North West (England)","Female","Undeclared","80","60","[c]","[c]"
"Leaver CS","2021","North West (England)","Female","Unknown","320","290","26870","22230"
"Leaver CS","2021","North West (England)","Male","Declared disabled","140","120","31100","27180"
"Leaver CS","2021","North West (England)","Male","Declared non-disabled","730","660","29380","25880"
"Leaver CS","2021","North West (England)","Male","Undeclared","80","70","[c]","[c]"
"Leaver CS","2021","North West (England)","Male","Unknown","260","250","27410","22350"
"Leaver CS","2021","North West (England)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Declared non-disabled","70","60","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Female","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Declared non-disabled","50","40","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Northern Ireland","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Female","Unknown","60","60","37550","36960"
"Leaver CS","2021","Overseas","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","Declared non-disabled","30","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Declared disabled","110","90","27550","26410"
"Leaver CS","2021","Scotland","Female","Declared non-disabled","630","510","30340","25810"
"Leaver CS","2021","Scotland","Female","Undeclared","40","30","[c]","[c]"
"Leaver CS","2021","Scotland","Female","Unknown","420","360","32020","26550"
"Leaver CS","2021","Scotland","Male","Declared disabled","120","110","30060","27570"
"Leaver CS","2021","Scotland","Male","Declared non-disabled","540","480","34310","27680"
"Leaver CS","2021","Scotland","Male","Undeclared","50","40","[c]","[c]"
"Leaver CS","2021","Scotland","Male","Unknown","440","400","34230","30960"
"Leaver CS","2021","South East (England)","Female","Declared disabled","150","130","25430","22410"
"Leaver CS","2021","South East (England)","Female","Declared non-disabled","730","630","28580","25660"
"Leaver CS","2021","South East (England)","Female","Undeclared","90","80","[c]","[c]"
"Leaver CS","2021","South East (England)","Female","Unknown","330","290","28050","23820"
"Leaver CS","2021","South East (England)","Male","Declared disabled","150","130","28620","26890"
"Leaver CS","2021","South East (England)","Male","Declared non-disabled","750","690","31870","28710"
"Leaver CS","2021","South East (England)","Male","Undeclared","130","110","31480","28070"
"Leaver CS","2021","South East (England)","Male","Unknown","370","340","31280","26590"
"Leaver CS","2021","South West (England)","Female","Declared disabled","150","120","25840","22680"
"Leaver CS","2021","South West (England)","Female","Declared non-disabled","680","590","29380","26050"
"Leaver CS","2021","South West (England)","Female","Undeclared","80","70","32230","28650"
"Leaver CS","2021","South West (England)","Female","Unknown","210","190","30370","27570"
"Leaver CS","2021","South West (England)","Male","Declared disabled","150","140","31560","27570"
"Leaver CS","2021","South West (England)","Male","Declared non-disabled","820","770","35250","32430"
"Leaver CS","2021","South West (England)","Male","Undeclared","130","120","36160","33630"
"Leaver CS","2021","South West (England)","Male","Unknown","260","240","33580","29200"
"Leaver CS","2021","Unknown","Female","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Declared non-disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Female","Unknown","300","290","39490","28420"
"Leaver CS","2021","Unknown","Male","Declared disabled","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Declared non-disabled","30","30","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Unknown","Male","Unknown","320","320","40020","32400"
"Leaver CS","2021","Wales","Female","Declared disabled","150","110","25770","21590"
"Leaver CS","2021","Wales","Female","Declared non-disabled","600","480","28520","21590"
"Leaver CS","2021","Wales","Female","Undeclared","60","40","[c]","[c]"
"Leaver CS","2021","Wales","Female","Unknown","230","190","26430","21590"
"Leaver CS","2021","Wales","Male","Declared disabled","90","80","28000","23050"
"Leaver CS","2021","Wales","Male","Declared non-disabled","530","480","32630","27130"
