"Status","Year","Disability","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","Declared non-disabled","Scotland","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Scottish Government (excl. agencies)","120","110","45080","35110"
"Leaver CS","2021","Declared non-disabled","Scotland","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Scotland","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Defence Science and Technology Laboratory","50","50","30790","28650"
"Leaver CS","2021","Declared non-disabled","South East (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Department for Work and Pensions (excl. agencies)","220","190","26470","25110"
"Leaver CS","2021","Declared non-disabled","South East (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","FCDO Services","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","HM Courts and Tribunals Service","70","60","24730","21180"
"Leaver CS","2021","Declared non-disabled","South East (England)","HM Prison and Probation Service","360","340","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","HM Revenue and Customs (excl. agencies)","110","90","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Home Office (incl. agencies)","80","70","26430","26200"
"Leaver CS","2021","Declared non-disabled","South East (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Maritime and Coastguard Agency","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Ministry of Defence (excl. agencies)","320","300","30610","29200"
"Leaver CS","2021","Declared non-disabled","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","United Kingdom Statistics Authority","60","40","25110","21230"
"Leaver CS","2021","Declared non-disabled","South East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Defence Equipment and Support","230","220","38100","33040"
"Leaver CS","2021","Declared non-disabled","South West (England)","Defence Science and Technology Laboratory","70","70","33290","28650"
"Leaver CS","2021","Declared non-disabled","South West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Department for Work and Pensions (excl. agencies)","190","150","24270","21010"
"Leaver CS","2021","Declared non-disabled","South West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","HM Courts and Tribunals Service","60","50","21410","19930"
"Leaver CS","2021","Declared non-disabled","South West (England)","HM Land Registry","40","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","HM Prison and Probation Service","190","180","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","HM Revenue and Customs (excl. agencies)","60","50","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Met Office","80","70","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Ministry of Defence (excl. agencies)","300","280","32560","29200"
"Leaver CS","2021","Declared non-disabled","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Planning Inspectorate","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Public Health England","80","80","34380","28330"
"Leaver CS","2021","Declared non-disabled","South West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","South West (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Department for Work and Pensions (excl. agencies)","180","140","24410","21010"
"Leaver CS","2021","Declared non-disabled","Wales","Driver and Vehicle Licensing Agency","160","130","24470","21590"
"Leaver CS","2021","Declared non-disabled","Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","HM Courts and Tribunals Service","50","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","HM Prison and Probation Service","130","120","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","HM Revenue and Customs (excl. agencies)","270","230","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Ministry of Defence (excl. agencies)","50","50","28280","29930"
"Leaver CS","2021","Declared non-disabled","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","United Kingdom Statistics Authority","40","40","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Wales","Welsh Government (excl. agencies)","110","100","43650","37410"
"Leaver CS","2021","Declared non-disabled","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Department for Work and Pensions (excl. agencies)","220","170","25240","23460"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","HM Courts and Tribunals Service","100","90","22650","20420"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","HM Prison and Probation Service","210","190","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","HM Revenue and Customs (excl. agencies)","230","190","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Ministry of Defence (excl. agencies)","80","70","33530","31370"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","West Midlands (England)","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Department for Education (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","330","270","28570","27570"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","HM Courts and Tribunals Service","70","60","22070","19880"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","HM Prison and Probation Service","270","240","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","370","300","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Home Office (incl. agencies)","70","60","25210","21430"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Ministry of Defence (excl. agencies)","80","80","28860","22640"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Declared non-disabled","Yorkshire and The Humber","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","HM Prison and Probation Service","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","HM Revenue and Customs (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East Midlands (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","HM Prison and Probation Service","60","50","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","HM Revenue and Customs (excl. agencies)","40","30","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","East of England","Public Health England","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","HM Prison and Probation Service","60","60","[c]","[c]"
"Leaver CS","2021","Undeclared","London","HM Revenue and Customs (excl. agencies)","50","40","[c]","[c]"
"Leaver CS","2021","Undeclared","London","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Undeclared","London","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
