"Status","Year","Sex","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Male","Operational Delivery","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","United Kingdom Statistics Authority","60","50","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Delivery","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Operational Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Defence Equipment and Support","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Other","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Planning","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Planning","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Planning","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Planning","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Planning Inspectors","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Department for Business, Energy and Industrial Strategy (excl. agencies)","160","140","47290","40220"
"Leaver Dept.","2021","Male","Policy","Department for Digital, Culture, Media and Sport","70","70","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Department for Education (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Department for Environment, Food and Rural Affairs (excl. agencies)","140","140","40840","36030"
"Leaver Dept.","2021","Male","Policy","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","HM Treasury (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Home Office (incl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Ministry of Housing, Communities and Local Government (excl. agencies)","100","100","38450","33210"
"Leaver Dept.","2021","Male","Policy","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Policy","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Defence Equipment and Support","70","70","35780","32710"
"Leaver Dept.","2021","Male","Project Delivery","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Project Delivery","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Property","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Psychology","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Psychology","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Psychology","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Defence Equipment and Support","50","50","32720","32240"
"Leaver Dept.","2021","Male","Science and Engineering","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Science and Engineering","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Security","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Social Research","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Social Research","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Social Research","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Social Research","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Statistics","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Tax","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Cabinet Office (excl. agencies)","600","600","40600","32910"
"Leaver Dept.","2021","Male","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Department for Transport (excl. agencies)","110","110","44620","42460"
"Leaver Dept.","2021","Male","Unknown","Department for Work and Pensions (excl. agencies)","550","550","30500","27570"
"Leaver Dept.","2021","Male","Unknown","Department of Health and Social Care (excl. agencies)","70","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Foreign and Commonwealth Office (excl. agencies)","50","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","70","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","HM Revenue and Customs (excl. agencies)","750","740","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Home Office (incl. agencies)","130","110","34110","28230"
"Leaver Dept.","2021","Male","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Male","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Digital, Data and Technology","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Human Resources","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Knowledge and Information Management","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Medicine","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Policy","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Science and Engineering","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Unknown","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Defence Equipment and Support","50","40","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Department of Health and Social Care (excl. agencies)","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Female","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
