"Status","Year","Age","Region_ITL1","Ethnicity","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","30-39","Overseas","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Overseas","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Overseas","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Scotland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Scotland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Scotland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Scotland","Unknown","190","180","29510","27570"
"Leaver CS","2022","30-39","Scotland","White","350","330","30150","27570"
"Leaver CS","2022","30-39","South East (England)","Asian","50","50","[c]","[c]"
"Leaver CS","2022","30-39","South East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","South East (England)","Unknown","150","140","29910","27570"
"Leaver CS","2022","30-39","South East (England)","White","480","450","30110","27570"
"Leaver CS","2022","30-39","South West (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","South West (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","South West (England)","Undeclared","40","30","[c]","[c]"
"Leaver CS","2022","30-39","South West (England)","Unknown","160","150","30830","27570"
"Leaver CS","2022","30-39","South West (England)","White","460","430","32940","31530"
"Leaver CS","2022","30-39","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","Unknown","170","130","33240","30780"
"Leaver CS","2022","30-39","Unknown","White","100","90","27920","21840"
"Leaver CS","2022","30-39","Wales","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Wales","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Wales","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Wales","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Wales","Unknown","90","90","29190","27570"
"Leaver CS","2022","30-39","Wales","White","240","230","29950","27570"
"Leaver CS","2022","30-39","West Midlands (England)","Asian","60","50","[c]","[c]"
"Leaver CS","2022","30-39","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","West Midlands (England)","Unknown","120","110","28860","27570"
"Leaver CS","2022","30-39","West Midlands (England)","White","250","230","31510","27570"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Asian","60","60","28580","27570"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Yorkshire and The Humber","Unknown","170","150","31420","27570"
"Leaver CS","2022","30-39","Yorkshire and The Humber","White","350","320","31440","27570"
"Leaver CS","2022","40-49","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East Midlands (England)","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","40-49","East Midlands (England)","White","190","180","29280","27570"
"Leaver CS","2022","40-49","East of England","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East of England","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East of England","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East of England","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","East of England","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","40-49","East of England","White","260","240","31800","27570"
"Leaver CS","2022","40-49","London","Asian","180","160","45260","39960"
"Leaver CS","2022","40-49","London","Black","130","120","39720","33090"
"Leaver CS","2022","40-49","London","Mixed","40","40","[c]","[c]"
"Leaver CS","2022","40-49","London","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","London","Undeclared","60","50","[c]","[c]"
"Leaver CS","2022","40-49","London","Unknown","320","270","52310","51320"
"Leaver CS","2022","40-49","London","White","670","590","51730","48880"
"Leaver CS","2022","40-49","North East (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North East (England)","Unknown","60","60","[c]","[c]"
"Leaver CS","2022","40-49","North East (England)","White","210","190","30260","27570"
"Leaver CS","2022","40-49","North West (England)","Asian","30","30","[c]","[c]"
"Leaver CS","2022","40-49","North West (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","North West (England)","Unknown","110","100","30460","27570"
"Leaver CS","2022","40-49","North West (England)","White","360","340","32590","27570"
"Leaver CS","2022","40-49","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Northern Ireland","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Overseas","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Overseas","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Overseas","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Overseas","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Scotland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Scotland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Scotland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Scotland","Unknown","120","110","33790","27570"
"Leaver CS","2022","40-49","Scotland","White","300","280","33580","27570"
"Leaver CS","2022","40-49","South East (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South East (England)","Unknown","100","100","30600","26470"
"Leaver CS","2022","40-49","South East (England)","White","430","390","33660","29290"
"Leaver CS","2022","40-49","South West (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South West (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","South West (England)","Unknown","100","90","35270","31770"
"Leaver CS","2022","40-49","South West (England)","White","390","360","36550","33000"
"Leaver CS","2022","40-49","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","Unknown","100","80","37030","32700"
"Leaver CS","2022","40-49","Unknown","White","70","60","30420","21840"
"Leaver CS","2022","40-49","Wales","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Wales","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Wales","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Wales","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Wales","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","40-49","Wales","White","180","160","33800","27570"
"Leaver CS","2022","40-49","West Midlands (England)","Asian","40","30","[c]","[c]"
"Leaver CS","2022","40-49","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","West Midlands (England)","Unknown","80","70","[c]","[c]"
"Leaver CS","2022","40-49","West Midlands (England)","White","240","220","35590","27570"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Yorkshire and The Humber","Unknown","120","90","40570","27570"
"Leaver CS","2022","40-49","Yorkshire and The Humber","White","270","240","33970","27570"
"Leaver CS","2022","50-59","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East Midlands (England)","Unknown","70","60","[c]","[c]"
"Leaver CS","2022","50-59","East Midlands (England)","White","340","300","32280","27570"
"Leaver CS","2022","50-59","East of England","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East of England","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East of England","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East of England","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","East of England","Unknown","60","60","[c]","[c]"
"Leaver CS","2022","50-59","East of England","White","460","430","34200","28550"
"Leaver CS","2022","50-59","London","Asian","110","100","48260","40400"
"Leaver CS","2022","50-59","London","Black","140","130","37950","31060"
"Leaver CS","2022","50-59","London","Mixed","40","30","[c]","[c]"
"Leaver CS","2022","50-59","London","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","London","Undeclared","90","80","48200","43700"
"Leaver CS","2022","50-59","London","Unknown","230","190","53640","44910"
"Leaver CS","2022","50-59","London","White","770","690","49870","42840"
"Leaver CS","2022","50-59","North East (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North East (England)","Unknown","80","70","[c]","[c]"
"Leaver CS","2022","50-59","North East (England)","White","370","310","31590","27570"
"Leaver CS","2022","50-59","North West (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North West (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","North West (England)","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","50-59","North West (England)","Unknown","120","110","33190","26130"
"Leaver CS","2022","50-59","North West (England)","White","750","670","32320","27570"
"Leaver CS","2022","50-59","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Northern Ireland","White","50","40","[c]","[c]"
"Leaver CS","2022","50-59","Overseas","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Overseas","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Overseas","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Overseas","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Scotland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Scotland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Scotland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Scotland","Unknown","200","190","34710","30390"
"Leaver CS","2022","50-59","Scotland","White","560","500","33970","27570"
"Leaver CS","2022","50-59","South East (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","South East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","South East (England)","Undeclared","50","50","[c]","[c]"
"Leaver CS","2022","50-59","South East (England)","Unknown","100","90","34860","26470"
"Leaver CS","2022","50-59","South East (England)","White","730","660","31980","27570"
"Leaver CS","2022","50-59","South West (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","South West (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","South West (England)","Undeclared","40","40","[c]","[c]"
"Leaver CS","2022","50-59","South West (England)","Unknown","90","80","38210","27570"
"Leaver CS","2022","50-59","South West (England)","White","560","510","35900","32770"
"Leaver CS","2022","50-59","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Unknown","110","90","47100","36990"
"Leaver CS","2022","50-59","Unknown","White","60","60","32410","27570"
"Leaver CS","2022","50-59","Wales","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Wales","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Wales","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Wales","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Wales","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","50-59","Wales","White","310","260","35360","27570"
"Leaver CS","2022","50-59","West Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","West Midlands (England)","Unknown","50","50","[c]","[c]"
"Leaver CS","2022","50-59","West Midlands (England)","White","400","360","36470","27570"
"Leaver CS","2022","50-59","Yorkshire and The Humber","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Yorkshire and The Humber","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Yorkshire and The Humber","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Yorkshire and The Humber","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Yorkshire and The Humber","Undeclared","30","30","[c]","[c]"
"Leaver CS","2022","50-59","Yorkshire and The Humber","Unknown","100","80","[c]","[c]"
"Leaver CS","2022","50-59","Yorkshire and The Humber","White","520","460","33250","27570"
"Leaver CS","2022","60-64","East Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East Midlands (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East Midlands (England)","Unknown","40","40","[c]","[c]"
"Leaver CS","2022","60-64","East Midlands (England)","White","260","210","31990","27570"
"Leaver CS","2022","60-64","East of England","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East of England","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East of England","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East of England","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East of England","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East of England","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","East of England","White","310","260","33690","29290"
"Leaver CS","2022","60-64","London","Asian","80","60","38310","31880"
"Leaver CS","2022","60-64","London","Black","70","60","35230","31060"
"Leaver CS","2022","60-64","London","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","London","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","London","Undeclared","70","60","39930","35340"
"Leaver CS","2022","60-64","London","Unknown","90","70","[c]","[c]"
"Leaver CS","2022","60-64","London","White","590","510","51910","45490"
"Leaver CS","2022","60-64","North East (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North East (England)","Unknown","50","30","[c]","[c]"
"Leaver CS","2022","60-64","North East (England)","White","410","300","29950","27570"
"Leaver CS","2022","60-64","North West (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North West (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North West (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","North West (England)","Undeclared","50","40","[c]","[c]"
"Leaver CS","2022","60-64","North West (England)","Unknown","70","60","[c]","[c]"
"Leaver CS","2022","60-64","North West (England)","White","580","460","31090","27570"
"Leaver CS","2022","60-64","Northern Ireland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Northern Ireland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Northern Ireland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Northern Ireland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Northern Ireland","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Northern Ireland","White","40","40","[c]","[c]"
"Leaver CS","2022","60-64","Overseas","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Overseas","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Overseas","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Overseas","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Overseas","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Overseas","White","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Scotland","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Scotland","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Scotland","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Scotland","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Scotland","Undeclared","40","30","[c]","[c]"
"Leaver CS","2022","60-64","Scotland","Unknown","150","120","36950","35000"
"Leaver CS","2022","60-64","Scotland","White","520","430","37350","31700"
"Leaver CS","2022","60-64","South East (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","South East (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","South East (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","South East (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","South East (England)","Undeclared","60","50","[c]","[c]"
"Leaver CS","2022","60-64","South East (England)","Unknown","60","50","[c]","[c]"
"Leaver CS","2022","60-64","South East (England)","White","520","440","33480","29200"
"Leaver CS","2022","60-64","South West (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","South West (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","South West (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","South West (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","South West (England)","Undeclared","50","40","[c]","[c]"
"Leaver CS","2022","60-64","South West (England)","Unknown","40","30","[c]","[c]"
"Leaver CS","2022","60-64","South West (England)","White","470","400","37160","33840"
"Leaver CS","2022","60-64","Unknown","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Unknown","60","60","44820","39040"
"Leaver CS","2022","60-64","Unknown","White","70","50","28620","21840"
"Leaver CS","2022","60-64","Wales","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Wales","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Wales","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Wales","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Wales","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Wales","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Wales","White","280","220","36870","27570"
"Leaver CS","2022","60-64","West Midlands (England)","Asian","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","West Midlands (England)","Black","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","West Midlands (England)","Mixed","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","West Midlands (England)","Other ethnicity","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","West Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","West Midlands (England)","Unknown","40","30","[c]","[c]"
