"Status","Year","Age","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","30-39","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","30-39","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Defence Equipment and Support","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Department for Education (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","240","220","25730","21010"
"Leaver CS","2021","40-49","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","HM Courts and Tribunals Service","70","60","29030","22340"
"Leaver CS","2021","40-49","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","HM Prison and Probation Service","300","280","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Home Office (incl. agencies)","120","110","34690","27880"
"Leaver CS","2021","40-49","Heterosexual / straight","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Ministry of Defence (excl. agencies)","190","180","32800","30270"
"Leaver CS","2021","40-49","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Public Health England","90","80","41590","39910"
"Leaver CS","2021","40-49","Heterosexual / straight","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Wales Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","LGBO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","HM Prison and Probation Service","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Debt Management Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","30","30","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Department for Work and Pensions (excl. agencies)","240","210","27190","27570"
"Leaver CS","2021","40-49","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","HM Courts and Tribunals Service","40","40","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","HM Prison and Probation Service","180","170","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","HM Revenue and Customs (excl. agencies)","630","540","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Insolvency Service","[c]","[c]","[c]","[c]"
