"Status","Year","Sex","Sexual_orientation","Region_ITL2","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Male","LGBO","North Yorkshire","80","80","32690","28430"
"In post","2021","Male","LGBO","Northern Ireland","50","50","25860","22330"
"In post","2021","Male","LGBO","Northumberland and Tyne and Wear","370","360","28910","26980"
"In post","2021","Male","LGBO","Outer London - East and North East","40","40","[c]","[c]"
"In post","2021","Male","LGBO","Outer London - South","170","160","40150","36160"
"In post","2021","Male","LGBO","Outer London - West and North West","140","130","35570","31060"
"In post","2021","Male","LGBO","Overseas","120","120","53650","54040"
"In post","2021","Male","LGBO","Shropshire and Staffordshire","140","130","29160","27470"
"In post","2021","Male","LGBO","South Yorkshire","190","180","30880","27570"
"In post","2021","Male","LGBO","Southern Scotland","80","80","30950","26160"
"In post","2021","Male","LGBO","Surrey, East and West Sussex","200","190","28700","27570"
"In post","2021","Male","LGBO","Tees Valley and Durham","120","120","28690","26560"
"In post","2021","Male","LGBO","Unknown","40","40","[c]","[c]"
"In post","2021","Male","LGBO","West Central Scotland","340","330","30000","27570"
"In post","2021","Male","LGBO","West Midlands","290","280","31090","27570"
"In post","2021","Male","LGBO","West Wales and The Valleys","230","220","29370","26350"
"In post","2021","Male","LGBO","West Yorkshire","320","320","32070","27570"
"In post","2021","Male","Undeclared","Bedfordshire and Hertfordshire","200","190","34300","31810"
"In post","2021","Male","Undeclared","Berkshire, Buckinghamshire and Oxfordshire","460","450","35010","33670"
"In post","2021","Male","Undeclared","Cheshire","150","140","32940","31650"
"In post","2021","Male","Undeclared","Cornwall and Isles of Scilly","70","70","28530","26850"
"In post","2021","Male","Undeclared","Cumbria","100","90","32350","27570"
"In post","2021","Male","Undeclared","Derbyshire and Nottinghamshire","500","470","33180","30950"
"In post","2021","Male","Undeclared","Devon","360","340","32430","29730"
"In post","2021","Male","Undeclared","Dorset and Somerset","310","300","31280","31430"
"In post","2021","Male","Undeclared","East Anglia","650","620","31820","31170"
"In post","2021","Male","Undeclared","East Wales","960","920","34140","30020"
"In post","2021","Male","Undeclared","East Yorkshire and Northern Lincolnshire","260","240","30250","27570"
"In post","2021","Male","Undeclared","Eastern Scotland","860","830","32850","29350"
"In post","2021","Male","Undeclared","Essex","240","230","33440","29290"
"In post","2021","Male","Undeclared","Gloucestershire, Wiltshire and Bath/Bristol area","1750","1690","40560","39070"
"In post","2021","Male","Undeclared","Greater Manchester","730","700","32930","28220"
"In post","2021","Male","Undeclared","Hampshire and Isle of Wight","840","810","34890","33300"
"In post","2021","Male","Undeclared","Herefordshire, Worcestershire and Warwickshire","170","170","30440","29730"
"In post","2021","Male","Undeclared","Highlands and Islands","90","80","28970","26780"
"In post","2021","Male","Undeclared","Inner London - East","620","590","44640","39800"
"In post","2021","Male","Undeclared","Inner London - West","2630","2590","48470","44680"
"In post","2021","Male","Undeclared","Kent","480","450","31060","27370"
"In post","2021","Male","Undeclared","Lancashire","470","450","28730","27380"
"In post","2021","Male","Undeclared","Leicestershire, Rutland and Northamptonshire","260","240","29470","27570"
"In post","2021","Male","Undeclared","Lincolnshire","140","140","31150","28210"
"In post","2021","Male","Undeclared","Merseyside","660","620","30610","27240"
"In post","2021","Male","Undeclared","North Eastern Scotland","100","100","41150","32060"
"In post","2021","Male","Undeclared","North Yorkshire","240","230","33620","31420"
"In post","2021","Male","Undeclared","Northern Ireland","140","140","28250","25560"
"In post","2021","Male","Undeclared","Northumberland and Tyne and Wear","680","650","30460","27290"
"In post","2021","Male","Undeclared","Outer London - East and North East","140","130","32800","31060"
"In post","2021","Male","Undeclared","Outer London - South","520","510","40700","36420"
"In post","2021","Male","Undeclared","Outer London - West and North West","480","450","35760","31060"
"In post","2021","Male","Undeclared","Overseas","230","230","48910","42110"
"In post","2021","Male","Undeclared","Shropshire and Staffordshire","360","340","31070","28110"
"In post","2021","Male","Undeclared","South Yorkshire","380","370","32620","30070"
"In post","2021","Male","Undeclared","Southern Scotland","200","190","28640","26780"
"In post","2021","Male","Undeclared","Surrey, East and West Sussex","410","380","32270","29410"
"In post","2021","Male","Undeclared","Tees Valley and Durham","300","290","29960","27570"
"In post","2021","Male","Undeclared","Unknown","50","50","33130","28010"
"In post","2021","Male","Undeclared","West Central Scotland","660","630","31610","27570"
"In post","2021","Male","Undeclared","West Midlands","590","560","32100","27570"
"In post","2021","Male","Undeclared","West Wales and The Valleys","910","870","30280","26780"
"In post","2021","Male","Undeclared","West Yorkshire","580","550","32580","28420"
"In post","2021","Male","Unknown","Bedfordshire and Hertfordshire","320","300","33330","30400"
"In post","2021","Male","Unknown","Berkshire, Buckinghamshire and Oxfordshire","920","900","34100","31280"
"In post","2021","Male","Unknown","Cheshire","330","310","31370","31650"
"In post","2021","Male","Unknown","Cornwall and Isles of Scilly","140","130","26680","26590"
"In post","2021","Male","Unknown","Cumbria","230","220","26750","21550"
"In post","2021","Male","Unknown","Derbyshire and Nottinghamshire","1320","1260","29610","27150"
"In post","2021","Male","Unknown","Devon","1770","1710","36690","35030"
"In post","2021","Male","Unknown","Dorset and Somerset","460","440","31200","27620"
"In post","2021","Male","Unknown","East Anglia","1130","1080","31100","28920"
"In post","2021","Male","Unknown","East Wales","2170","2100","31310","27570"
"In post","2021","Male","Unknown","East Yorkshire and Northern Lincolnshire","410","390","28330","27380"
"In post","2021","Male","Unknown","Eastern Scotland","3080","2950","33380","30650"
"In post","2021","Male","Unknown","Essex","440","420","31190","29290"
"In post","2021","Male","Unknown","Gloucestershire, Wiltshire and Bath/Bristol area","2080","2010","36700","32010"
"In post","2021","Male","Unknown","Greater Manchester","2250","2170","30370","27570"
"In post","2021","Male","Unknown","Hampshire and Isle of Wight","1250","1180","33860","29960"
"In post","2021","Male","Unknown","Herefordshire, Worcestershire and Warwickshire","310","300","28010","26350"
"In post","2021","Male","Unknown","Highlands and Islands","350","340","29950","28120"
"In post","2021","Male","Unknown","Inner London - East","1880","1830","43650","36230"
"In post","2021","Male","Unknown","Inner London - West","6250","6180","47030","40600"
"In post","2021","Male","Unknown","Kent","690","660","30830","29830"
"In post","2021","Male","Unknown","Lancashire","1520","1440","28340","27570"
"In post","2021","Male","Unknown","Leicestershire, Rutland and Northamptonshire","550","520","26740","26350"
"In post","2021","Male","Unknown","Lincolnshire","170","160","28410","27570"
"In post","2021","Male","Unknown","Merseyside","1660","1580","28370","25560"
"In post","2021","Male","Unknown","North Eastern Scotland","280","270","36010","33650"
"In post","2021","Male","Unknown","North Yorkshire","400","390","32090","27570"
"In post","2021","Male","Unknown","Northern Ireland","470","460","26320","23870"
"In post","2021","Male","Unknown","Northumberland and Tyne and Wear","2440","2320","28120","25560"
"In post","2021","Male","Unknown","Outer London - East and North East","380","370","31160","31060"
"In post","2021","Male","Unknown","Outer London - South","760","740","37510","33650"
"In post","2021","Male","Unknown","Outer London - West and North West","630","610","35500","31750"
"In post","2021","Male","Unknown","Overseas","360","360","52180","52430"
"In post","2021","Male","Unknown","Shropshire and Staffordshire","670","640","30180","26950"
"In post","2021","Male","Unknown","South Yorkshire","700","670","33020","28200"
