"Status","Year","Organisation","Sexual_orientation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Companies House","Undeclared","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Operational Delivery","50","40","[c]","[c]"
"In post","2021","Companies House","Undeclared","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Digital, Data and Technology","50","50","36310","36530"
"In post","2021","Companies House","Unknown","Finance","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Legal","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Operational Delivery","170","150","23440","22490"
"In post","2021","Companies House","Unknown","Other","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Companies House","Unknown","Property","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Communications","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Digital, Data and Technology","60","60","56130","51270"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Economics","70","70","62960","59140"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Human Resources","30","30","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Legal","100","100","69190","72430"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Policy","[c]","[c]","[c]","[c]"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Project Delivery","310","290","59750","56360"
"In post","2021","Competition and Markets Authority","Heterosexual / straight","Property","[c]","[c]","[c]","[c]"
