"Status","Year","Parent_department","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","East of England","380","360","28740","26780"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","London","360","350","32170","30780"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","North East (England)","330","310","27020","26580"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","North West (England)","430","410","28340","26780"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Scotland","300","280","28820","26780"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","South East (England)","510","480","29870","27680"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","South West (England)","570","530","32160","27680"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Wales","520","490","29190","26780"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","West Midlands (England)","400","380","28240","26780"
"In post","2021","Department for Transport","Driver and Vehicle Standards Agency","Yorkshire and The Humber","440","410","27500","26780"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","East of England","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","North East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","North West (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","Northern Ireland","40","40","[c]","[c]"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","Scotland","160","150","37400","35040"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","South East (England)","720","690","36910","32120"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","South West (England)","70","70","36760","34930"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","Wales","110","100","31670","26780"
"In post","2021","Department for Transport","Maritime and Coastguard Agency","Yorkshire and The Humber","70","70","39330","31780"
"In post","2021","Department for Transport","Vehicle Certification Agency","East Midlands (England)","70","70","36000","34290"
"In post","2021","Department for Transport","Vehicle Certification Agency","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Vehicle Certification Agency","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department for Transport","Vehicle Certification Agency","South West (England)","130","120","33750","28980"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","East Midlands (England)","4490","3970","25910","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","East of England","4570","4090","28120","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","London","10030","9390","33600","31060"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","North East (England)","9550","8460","27110","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","North West (England)","17710","15930","26890","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Scotland","8820","7790","25210","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","South East (England)","6660","6020","27390","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","South West (England)","5740","4990","26140","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Unknown","900","840","30410","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Wales","5640","5050","25760","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","West Midlands (England)","7600","6670","26010","27570"
"In post","2021","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","9250","8220","29470","27570"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","East Midlands (England)","400","360","42350","39390"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","East of England","130","120","44430","44820"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","London","150","150","49050","45610"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","North East (England)","70","70","42660","43830"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","North West (England)","910","860","40170","35910"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","Scotland","220","210","59820","53360"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","South East (England)","90","80","42090","41810"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","South West (England)","80","70","44980","46320"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","Wales","100","90","41050","44460"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","West Midlands (England)","80","80","44170","46320"
"In post","2021","Department for Work and Pensions","Health and Safety Executive","Yorkshire and The Humber","340","320","39270","37090"
"In post","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","London","2440","2390","48400","41890"
"In post","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","North West (England)","30","30","[c]","[c]"
"In post","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"In post","2021","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","1040","1010","42980","37630"
"In post","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","East of England","320","310","44060","41010"
"In post","2021","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","London","1000","970","49410","41770"
"In post","2021","Department of Health and Social Care","Public Health England","East Midlands (England)","190","170","44240","37190"
"In post","2021","Department of Health and Social Care","Public Health England","East of England","410","370","44130","36250"
"In post","2021","Department of Health and Social Care","Public Health England","London","2980","2740","47200","40810"
"In post","2021","Department of Health and Social Care","Public Health England","North East (England)","150","130","45700","38890"
