"Status","Year","Sexual_orientation","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2021","Heterosexual / straight","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","United Kingdom Statistics Authority","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Female","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Cabinet Office (excl. agencies)","260","260","44460","35790"
"Leaver Dept.","2021","Heterosexual / straight","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Defence Equipment and Support","170","170","34820","32360"
"Leaver Dept.","2021","Heterosexual / straight","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","150","140","48300","51360"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department for Digital, Culture, Media and Sport","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department for Education (excl. agencies)","50","50","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department for International Trade","60","60","45120","38540"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department for Transport (excl. agencies)","70","70","45260","37660"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department for Work and Pensions (excl. agencies)","330","330","30870","27570"
"Leaver Dept.","2021","Heterosexual / straight","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Driver and Vehicle Licensing Agency","30","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","HM Courts and Tribunals Service","90","90","27260","22100"
"Leaver Dept.","2021","Heterosexual / straight","Male","HM Prison and Probation Service","110","110","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","HM Treasury (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Home Office (incl. agencies)","330","320","34070","28670"
"Leaver Dept.","2021","Heterosexual / straight","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Ministry of Defence (excl. agencies)","130","130","41910","38560"
"Leaver Dept.","2021","Heterosexual / straight","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","120","110","38420","33210"
"Leaver Dept.","2021","Heterosexual / straight","Male","Ministry of Justice (excl. agencies)","110","110","44460","40480"
"Leaver Dept.","2021","Heterosexual / straight","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Office of the Public Guardian","40","40","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","United Kingdom Statistics Authority","40","30","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Male","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","Heterosexual / straight","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Cabinet Office (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department for Work and Pensions (excl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","UK Space Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Wales Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Female","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Cabinet Office (excl. agencies)","50","50","43820","35140"
"Leaver Dept.","2021","LGBO","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department for Work and Pensions (excl. agencies)","40","40","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","ESTYN","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Home Office (incl. agencies)","30","30","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2021","LGBO","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
